Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
1,2013,01,01,01/01/2013,7:30 PM,Magic,East,Nets,East
2,2013,01,01,01/01/2013,7:30 PM,Bucks,East,Raptors,East
3,2013,01,01,01/01/2013,8:00 PM,Blazers,West,Bulls,East
4,2013,01,01,01/01/2013,8:00 PM,Lakers,West,Timberwolves,West
5,2013,01,02,01/02/2013,10:00 PM,Hornets,East,Kings,West
6,2013,01,02,01/02/2013,10:30 PM,Grizzlies,West,Clippers,West
7,2013,01,02,01/02/2013,7:00 PM,Blazers,West,Cavaliers,East
8,2013,01,02,01/02/2013,7:30 PM,Spurs,West,Knicks,East
9,2013,01,02,01/02/2013,9:00 PM,Hawks,East,Suns,West
10,2013,01,03,01/03/2013,10:30 PM,Thunder,West,Lakers,West
11,2013,01,03,01/03/2013,7:00 PM,Spurs,West,76ers,East
12,2013,01,03,01/03/2013,7:00 PM,Rockets,West,Magic,East
13,2013,01,03,01/03/2013,7:00 PM,Knicks,East,Wizards,East
14,2013,01,03,01/03/2013,7:30 PM,Pistons,East,Heat,East
15,2013,01,03,01/03/2013,7:30 PM,Timberwolves,West,Nets,East
16,2013,01,03,01/03/2013,8:00 PM,Pacers,East,Bucks,East
17,2013,01,03,01/03/2013,8:00 PM,Raptors,East,Bulls,East
18,2013,01,03,01/03/2013,8:00 PM,Cavaliers,East,Celtics,East
19,2013,01,03,01/03/2013,8:30 PM,Warriors,West,Mavericks,West
20,2013,01,03,01/03/2013,9:00 PM,Pelicans,West,Jazz,West
21,2013,01,03,01/03/2013,9:00 PM,Suns,West,Nuggets,West
22,2013,01,04,01/04/2013,10:30 PM,Thunder,West,Clippers,West
23,2013,01,04,01/04/2013,8:00 PM,Warriors,West,Rockets,West
24,2013,01,05,01/05/2013,10:00 PM,Hawks,East,Blazers,West
25,2013,01,05,01/05/2013,10:30 PM,Hornets,East,Lakers,West
26,2013,01,05,01/05/2013,7:00 PM,Pistons,East,76ers,East
27,2013,01,05,01/05/2013,7:00 PM,Knicks,East,Heat,East
28,2013,01,05,01/05/2013,7:30 PM,Timberwolves,West,Celtics,East
29,2013,01,05,01/05/2013,8:00 PM,Raptors,East,Bucks,East
30,2013,01,05,01/05/2013,8:30 PM,Bulls,East,Mavericks,West
31,2013,01,05,01/05/2013,8:30 PM,Suns,West,Spurs,West
32,2013,01,05,01/05/2013,9:00 PM,Jazz,West,Nuggets,West
33,2013,01,05,01/05/2013,9:30 PM,Wizards,East,Grizzlies,West
34,2013,01,06,01/06/2013,10:00 PM,Nuggets,West,Kings,West
35,2013,01,06,01/06/2013,3:30 PM,Warriors,West,Clippers,West
36,2013,01,06,01/06/2013,6:00 PM,Celtics,East,Nets,East
37,2013,01,06,01/06/2013,7:00 PM,Cavaliers,East,Magic,East
38,2013,01,06,01/06/2013,7:00 PM,Bulls,East,Pacers,East
39,2013,01,06,01/06/2013,7:00 PM,Rockets,West,Pistons,East
40,2013,01,06,01/06/2013,8:00 PM,Bucks,East,Wizards,East
41,2013,01,06,01/06/2013,9:00 PM,Pelicans,West,Timberwolves,West
42,2013,01,07,01/07/2013,3:30 PM,Jazz,West,Heat,East
43,2013,01,07,01/07/2013,7:00 PM,Knicks,East,Mavericks,West
44,2013,01,07,01/07/2013,8:00 PM,Thunder,West,Suns,West
45,2013,01,07,01/07/2013,9:00 PM,Spurs,West,Blazers,West
46,2013,01,07,01/07/2013,9:30 PM,Hawks,East,Lakers,West
47,2013,01,08,01/08/2013,10:00 PM,Spurs,West,Kings,West
48,2013,01,08,01/08/2013,10:30 PM,Hawks,East,Clippers,West
49,2013,01,08,01/08/2013,10:30 PM,Nuggets,West,Warriors,West
50,2013,01,08,01/08/2013,7:00 PM,Bucks,East,Pacers,East
51,2013,01,08,01/08/2013,7:30 PM,Raptors,East,Nets,East
52,2013,01,08,01/08/2013,8:00 PM,Rockets,West,Bulls,East
53,2013,01,08,01/08/2013,8:00 PM,Pistons,East,Pelicans,West
54,2013,01,08,01/08/2013,8:00 PM,Cavaliers,East,Timberwolves,West
55,2013,01,09,01/09/2013,10:30 PM,Kings,West,Lakers,West
56,2013,01,09,01/09/2013,7:30 PM,Heat,East,Raptors,East
57,2013,01,09,01/09/2013,8:00 PM,Blazers,West,Thunder,West
58,2013,01,09,01/09/2013,8:30 PM,Magic,East,Mavericks,West
59,2013,01,10,01/10/2013,10:30 PM,Clippers,West,Warriors,West
60,2013,01,10,01/10/2013,7:00 PM,Mavericks,West,Hornets,East
61,2013,01,10,01/10/2013,7:00 PM,Heat,East,Pacers,East
62,2013,01,10,01/10/2013,7:00 PM,Jazz,West,Wizards,East
63,2013,01,10,01/10/2013,7:30 PM,Bulls,East,Knicks,East
64,2013,01,10,01/10/2013,7:30 PM,Pistons,East,Nets,East
65,2013,01,10,01/10/2013,8:00 PM,Magic,East,Bucks,East
66,2013,01,10,01/10/2013,8:00 PM,Pelicans,West,Grizzlies,West
67,2013,01,10,01/10/2013,8:00 PM,Blazers,West,Rockets,West
68,2013,01,10,01/10/2013,8:00 PM,Thunder,West,Timberwolves,West
69,2013,01,10,01/10/2013,9:00 PM,Hawks,East,Nuggets,West
70,2013,01,11,01/11/2013,10:00 PM,Clippers,West,Kings,West
71,2013,01,11,01/11/2013,10:30 PM,Spurs,West,Lakers,West
72,2013,01,11,01/11/2013,3:00 PM,Celtics,East,76ers,East
73,2013,01,11,01/11/2013,8:00 PM,Cavaliers,East,Raptors,East
74,2013,01,12,01/12/2013,10:30 PM,Rockets,West,Suns,West
75,2013,01,12,01/12/2013,7:00 PM,Jazz,West,Hornets,East
76,2013,01,12,01/12/2013,7:00 PM,Cavaliers,East,Pacers,East
77,2013,01,12,01/12/2013,7:00 PM,Magic,East,Wizards,East
78,2013,01,12,01/12/2013,7:30 PM,Nets,East,Hawks,East
79,2013,01,12,01/12/2013,8:00 PM,Warriors,West,Bucks,East
80,2013,01,12,01/12/2013,8:00 PM,Blazers,West,Pelicans,West
81,2013,01,12,01/12/2013,8:00 PM,Knicks,East,Timberwolves,West
82,2013,01,12,01/12/2013,9:00 PM,Grizzlies,West,Nuggets,West
83,2013,01,13,01/13/2013,2:00 PM,Lakers,West,Mavericks,West
84,2013,01,13,01/13/2013,3:30 PM,Kings,West,Clippers,West
85,2013,01,13,01/13/2013,5:00 PM,Thunder,West,Hornets,East
86,2013,01,13,01/13/2013,7:00 PM,Nets,East,Wizards,East
87,2013,01,13,01/13/2013,7:30 PM,Warriors,West,Raptors,East
88,2013,01,13,01/13/2013,8:00 PM,Pistons,East,Bulls,East
89,2013,01,13,01/13/2013,8:30 PM,Nuggets,West,Spurs,West
90,2013,01,14,01/14/2013,1:00 PM,Bucks,East,Heat,East
91,2013,01,14,01/14/2013,3:30 PM,Pelicans,West,Knicks,East
92,2013,01,14,01/14/2013,8:00 PM,Pacers,East,Suns,West
93,2013,01,14,01/14/2013,9:00 PM,Blazers,West,Timberwolves,West
94,2013,01,15,01/15/2013,10:30 PM,Rockets,West,Clippers,West
95,2013,01,15,01/15/2013,12:30 PM,Hornets,East,Pistons,East
96,2013,01,15,01/15/2013,1:00 PM,Raptors,East,76ers,East
97,2013,01,15,01/15/2013,2:00 PM,Bucks,East,Wizards,East
98,2013,01,15,01/15/2013,3:00 PM,Spurs,West,Hawks,East
99,2013,01,15,01/15/2013,3:00 PM,Knicks,East,Nets,East
100,2013,01,15,01/15/2013,3:30 PM,Heat,East,Bulls,East
101,2013,01,15,01/15/2013,5:30 PM,Lakers,West,Grizzlies,West
102,2013,01,15,01/15/2013,8:00 PM,Warriors,West,Cavaliers,East
103,2013,01,15,01/15/2013,8:00 PM,Kings,West,Thunder,West
104,2013,01,15,01/15/2013,9:00 PM,Pacers,East,Jazz,West
105,2013,01,16,01/16/2013,10:00 PM,Suns,West,Blazers,West
106,2013,01,16,01/16/2013,7:00 PM,Timberwolves,West,Magic,East
107,2013,01,16,01/16/2013,7:30 PM,Pelicans,West,Celtics,East
108,2013,01,16,01/16/2013,9:00 PM,Mavericks,West,Nuggets,West
109,2013,01,17,01/17/2013,10:00 PM,Jazz,West,Kings,West
110,2013,01,17,01/17/2013,10:30 PM,Nuggets,West,Clippers,West
111,2013,01,17,01/17/2013,7:00 PM,Wizards,East,Hornets,East
112,2013,01,17,01/17/2013,7:30 PM,Pelicans,West,Hawks,East
113,2013,01,17,01/17/2013,7:30 PM,Spurs,West,Nets,East
114,2013,01,17,01/17/2013,7:30 PM,Pistons,East,Raptors,East
115,2013,01,17,01/17/2013,8:00 PM,Heat,East,Bucks,East
116,2013,01,17,01/17/2013,8:00 PM,Warriors,West,Bulls,East
117,2013,01,17,01/17/2013,8:00 PM,Knicks,East,Grizzlies,West
118,2013,01,17,01/17/2013,8:00 PM,Lakers,West,Thunder,West
119,2013,01,18,01/18/2013,10:00 PM,Pacers,East,Blazers,West
120,2013,01,18,01/18/2013,7:00 PM,Magic,East,Cavaliers,East
121,2013,01,18,01/18/2013,7:00 PM,76ers,East,Celtics,East
122,2013,01,18,01/18/2013,9:30 PM,Timberwolves,West,Rockets,West
123,2013,01,19,01/19/2013,10:30 PM,Knicks,East,Jazz,West
124,2013,01,19,01/19/2013,10:30 PM,Pacers,East,Lakers,West
125,2013,01,19,01/19/2013,7:00 PM,Spurs,West,Raptors,East
126,2013,01,19,01/19/2013,7:30 PM,Heat,East,Nets,East
127,2013,01,19,01/19/2013,8:00 PM,Kings,West,Grizzlies,West
128,2013,01,19,01/19/2013,8:00 PM,Wizards,East,Pistons,East
129,2013,01,19,01/19/2013,9:00 PM,Suns,West,Nuggets,West
130,2013,01,20,01/20/2013,10:00 PM,Mavericks,West,Blazers,West
131,2013,01,20,01/20/2013,3:30 PM,Thunder,West,Cavaliers,East
132,2013,01,20,01/20/2013,5:00 PM,Bulls,East,Hawks,East
133,2013,01,20,01/20/2013,7:00 PM,Heat,East,Hornets,East
134,2013,01,20,01/20/2013,7:00 PM,Grizzlies,West,Pelicans,West
135,2013,01,20,01/20/2013,7:30 PM,Bucks,East,76ers,East
136,2013,01,20,01/20/2013,8:30 PM,Warriors,West,Rockets,West
137,2013,01,20,01/20/2013,9:00 PM,Clippers,West,Jazz,West
138,2013,01,20,01/20/2013,9:00 PM,Raptors,East,Timberwolves,West
139,2013,01,21,01/21/2013,1:00 PM,Magic,East,Celtics,East
140,2013,01,21,01/21/2013,3:30 PM,Knicks,East,Lakers,West
141,2013,01,21,01/21/2013,4:00 PM,Nets,East,Pistons,East
142,2013,01,21,01/21/2013,7:00 PM,Pacers,East,Spurs,West
143,2013,01,22,01/22/2013,10:30 PM,Timberwolves,West,Clippers,West
144,2013,01,22,01/22/2013,7:00 PM,Kings,West,Hornets,East
145,2013,01,22,01/22/2013,7:30 PM,Jazz,West,Hawks,East
146,2013,01,22,01/22/2013,8:00 PM,Suns,West,Bucks,East
147,2013,01,22,01/22/2013,8:00 PM,76ers,East,Grizzlies,West
148,2013,01,22,01/22/2013,8:00 PM,Bulls,East,Pelicans,West
149,2013,01,22,01/22/2013,8:00 PM,Heat,East,Rockets,West
150,2013,01,22,01/22/2013,8:30 PM,Wizards,East,Mavericks,West
151,2013,01,22,01/22/2013,9:00 PM,Blazers,West,Nuggets,West
152,2013,01,23,01/23/2013,10:30 PM,Celtics,East,Lakers,West
153,2013,01,23,01/23/2013,10:30 PM,Knicks,East,Warriors,West
154,2013,01,23,01/23/2013,7:00 PM,Kings,West,Magic,East
155,2013,01,23,01/23/2013,8:00 PM,Cavaliers,East,Spurs,West
156,2013,01,23,01/23/2013,8:00 PM,Nets,East,Thunder,West
157,2013,01,24,01/24/2013,10:00 PM,Timberwolves,West,Blazers,West
158,2013,01,24,01/24/2013,10:30 PM,Celtics,East,Clippers,West
159,2013,01,24,01/24/2013,7:00 PM,Bulls,East,76ers,East
160,2013,01,24,01/24/2013,7:00 PM,Pelicans,West,Hornets,East
161,2013,01,24,01/24/2013,7:00 PM,Suns,West,Pacers,East
162,2013,01,24,01/24/2013,7:00 PM,Jazz,West,Pistons,East
163,2013,01,24,01/24/2013,7:30 PM,Raptors,East,Hawks,East
164,2013,01,24,01/24/2013,8:00 PM,Spurs,West,Grizzlies,West
165,2013,01,24,01/24/2013,8:00 PM,Rockets,West,Mavericks,West
166,2013,01,25,01/25/2013,10:30 PM,Timberwolves,West,Warriors,West
167,2013,01,25,01/25/2013,7:30 PM,Kings,West,Heat,East
168,2013,01,25,01/25/2013,8:00 PM,Wizards,East,Thunder,West
169,2013,01,25,01/25/2013,9:00 PM,Knicks,East,Nuggets,West
170,2013,01,26,01/26/2013,7:00 PM,Hawks,East,Hornets,East
171,2013,01,26,01/26/2013,7:30 PM,Pacers,East,Cavaliers,East
172,2013,01,26,01/26/2013,7:30 PM,Jazz,West,Raptors,East
173,2013,01,26,01/26/2013,8:00 PM,Nets,East,Bucks,East
174,2013,01,26,01/26/2013,8:00 PM,Lakers,West,Bulls,East
175,2013,01,26,01/26/2013,8:00 PM,Clippers,West,Grizzlies,West
176,2013,01,26,01/26/2013,8:00 PM,Rockets,West,Pelicans,West
177,2013,01,26,01/26/2013,8:30 PM,Blazers,West,Mavericks,West
178,2013,01,26,01/26/2013,8:30 PM,76ers,East,Spurs,West
179,2013,01,26,01/26/2013,9:00 PM,Knicks,East,Suns,West
180,2013,01,27,01/27/2013,5:00 PM,Thunder,West,Pistons,East
181,2013,01,27,01/27/2013,7:00 PM,Magic,East,Pacers,East
182,2013,01,27,01/27/2013,7:30 PM,Wizards,East,Hawks,East
183,2013,01,27,01/27/2013,7:30 PM,Hornets,East,Heat,East
184,2013,01,27,01/27/2013,8:30 PM,Celtics,East,Warriors,West
185,2013,01,27,01/27/2013,9:00 PM,Mavericks,West,Nuggets,West
186,2013,01,27,01/27/2013,9:00 PM,Nets,East,Timberwolves,West
187,2013,01,28,01/28/2013,3:30 PM,Bucks,East,Bulls,East
188,2013,01,28,01/28/2013,3:30 PM,Suns,West,Rockets,West
189,2013,01,28,01/28/2013,4:00 PM,Clippers,West,Pelicans,West
190,2013,01,28,01/28/2013,6:00 PM,Pistons,East,Cavaliers,East
191,2013,01,28,01/28/2013,6:00 PM,Lakers,West,Raptors,East
192,2013,01,28,01/28/2013,6:00 PM,76ers,East,Thunder,West
193,2013,01,28,01/28/2013,7:00 PM,Kings,West,Spurs,West
194,2013,01,29,01/29/2013,7:00 PM,Hornets,East,Pacers,East
195,2013,01,29,01/29/2013,7:30 PM,Timberwolves,West,Hawks,East
196,2013,01,29,01/29/2013,8:00 PM,76ers,East,Bucks,East
197,2013,01,29,01/29/2013,8:00 PM,Suns,West,Grizzlies,West
198,2013,01,29,01/29/2013,8:30 PM,Heat,East,Mavericks,West
199,2013,01,29,01/29/2013,9:00 PM,Celtics,East,Nuggets,West
200,2013,01,30,01/30/2013,10:30 PM,Blazers,West,Clippers,West
201,2013,01,30,01/30/2013,7:00 PM,Thunder,West,Wizards,East
202,2013,01,30,01/30/2013,7:30 PM,Nets,East,Knicks,East
203,2013,01,30,01/30/2013,7:30 PM,Timberwolves,West,Raptors,East
204,2013,01,30,01/30/2013,8:00 PM,Kings,West,Pelicans,West
205,2013,01,30,01/30/2013,8:00 PM,Cavaliers,East,Pistons,East
206,2013,01,30,01/30/2013,8:00 PM,Magic,East,Rockets,West
207,2013,01,30,01/30/2013,8:30 PM,Nuggets,West,Spurs,West
208,2013,01,30,01/30/2013,9:00 PM,Warriors,West,Jazz,West
209,2013,01,31,01/31/2013,10:00 PM,Bulls,East,Blazers,West
210,2013,01,31,01/31/2013,10:30 PM,Mavericks,West,Suns,West
211,2013,01,31,01/31/2013,7:00 PM,Lakers,West,Magic,East
212,2013,01,31,01/31/2013,7:00 PM,Grizzlies,West,Pacers,East
213,2013,01,31,01/31/2013,7:30 PM,Heat,East,Cavaliers,East
214,2013,01,31,01/31/2013,7:30 PM,Hornets,East,Hawks,East
215,2013,01,31,01/31/2013,7:30 PM,76ers,East,Nets,East
216,2013,01,31,01/31/2013,8:00 PM,Knicks,East,Celtics,East
217,2013,02,01,02/01/2013,10:30 PM,Thunder,West,Nuggets,West
218,2013,02,01,02/01/2013,7:00 PM,Grizzlies,West,Pistons,East
219,2013,02,01,02/01/2013,7:00 PM,Raptors,East,Wizards,East
