"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.AULD","2011-2012","OTT",6,8.48,4,1,75,83.75,-8.75,NA,100,50,-0.35
"ALLEN.YORK","2011-2012","CBJ",5,1.9,1,0,100,97,3,100,NA,NA,0.03
"AL.MONTOYA","2011-2012","NYI",15,20.32,11,2,81.82,83.27,-1.45,NA,100,71.43,-0.16
"ANDERS.LINDBACK","2011-2012","NSH",5,16.13,4,0,100,88.5,11.5,NA,100,100,0.46
"ANDERS.NILSSON","2011-2012","NYI",3,0.8,0,0,NA,NA,NA,NA,NA,NA,0
"ANDREW.RAYCROFT","2011-2012","DAL",3,2.5,3,0,100,88,12,100,100,100,0.36
"ANTTI.NIEMI","2011-2012","S.J",34,64.77,25,2,92,92.96,-0.96,100,100,33.33,-0.24
"BEN.BISHOP","2011-2012","OTT",7,12.23,2,0,100,93,7,NA,100,NA,0.14
"BEN.SCRIVENS","2011-2012","TOR",6,11.02,5,0,100,92.8,7.2,100,100,100,0.36
"BRADEN.HOLTBY","2011-2012","WSH",3,0.47,1,0,100,97,3,100,NA,NA,0.03
"BRAD.THIESSEN","2011-2012","PIT",4,2.93,3,1,66.67,90.33,-23.67,100,100,0,-0.71
"BRENT.JOHNSON","2011-2012","PIT",4,4,2,0,100,94,6,NA,100,NA,0.12
"BRIAN.BOUCHER","2011-2012","CAR",5,7.57,5,1,80,80.8,-0.8,100,100,50,-0.04
"BRIAN.ELLIOTT","2011-2012","STL",19,39.6,22,0,100,94.82,5.18,100,100,100,1.14
"CAM.WARD","2011-2012","CAR",34,64.7,37,2,94.59,89.76,4.84,100,100,81.82,1.79
"CAREY.PRICE","2011-2012","MTL",35,87.22,59,5,91.53,91.68,-0.15,100,95.65,69.23,-0.09
"CHRIS.MASON","2011-2012","WPG",6,10.23,1,0,100,97,3,100,NA,NA,0.03
"COREY.CRAWFORD","2011-2012","CHI",30,48.52,23,1,95.65,92.35,3.3,100,100,75,0.76
"CORY.SCHNEIDER","2011-2012","VAN",14,29.87,10,1,90,90.3,-0.3,100,75,100,-0.03
"CRAIG.ANDERSON","2011-2012","OTT",28,48.43,39,4,89.74,91.23,-1.49,100,85.71,75,-0.58
