"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.AULD","2010-2011","MTL",11,2.4,1,1,0,54,-54,NA,NA,0,-0.54
"AL.MONTOYA","2010-2011","NYI",7,0.47,0,0,NA,NA,NA,NA,NA,NA,0
"ANDERS.LINDBACK","2010-2011","NSH",13,1.3,0,0,NA,NA,NA,NA,NA,NA,0
"ANDREW.RAYCROFT","2010-2011","DAL",12,0.87,0,0,NA,NA,NA,NA,NA,NA,0
"ANTERO.NIITTYMAKI","2010-2011","S.J",12,3.7,0,0,NA,NA,NA,NA,NA,NA,0
"ANTON.KHUDOBIN","2010-2011","MIN",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.NIEMI","2010-2011","S.J",31,6.58,0,0,NA,NA,NA,NA,NA,NA,0
"BEN.BISHOP","2010-2011","STL",3,0,0,0,NA,NA,NA,NA,NA,NA,0
"BRADEN.HOLTBY","2010-2011","WSH",8,1.42,0,0,NA,NA,NA,NA,NA,NA,0
"BRENT.JOHNSON","2010-2011","PIT",15,6.53,0,0,NA,NA,NA,NA,NA,NA,0
"BRIAN.BOUCHER","2010-2011","PHI",20,2.6,0,0,NA,NA,NA,NA,NA,NA,0
"BRIAN.ELLIOTT","2010-2011","OTT/COL",26,4.48,2,0,100,94.5,5.5,100,100,NA,0.11
"CAM.WARD","2010-2011","CAR",34,4.45,0,0,NA,NA,NA,NA,NA,NA,0
"CAREY.PRICE","2010-2011","MTL",34,0.18,0,0,NA,NA,NA,NA,NA,NA,0
"CHAD.JOHNSON","2010-2011","NYR",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"CHRIS.MASON","2010-2011","ATL",18,2.27,0,0,NA,NA,NA,NA,NA,NA,0
"CHRIS.OSGOOD","2010-2011","DET",7,1.17,0,0,NA,NA,NA,NA,NA,NA,0
"COREY.CRAWFORD","2010-2011","CHI",27,2.4,0,0,NA,NA,NA,NA,NA,NA,0
"CORY.SCHNEIDER","2010-2011","VAN",14,0.78,0,0,NA,NA,NA,NA,NA,NA,0
"CRAIG.ANDERSON","2010-2011","COL/OTT",24,0,0,0,NA,NA,NA,NA,NA,NA,0
"CURTIS.MCELHINNEY","2010-2011","ANA/OTT",20,2.37,0,0,NA,NA,NA,NA,NA,NA,0
"DAN.ELLIS","2010-2011","T.B/ANA",22,3.22,0,0,NA,NA,NA,NA,NA,NA,0
"DEVAN.DUBNYK","2010-2011","EDM",19,3.68,0,0,NA,NA,NA,NA,NA,NA,0
"DWAYNE.ROLOSON","2010-2011","NYI/T.B",24,0.6,0,0,NA,NA,NA,NA,NA,NA,0
"HENRIK.KARLSSON","2010-2011","CGY",12,1.63,0,0,NA,NA,NA,NA,NA,NA,0
"HENRIK.LUNDQVIST","2010-2011","NYR",34,7.7,0,0,NA,NA,NA,NA,NA,NA,0
"ILYA.BRYZGALOV","2010-2011","ARI",28,0.85,0,0,NA,NA,NA,NA,NA,NA,0
"JACOB.MARKSTROM","2010-2011","FLA",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"JAMES.REIMER","2010-2011","TOR",21,1.92,0,0,NA,NA,NA,NA,NA,NA,0
"JAROSLAV.HALAK","2010-2011","STL",25,1.13,0,0,NA,NA,NA,NA,NA,NA,0
"JASON.LABARBERA","2010-2011","ARI",15,0,0,0,NA,NA,NA,NA,NA,NA,0
"JEAN-SEBASTIEN.GIGUERE","2010-2011","TOR",13,3.38,0,0,NA,NA,NA,NA,NA,NA,0
"JHONAS.ENROTH","2010-2011","BUF",8,0,0,0,NA,NA,NA,NA,NA,NA,0
"JIMMY.HOWARD","2010-2011","DET",28,3.67,0,0,NA,NA,NA,NA,NA,NA,0
"JOEY.MACDONALD","2010-2011","DET",9,2,0,0,NA,NA,NA,NA,NA,NA,0
"JOHAN.HEDBERG","2010-2011","N.J",16,0.97,0,0,NA,NA,NA,NA,NA,NA,0
"JONAS.GUSTAVSSON","2010-2011","TOR",13,1.33,0,0,NA,NA,NA,NA,NA,NA,0
"JONAS.HILLER","2010-2011","ANA",24,0.9,0,0,NA,NA,NA,NA,NA,NA,0
"JONATHAN.BERNIER","2010-2011","L.A",15,0.75,0,0,NA,NA,NA,NA,NA,NA,0
"JONATHAN.QUICK","2010-2011","L.A",28,2.83,0,0,NA,NA,NA,NA,NA,NA,0
"JOSE.THEODORE","2010-2011","MIN",24,2.17,0,0,NA,NA,NA,NA,NA,NA,0
"JUSTIN.PETERS","2010-2011","CAR",9,0.7,0,0,NA,NA,NA,NA,NA,NA,0
"KARI.LEHTONEN","2010-2011","DAL",31,1.85,0,0,NA,NA,NA,NA,NA,NA,0
"KEVIN.POULIN","2010-2011","NYI",5,1.65,0,0,NA,NA,NA,NA,NA,NA,0
"MARC-ANDRE.FLEURY","2010-2011","PIT",29,1.22,0,0,NA,NA,NA,NA,NA,NA,0
"MARTIN.BIRON","2010-2011","NYR",9,0.73,0,0,NA,NA,NA,NA,NA,NA,0
"MARTIN.BRODEUR","2010-2011","N.J",31,2.68,0,0,NA,NA,NA,NA,NA,NA,0
"MARTIN.GERBER","2010-2011","EDM",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"MARTY.TURCO","2010-2011","CHI",17,5.22,0,0,NA,NA,NA,NA,NA,NA,0
"MATHIEU.GARON","2010-2011","CBJ",20,5.48,0,0,NA,NA,NA,NA,NA,NA,0
"MATT.CLIMIE","2010-2011","ARI",1,1.75,0,0,NA,NA,NA,NA,NA,NA,0
"MICHAEL.LEIGHTON","2010-2011","PHI",1,1.62,0,0,NA,NA,NA,NA,NA,NA,0
"MICHAL.NEUVIRTH","2010-2011","WSH",23,1.63,0,0,NA,NA,NA,NA,NA,NA,0
"MIIKKA.KIPRUSOFF","2010-2011","CGY",34,1.1,0,0,NA,NA,NA,NA,NA,NA,0
"MIKE.BRODEUR","2010-2011","OTT",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"MIKE.MCKENNA","2010-2011","N.J",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"MIKE.SMITH","2010-2011","T.B",15,4.42,0,0,NA,NA,NA,NA,NA,NA,0
"MIKKO.KOSKINEN","2010-2011","NYI",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"NATHAN.LAWSON","2010-2011","NYI",7,0,0,0,NA,NA,NA,NA,NA,NA,0
"NIKLAS.BACKSTROM","2010-2011","MIN",19,3,0,0,NA,NA,NA,NA,NA,NA,0
"NIKOLAI.KHABIBULIN","2010-2011","EDM",22,5.73,0,0,NA,NA,NA,NA,NA,NA,0
"ONDREJ.PAVELEC","2010-2011","ATL",29,5.42,0,0,NA,NA,NA,NA,NA,NA,0
"PASCAL.LECLAIRE","2010-2011","OTT",7,0,0,0,NA,NA,NA,NA,NA,NA,0
"PATRICK.LALIME","2010-2011","BUF",3,0.37,0,0,NA,NA,NA,NA,NA,NA,0
"PEKKA.RINNE","2010-2011","NSH",30,1.7,0,0,NA,NA,NA,NA,NA,NA,0
"PETER.BUDAJ","2010-2011","COL",22,2.9,0,0,NA,NA,NA,NA,NA,NA,0
"PETER.MANNINO","2010-2011","ATL",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"RAY.EMERY","2010-2011","ANA",5,0.78,0,0,NA,NA,NA,NA,NA,NA,0
"RICHARD.BACHMAN","2010-2011","DAL",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"RICK.DIPIETRO","2010-2011","NYI",13,2.27,1,0,100,91,9,NA,100,NA,0.09
"ROBERTO.LUONGO","2010-2011","VAN",28,3.15,0,0,NA,NA,NA,NA,NA,NA,0
"ROBIN.LEHNER","2010-2011","OTT",6,0.53,0,0,NA,NA,NA,NA,NA,NA,0
"RYAN.MILLER","2010-2011","BUF",32,5.77,0,0,NA,NA,NA,NA,NA,NA,0
"SCOTT.CLEMMENSEN","2010-2011","FLA",15,2.8,0,0,NA,NA,NA,NA,NA,NA,0
"SEMYON.VARLAMOV","2010-2011","WSH",13,1.57,0,0,NA,NA,NA,NA,NA,NA,0
"SERGEI.BOBROVSKY","2010-2011","PHI",23,0.5,0,0,NA,NA,NA,NA,NA,NA,0
"STEVE.MASON","2010-2011","CBJ",26,2.72,0,0,NA,NA,NA,NA,NA,NA,0
