"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.AULD","2011-2012","OTT",5,0,0,0,NA,NA,NA,NA,NA,NA,0
"ALLEN.YORK","2011-2012","CBJ",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"AL.MONTOYA","2011-2012","NYI",9,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANDERS.LINDBACK","2011-2012","NSH",9,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANDERS.NILSSON","2011-2012","NYI",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANDREW.RAYCROFT","2011-2012","DAL",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTON.KHUDOBIN","2011-2012","BOS",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.NIEMI","2011-2012","S.J",18,0,0,0,NA,NA,NA,NA,NA,NA,0
"BEN.BISHOP","2011-2012","OTT",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"BEN.SCRIVENS","2011-2012","TOR",5,0,0,0,NA,NA,NA,NA,NA,NA,0
"BRADEN.HOLTBY","2011-2012","WSH",3,0,0,0,NA,NA,NA,NA,NA,NA,0
"BRAD.THIESSEN","2011-2012","PIT",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"BRENT.JOHNSON","2011-2012","PIT",10,0,0,0,NA,NA,NA,NA,NA,NA,0
"BRIAN.BOUCHER","2011-2012","CAR",5,0.52,0,0,NA,NA,NA,NA,NA,NA,0
"BRIAN.ELLIOTT","2011-2012","STL",9,0,0,0,NA,NA,NA,NA,NA,NA,0
"CAM.WARD","2011-2012","CAR",21,0,0,0,NA,NA,NA,NA,NA,NA,0
"CAREY.PRICE","2011-2012","MTL",24,0,0,0,NA,NA,NA,NA,NA,NA,0
"CHRIS.MASON","2011-2012","WPG",8,0,0,0,NA,NA,NA,NA,NA,NA,0
"COREY.CRAWFORD","2011-2012","CHI",19,0,0,0,NA,NA,NA,NA,NA,NA,0
"CORY.SCHNEIDER","2011-2012","VAN",12,0,0,0,NA,NA,NA,NA,NA,NA,0
"CRAIG.ANDERSON","2011-2012","OTT",20,0,0,0,NA,NA,NA,NA,NA,NA,0
"CURTIS.SANFORD","2011-2012","CBJ",12,0,0,0,NA,NA,NA,NA,NA,NA,0
"DAN.ELLIS","2011-2012","ANA",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"DEVAN.DUBNYK","2011-2012","EDM",20,0,0,0,NA,NA,NA,NA,NA,NA,0
"DREW.MACINTYRE","2011-2012","BUF",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"DUSTIN.TOKARSKI","2011-2012","T.B",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"DWAYNE.ROLOSON","2011-2012","T.B",15,0.97,0,0,NA,NA,NA,NA,NA,NA,0
"EVGENI.NABOKOV","2011-2012","NYI",17,0,0,0,NA,NA,NA,NA,NA,NA,0
"HENRIK.KARLSSON","2011-2012","CGY",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"HENRIK.LUNDQVIST","2011-2012","NYR",16,0,0,0,NA,NA,NA,NA,NA,NA,0
"ILYA.BRYZGALOV","2011-2012","PHI",18,1.68,0,0,NA,NA,NA,NA,NA,NA,0
"JACOB.MARKSTROM","2011-2012","FLA",3,0,0,0,NA,NA,NA,NA,NA,NA,0
"JAMES.REIMER","2011-2012","TOR",12,0,0,0,NA,NA,NA,NA,NA,NA,0
"JAROSLAV.HALAK","2011-2012","STL",16,0,0,0,NA,NA,NA,NA,NA,NA,0
"JASON.LABARBERA","2011-2012","ARI",7,0,0,0,NA,NA,NA,NA,NA,NA,0
"JEAN-SEBASTIEN.GIGUERE","2011-2012","COL",9,0,0,0,NA,NA,NA,NA,NA,NA,0
"JEFF.DESLAURIERS","2011-2012","ANA",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"JHONAS.ENROTH","2011-2012","BUF",6,0,0,0,NA,NA,NA,NA,NA,NA,0
"JIMMY.HOWARD","2011-2012","DET",18,0,0,0,NA,NA,NA,NA,NA,NA,0
"JOEY.MACDONALD","2011-2012","DET",5,0,0,0,NA,NA,NA,NA,NA,NA,0
"JOHAN.HEDBERG","2011-2012","N.J",13,0,0,0,NA,NA,NA,NA,NA,NA,0
"JONAS.GUSTAVSSON","2011-2012","TOR",15,0.37,1,0,100,94,6,NA,100,NA,0.06
"JONAS.HILLER","2011-2012","ANA",27,1.17,0,0,NA,NA,NA,NA,NA,NA,0
"JONATHAN.BERNIER","2011-2012","L.A",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"JONATHAN.QUICK","2011-2012","L.A",20,0,0,0,NA,NA,NA,NA,NA,NA,0
"JOSE.THEODORE","2011-2012","FLA",15,2,0,0,NA,NA,NA,NA,NA,NA,0
"JOSH.HARDING","2011-2012","MIN",11,0,0,0,NA,NA,NA,NA,NA,NA,0
