"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.STALOCK","2013-2014","S.J",16,0,0,0,NA,NA,NA,NA,NA,NA,0
"AL.MONTOYA","2013-2014","WPG",16,1,0,0,NA,NA,NA,NA,NA,NA,0
"ANDERS.LINDBACK","2013-2014","T.B",13,1.98,5,1,80,78,2,NA,100,66.67,0.1
"ANDERS.NILSSON","2013-2014","NYI",10,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTON.KHUDOBIN","2013-2014","CAR",16,0.07,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.NIEMI","2013-2014","S.J",29,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.RAANTA","2013-2014","CHI",16,5.22,8,1,87.5,79.75,7.75,NA,100,75,0.62
"BEN.BISHOP","2013-2014","T.B",30,1.4,3,1,66.67,78.33,-11.67,NA,100,50,-0.35
"BEN.SCRIVENS","2013-2014","L.A/EDM",20,3.03,5,1,80,74.2,5.8,NA,NA,80,0.29
"BRADEN.HOLTBY","2013-2014","WSH",25,2.35,2,1,50,81,-31,NA,0,100,-0.62
"BRIAN.ELLIOTT","2013-2014","STL",18,1.63,4,0,100,81.25,18.75,NA,NA,100,0.75
"CAM.TALBOT","2013-2014","NYR",13,0,0,0,NA,NA,NA,NA,NA,NA,0
"CAM.WARD","2013-2014","CAR",16,0.7,2,0,100,72.5,27.5,NA,NA,100,0.55
"CAREY.PRICE","2013-2014","MTL",22,3.88,6,1,83.33,79.67,3.67,NA,75,100,0.22
"CARTER.HUTTON","2013-2014","NSH",24,0,0,0,NA,NA,NA,NA,NA,NA,0
"CHAD.JOHNSON","2013-2014","BOS",18,1.67,3,1,66.67,75.67,-9,NA,100,50,-0.27
"CONNOR.KNAPP","2013-2014","BUF",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"COREY.CRAWFORD","2013-2014","CHI",27,2.18,13,3,76.92,76.23,0.69,NA,100,62.5,0.09
"CORY.SCHNEIDER","2013-2014","N.J",24,1.98,0,0,NA,NA,NA,NA,NA,NA,0
"CRAIG.ANDERSON","2013-2014","OTT",23,3.98,9,1,88.89,77.56,11.33,NA,100,83.33,1.02
"CRISTOPHER.NILSTORP","2013-2014","DAL",1,0.78,0,0,NA,NA,NA,NA,NA,NA,0
"CURTIS.MCELHINNEY","2013-2014","CBJ",14,0,0,0,NA,NA,NA,NA,NA,NA,0
"DAN.ELLIS","2013-2014","DAL/FLA",10,0,0,0,NA,NA,NA,NA,NA,NA,0
"DARCY.KUEMPER","2013-2014","MIN",14,1.23,1,0,100,85,15,NA,NA,100,0.15
"DEVAN.DUBNYK","2013-2014","EDM/NSH",18,2.63,6,3,50,78.83,-28.83,NA,NA,50,-1.73
"DREW.MACINTYRE","2013-2014","TOR",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"DUSTIN.TOKARSKI","2013-2014","MTL",3,0,0,0,NA,NA,NA,NA,NA,NA,0
"EDDIE.LACK","2013-2014","VAN",24,5.08,9,1,88.89,77.44,11.44,NA,100,85.71,1.03
"EVGENI.NABOKOV","2013-2014","NYI",15,0,0,0,NA,NA,NA,NA,NA,NA,0
"FREDERIK.ANDERSEN","2013-2014","ANA",14,1.9,1,0,100,88,12,NA,100,NA,0.12
"HENRIK.LUNDQVIST","2013-2014","NYR",29,2.7,4,0,100,84,16,NA,100,100,0.64
"ILYA.BRYZGALOV","2013-2014","EDM/MIN",19,2.32,8,1,87.5,77.88,9.62,NA,66.67,100,0.77
"JACK.CAMPBELL","2013-2014","DAL",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"JACOB.MARKSTROM","2013-2014","FLA/VAN",7,1.38,2,1,50,86,-36,NA,NA,50,-0.72
"JAMES.REIMER","2013-2014","TOR",18,4.53,5,1,80,67,13,NA,100,66.67,0.65
"JAROSLAV.HALAK","2013-2014","STL/WSH",24,3.7,7,1,85.71,73.57,12.14,NA,100,83.33,0.85
"JASON.LABARBERA","2013-2014","EDM",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"JEAN-SEBASTIEN.GIGUERE","2013-2014","COL",16,1.83,4,2,50,68.75,-18.75,NA,50,50,-0.75
"JEFF.ZATKOFF","2013-2014","PIT",11,1.38,2,1,50,67,-17,NA,NA,50,-0.34
"JHONAS.ENROTH","2013-2014","BUF",14,0,0,0,NA,NA,NA,NA,NA,NA,0
"JIMMY.HOWARD","2013-2014","DET",24,2.55,2,1,50,79,-29,NA,100,0,-0.58
"JOACIM.ERIKSSON","2013-2014","VAN",1,7.42,13,3,76.92,75.15,1.77,NA,100,70,0.23
"JOEY.MACDONALD","2013-2014","CGY",6,0,0,0,NA,NA,NA,NA,NA,NA,0
"JOHN.GIBSON","2013-2014","ANA",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"JONAS.GUSTAVSSON","2013-2014","DET",13,1.88,3,0,100,87.67,12.33,NA,100,100,0.37
"JONAS.HILLER","2013-2014","ANA",23,1.97,5,2,60,73,-13,NA,100,50,-0.65
"JONATHAN.BERNIER","2013-2014","TOR",26,0.78,4,2,50,78.5,-28.5,NA,NA,50,-1.14
"JONATHAN.QUICK","2013-2014","L.A",19,0.5,0,0,NA,NA,NA,NA,NA,NA,0
"JONI.ORTIO","2013-2014","CGY",2,0.1,0,0,NA,NA,NA,NA,NA,NA,0
"JOSH.HARDING","2013-2014","MIN",12,0.37,1,0,100,86,14,NA,NA,100,0.14
"JUSTIN.PETERS","2013-2014","CAR",11,3.65,6,1,83.33,77.33,6,NA,100,66.67,0.36
"KARI.LEHTONEN","2013-2014","DAL",31,7.9,16,2,87.5,77,10.5,NA,100,86.67,1.68
"KARRI.RAMO","2013-2014","CGY",22,4.8,7,1,85.71,74.29,11.43,NA,100,75,0.8
