"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"AARON.DELL","2016-2017","S.J",11,0,0,0,NA,NA,NA,NA,NA,NA,0
"ALEX.NEDELJKOVIC","2016-2017","CAR",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"ALEX.STALOCK","2016-2017","MIN",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"AL.MONTOYA","2016-2017","MTL",14,2.67,1,0,100,61,39,NA,NA,100,0.39
"ANDERS.NILSSON","2016-2017","BUF",15,0.42,1,1,0,75,-75,NA,NA,0,-0.75
"ANDREI.VASILEVSKIY","2016-2017","T.B",22,1.1,3,0,100,73.33,26.67,NA,NA,100,0.8
"ANDREW.HAMMOND","2016-2017","OTT",5,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTHONY.STOLARZ","2016-2017","PHI",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTOINE.BIBEAU","2016-2017","TOR",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTON.FORSBERG","2016-2017","CBJ",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTON.KHUDOBIN","2016-2017","BOS",7,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.NIEMI","2016-2017","DAL",15,3.88,8,3,62.5,86.25,-23.75,NA,80,33.33,-1.9
"ANTTI.RAANTA","2016-2017","NYR",16,0,0,0,NA,NA,NA,NA,NA,NA,0
"BEN.BISHOP","2016-2017","T.B/L.A",21,2.97,3,1,66.67,74,-7.33,NA,NA,66.67,-0.22
"BRADEN.HOLTBY","2016-2017","WSH",26,0.68,2,0,100,72.5,27.5,NA,100,100,0.55
"BRIAN.ELLIOTT","2016-2017","CGY",24,5.28,7,2,71.43,77.57,-6.14,NA,NA,71.43,-0.43
"CALVIN.PICKARD","2016-2017","COL",25,2.38,6,2,66.67,73.33,-6.67,NA,100,60,-0.4
"CAM.TALBOT","2016-2017","EDM",35,1.72,4,2,50,73,-23,NA,100,33.33,-0.92
"CAM.WARD","2016-2017","CAR",28,3.03,3,0,100,70.33,29.67,NA,100,100,0.89
"CAREY.PRICE","2016-2017","MTL",25,0.88,3,2,33.33,67.67,-34.33,NA,NA,33.33,-1.03
"CARTER.HUTTON","2016-2017","STL",16,3.02,3,0,100,69,31,NA,NA,100,0.93
"CHAD.JOHNSON","2016-2017","CGY",17,0.37,2,0,100,92.5,7.5,NA,100,NA,0.15
"CHARLIE.LINDGREN","2016-2017","MTL",2,1.13,0,0,NA,NA,NA,NA,NA,NA,0
"CHRIS.DRIEDGER","2016-2017","OTT",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"CONNOR.HELLEBUYCK","2016-2017","WPG",24,0.13,1,0,100,93,7,NA,100,NA,0.07
"COREY.CRAWFORD","2016-2017","CHI",28,3.37,10,2,80,77.5,2.5,NA,100,77.78,0.25
"CORY.SCHNEIDER","2016-2017","N.J",27,3.17,1,0,100,81,19,NA,NA,100,0.19
"CRAIG.ANDERSON","2016-2017","OTT",20,0.37,0,0,NA,NA,NA,NA,NA,NA,0
"CURTIS.MCELHINNEY","2016-2017","CBJ/TOR",12,0.53,0,0,NA,NA,NA,NA,NA,NA,0
"DARCY.KUEMPER","2016-2017","MIN",12,0.3,1,0,100,90,10,NA,100,NA,0.1
"DAVID.RITTICH","2016-2017","CGY",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"DEVAN.DUBNYK","2016-2017","MIN",31,2.2,2,1,50,77,-27,NA,100,0,-0.54
"EDDIE.LACK","2016-2017","CAR",11,0.37,0,0,NA,NA,NA,NA,NA,NA,0
"ERIC.COMRIE","2016-2017","WPG",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"FREDERIK.ANDERSEN","2016-2017","TOR",31,4.7,10,0,100,80.7,19.3,NA,100,100,1.93
"HENRIK.LUNDQVIST","2016-2017","NYR",26,0.48,0,0,NA,NA,NA,NA,NA,NA,0
"JACOB.MARKSTROM","2016-2017","VAN",16,1.3,0,0,NA,NA,NA,NA,NA,NA,0
"JAKE.ALLEN","2016-2017","STL",29,0.43,2,1,50,66,-16,NA,NA,50,-0.32
"JAMES.REIMER","2016-2017","FLA",21,1.18,1,0,100,92,8,NA,100,NA,0.08
"JARED.COREAU","2016-2017","DET",9,1.27,1,0,100,82,18,NA,NA,100,0.18
"JAROSLAV.HALAK","2016-2017","NYI",14,0.15,0,0,NA,NA,NA,NA,NA,NA,0
"JEAN-FRANCOIS.BERUBE","2016-2017","NYI",8,0,0,0,NA,NA,NA,NA,NA,NA,0
"JEFF.ZATKOFF","2016-2017","L.A",9,0.37,0,0,NA,NA,NA,NA,NA,NA,0
"JEREMY.SMITH","2016-2017","COL",7,0,0,0,NA,NA,NA,NA,NA,NA,0
"JHONAS.ENROTH","2016-2017","TOR",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"JIMMY.HOWARD","2016-2017","DET",11,1.07,3,1,66.67,72,-5.33,NA,NA,66.67,-0.16
"JOHN.GIBSON","2016-2017","ANA",26,3.65,8,0,100,76.38,23.62,NA,100,100,1.89
"JONAS.GUSTAVSSON","2016-2017","EDM",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"JONATHAN.BERNIER","2016-2017","ANA",22,1.67,3,2,33.33,76.67,-43.33,NA,NA,33.33,-1.3
"JONATHAN.QUICK","2016-2017","L.A",7,0,0,0,NA,NA,NA,NA,NA,NA,0
"JON.GILLIES","2016-2017","CGY",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"JOONAS.KORPISALO","2016-2017","CBJ",10,0,0,0,NA,NA,NA,NA,NA,NA,0
"JUSTIN.PETERS","2016-2017","ARI",3,0,0,0,NA,NA,NA,NA,NA,NA,0
"JUUSE.SAROS","2016-2017","NSH",12,0.77,1,0,100,65,35,NA,NA,100,0.35
"KARI.LEHTONEN","2016-2017","DAL",33,0.5,1,1,0,83,-83,NA,NA,0,-0.83
"KEITH.KINKAID","2016-2017","N.J",15,5.18,5,1,80,82.6,-2.6,NA,100,75,-0.13
"KRISTERS.GUDLEVSKIS","2016-2017","T.B",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"LAURENT.BROSSOIT","2016-2017","EDM",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"LINUS.ULLMARK","2016-2017","BUF",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"LOUIS.DOMINGUE","2016-2017","ARI",19,0.65,1,1,0,75,-75,NA,NA,0,-0.75
"MARC-ANDRE.FLEURY","2016-2017","PIT",18,3.62,3,1,66.67,74.33,-7.67,NA,NA,66.67,-0.23
"MAREK.MAZANEC","2016-2017","NSH",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"MARTIN.JONES","2016-2017","S.J",32,1.35,3,1,66.67,82,-15.33,NA,NA,66.67,-0.46
"MATTHEW.MURRAY","2016-2017","PIT",25,2.02,3,0,100,72.33,27.67,NA,NA,100,0.83
"MICHAEL.HUTCHINSON","2016-2017","WPG",15,1.87,2,1,50,81,-31,NA,100,0,-0.62
"MICHAEL.LEIGHTON","2016-2017","CAR",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"MICHAL.NEUVIRTH","2016-2017","PHI",14,2.73,3,0,100,83,17,NA,100,100,0.51
"MIKE.CONDON","2016-2017","PIT/OTT",21,1.37,1,0,100,89,11,NA,100,NA,0.11
"MIKE.SMITH","2016-2017","ARI",25,3.4,2,0,100,83.5,16.5,NA,100,100,0.33
"ONDREJ.PAVELEC","2016-2017","WPG",3,0,0,0,NA,NA,NA,NA,NA,NA,0
"PEKKA.RINNE","2016-2017","NSH",27,3.42,3,0,100,76.33,23.67,NA,100,100,0.71
"PETER.BUDAJ","2016-2017","L.A/T.B",32,2.88,4,0,100,81,19,NA,100,100,0.76
"PETR.MRAZEK","2016-2017","DET",26,0.72,2,1,50,76.5,-26.5,NA,NA,50,-0.53
"PHEONIX.COPLEY","2016-2017","STL",1,0.33,0,0,NA,NA,NA,NA,NA,NA,0
"PHILIPP.GRUBAUER","2016-2017","WSH",17,1.98,1,0,100,75,25,NA,NA,100,0.25
"RETO.BERRA","2016-2017","FLA",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"RICHARD.BACHMAN","2016-2017","VAN",5,1.45,1,1,0,83,-83,NA,NA,0,-0.83
"ROBERTO.LUONGO","2016-2017","FLA",20,1.28,2,0,100,80.5,19.5,NA,NA,100,0.39
"ROBIN.LEHNER","2016-2017","BUF",27,1.68,2,1,50,78,-28,NA,NA,50,-0.56
"RYAN.MILLER","2016-2017","VAN",22,1.9,2,0,100,82.5,17.5,NA,100,100,0.35
"SCOTT.DARLING","2016-2017","CHI",16,1.47,5,0,100,78.4,21.6,NA,100,100,1.08
"SEMYON.VARLAMOV","2016-2017","COL",11,1.78,4,1,75,76.75,-1.75,NA,NA,75,-0.07
"SERGEI.BOBROVSKY","2016-2017","CBJ",29,2.6,2,2,0,56.5,-56.5,NA,NA,0,-1.13
"SPENCER.MARTIN","2016-2017","COL",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"STEVE.MASON","2016-2017","PHI",28,1.07,2,2,0,74.5,-74.5,NA,NA,0,-1.49
"THOMAS.GREISS","2016-2017","NYI",28,0,0,0,NA,NA,NA,NA,NA,NA,0
"TRISTAN.JARRY","2016-2017","PIT",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"TUUKKA.RASK","2016-2017","BOS",32,3,2,0,100,75.5,24.5,NA,NA,100,0.49
"ZANE.MCINTYRE","2016-2017","BOS",5,0,0,0,NA,NA,NA,NA,NA,NA,0
