"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.STALOCK","2014-2015","S.J",10,54.62,7,1,85.71,94.14,-8.43,100,100,0,-0.59
"AL.MONTOYA","2014-2015","FLA",9,43.88,8,1,87.5,82.88,4.62,100,100,80,0.37
"ANDERS.LINDBACK","2014-2015","DAL/BUF",12,68.23,9,1,88.89,90.56,-1.67,100,100,50,-0.15
"ANDREI.VASILEVSKIY","2014-2015","T.B",8,26.68,3,0,100,95,5,100,100,NA,0.15
"ANDREW.HAMMOND","2014-2015","OTT",12,65.98,7,0,100,90,10,100,100,100,0.7
"ANTON.FORSBERG","2014-2015","CBJ",3,14.52,1,1,0,88,-88,NA,NA,0,-0.88
"ANTON.KHUDOBIN","2014-2015","CAR",16,55.9,7,1,85.71,91.29,-5.57,100,100,0,-0.39
"ANTTI.NIEMI","2014-2015","S.J",32,148.92,27,2,92.59,86.85,5.74,100,100,85.71,1.55
"ANTTI.RAANTA","2014-2015","CHI",10,43.27,5,0,100,93.6,6.4,100,100,100,0.32
"BEN.BISHOP","2014-2015","T.B",34,174.62,23,2,91.3,91,0.3,100,100,66.67,0.07
"BEN.SCRIVENS","2014-2015","EDM",33,146.3,15,3,80,90.73,-10.73,100,88.89,50,-1.61
"BRADEN.HOLTBY","2014-2015","WSH",36,154.38,29,2,93.1,92.59,0.52,100,100,66.67,0.15
"BRIAN.ELLIOTT","2014-2015","STL",24,117.63,19,3,84.21,92.47,-8.26,100,80,75,-1.57
"CALVIN.PICKARD","2014-2015","COL",9,47.93,10,0,100,91.9,8.1,100,100,100,0.81
"CAM.TALBOT","2014-2015","NYR",17,73.48,9,0,100,88.67,11.33,100,100,100,1.02
"CAM.WARD","2014-2015","CAR",27,131.9,12,0,100,93.17,6.83,100,100,100,0.82
"CAREY.PRICE","2014-2015","MTL",37,177.88,30,3,90,89.37,0.63,100,100,57.14,0.19
"CARTER.HUTTON","2014-2015","NSH",5,18.83,3,0,100,94,6,100,100,NA,0.18
"CHAD.JOHNSON","2014-2015","NYI",6,18.2,2,0,100,85,15,NA,100,100,0.3
"CHRIS.DRIEDGER","2014-2015","OTT",1,4.93,2,0,100,94.5,5.5,100,100,NA,0.11
"COREY.CRAWFORD","2014-2015","CHI",29,148.17,23,4,82.61,92.7,-10.09,100,100,20,-2.32
"CORY.SCHNEIDER","2014-2015","N.J",34,143.17,16,1,93.75,90,3.75,80,100,100,0.6
"CRAIG.ANDERSON","2014-2015","OTT",17,103.28,21,1,95.24,86.14,9.1,100,100,88.89,1.91
"CURTIS.MCELHINNEY","2014-2015","CBJ",13,55.62,3,1,66.67,89,-22.33,NA,100,0,-0.67
"DAN.ELLIS","2014-2015","FLA",5,21.82,4,1,75,80.75,-5.75,NA,100,66.67,-0.23
"DARCY.KUEMPER","2014-2015","MIN",15,56.4,9,0,100,92.56,7.44,100,100,100,0.67
"DEVAN.DUBNYK","2014-2015","ARI/MIN",29,126.9,17,0,100,90.18,9.82,100,100,100,1.67
"DUSTIN.TOKARSKI","2014-2015","MTL",4,16.65,3,0,100,84.67,15.33,100,NA,100,0.46
"EDDIE.LACK","2014-2015","VAN",20,94.38,16,0,100,91.38,8.62,100,100,100,1.38
"EVGENI.NABOKOV","2014-2015","T.B",2,10.1,0,0,NA,NA,NA,NA,NA,NA,0
"FREDERIK.ANDERSEN","2014-2015","ANA",28,133.78,23,1,95.65,92.3,3.35,100,100,66.67,0.77
"HENRIK.LUNDQVIST","2014-2015","NYR",26,117.82,17,2,88.24,89.35,-1.12,100,100,60,-0.19
"ILYA.BRYZGALOV","2014-2015","ANA",2,7.42,0,0,NA,NA,NA,NA,NA,NA,0
"JACOB.MARKSTROM","2014-2015","VAN",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"JAKE.ALLEN","2014-2015","STL",18,84.45,10,0,100,92.5,7.5,100,100,100,0.75
"JAMES.REIMER","2014-2015","TOR",14,59.55,11,2,81.82,96.18,-14.36,71.43,100,NA,-1.58
"JAROSLAV.HALAK","2014-2015","NYI",34,185.57,25,1,96,87.8,8.2,100,100,85.71,2.05
"JASON.LABARBERA","2014-2015","ANA",3,5.05,0,0,NA,NA,NA,NA,NA,NA,0
"JHONAS.ENROTH","2014-2015","BUF/DAL",25,120.58,21,3,85.71,86.9,-1.19,100,100,70,-0.25
"JIMMY.HOWARD","2014-2015","DET",30,162.97,21,1,95.24,92.1,3.14,100,100,66.67,0.66
"JOHN.CURRY","2014-2015","MIN",1,9.27,1,1,0,77,-77,NA,NA,0,-0.77
"JOHN.GIBSON","2014-2015","ANA",10,50.22,5,0,100,93.8,6.2,100,100,100,0.31
"JONAS.GUSTAVSSON","2014-2015","DET",1,7.42,2,0,100,94.5,5.5,100,100,NA,0.11
"JONAS.HILLER","2014-2015","CGY",28,151.08,17,0,100,95.06,4.94,100,100,100,0.84
"JONATHAN.BERNIER","2014-2015","TOR",33,164.83,45,5,88.89,91.16,-2.27,88.89,88.24,90,-1.02
