"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"AARON.DELL","2016-2017","S.J",9,6.77,0,0,NA,NA,NA,NA,NA,NA,0
"ALEX.STALOCK","2016-2017","MIN",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"AL.MONTOYA","2016-2017","MTL",5,3.98,1,0,100,94,6,NA,100,NA,0.06
"ANDERS.NILSSON","2016-2017","BUF",10,1.2,1,0,100,93,7,NA,100,NA,0.07
"ANDREI.VASILEVSKIY","2016-2017","T.B",28,24.17,11,1,90.91,93,-2.09,100,85.71,100,-0.23
"ANDREW.HAMMOND","2016-2017","OTT",1,2.3,1,0,100,92,8,NA,100,NA,0.08
"ANTHONY.STOLARZ","2016-2017","PHI",3,6.88,2,0,100,95.5,4.5,100,100,NA,0.09
"ANTOINE.BIBEAU","2016-2017","TOR",1,0.18,0,0,NA,NA,NA,NA,NA,NA,0
"ANTON.KHUDOBIN","2016-2017","BOS",9,7,7,1,85.71,91.14,-5.43,100,100,0,-0.38
"ANTTI.NIEMI","2016-2017","DAL",22,18.9,18,1,94.44,89.22,5.22,100,80,100,0.94
"ANTTI.RAANTA","2016-2017","NYR",13,11.43,5,0,100,80.4,19.6,NA,100,100,0.98
"BEN.BISHOP","2016-2017","T.B/L.A",17,20.93,18,4,77.78,89.5,-11.72,100,83.33,57.14,-2.11
"BRADEN.HOLTBY","2016-2017","WSH",36,36.2,13,0,100,93.15,6.85,100,100,100,0.89
"BRIAN.ELLIOTT","2016-2017","CGY",24,15.82,9,1,88.89,91.22,-2.33,100,100,0,-0.21
"CALVIN.PICKARD","2016-2017","COL",25,13.23,4,0,100,92.25,7.75,100,100,NA,0.31
"CAM.TALBOT","2016-2017","EDM",38,26.67,10,1,90,91.5,-1.5,100,83.33,100,-0.15
"CAM.WARD","2016-2017","CAR",32,19.95,10,0,100,85.2,14.8,100,100,100,1.48
"CAREY.PRICE","2016-2017","MTL",36,26.55,12,0,100,91,9,100,100,100,1.08
"CARTER.HUTTON","2016-2017","STL",12,14.82,5,1,80,89.2,-9.2,NA,100,50,-0.46
"CHAD.JOHNSON","2016-2017","CGY",18,11.85,5,1,80,78.4,1.6,100,100,66.67,0.08
"CONNOR.HELLEBUYCK","2016-2017","WPG",30,30.6,8,0,100,90,10,NA,100,100,0.8
"COREY.CRAWFORD","2016-2017","CHI",27,21.97,16,1,93.75,89.88,3.88,100,85.71,100,0.62
"CORY.SCHNEIDER","2016-2017","N.J",32,24.47,19,2,89.47,92.89,-3.42,100,88.89,75,-0.65
"CRAIG.ANDERSON","2016-2017","OTT",20,21.7,5,0,100,95.6,4.4,100,100,NA,0.22
"CURTIS.MCELHINNEY","2016-2017","CBJ/TOR",9,9.12,3,0,100,94.33,5.67,100,100,NA,0.17
"DARCY.KUEMPER","2016-2017","MIN",6,8.03,1,0,100,94,6,NA,100,NA,0.06
"DEVAN.DUBNYK","2016-2017","MIN",34,24.28,17,2,88.24,94.76,-6.53,100,83.33,0,-1.11
"EDDIE.LACK","2016-2017","CAR",8,2.23,3,0,100,94.33,5.67,100,100,NA,0.17
"FREDERIK.ANDERSEN","2016-2017","TOR",35,26.1,10,1,90,87.1,2.9,NA,83.33,100,0.29
"HENRIK.LUNDQVIST","2016-2017","NYR",30,25.18,17,2,88.24,91.65,-3.41,100,85.71,66.67,-0.58
"JACK.CAMPBELL","2016-2017","L.A",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"JACOB.MARKSTROM","2016-2017","VAN",9,6.23,0,0,NA,NA,NA,NA,NA,NA,0
"JAKE.ALLEN","2016-2017","STL",31,22.52,15,4,73.33,88.4,-15.07,100,71.43,50,-2.26
"JAMES.REIMER","2016-2017","FLA",20,21.73,8,2,75,90.25,-15.25,100,60,100,-1.22
"JARED.COREAU","2016-2017","DET",5,2.42,0,0,NA,NA,NA,NA,NA,NA,0
"JAROSLAV.HALAK","2016-2017","NYI",14,7.52,7,0,100,93.57,6.43,100,100,100,0.45
"JEAN-FRANCOIS.BERUBE","2016-2017","NYI",6,2.1,3,0,100,94.33,5.67,100,100,NA,0.17
"JEFF.ZATKOFF","2016-2017","L.A",3,0,0,0,NA,NA,NA,NA,NA,NA,0
"JEREMY.SMITH","2016-2017","COL",3,2,0,0,NA,NA,NA,NA,NA,NA,0
"JHONAS.ENROTH","2016-2017","TOR",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"JIMMY.HOWARD","2016-2017","DET",15,11,7,0,100,94.71,5.29,100,100,NA,0.37
"JOHN.GIBSON","2016-2017","ANA",25,25.62,15,0,100,89,11,100,100,100,1.65
"JONAS.GUSTAVSSON","2016-2017","EDM",2,1.85,1,0,100,94,6,NA,100,NA,0.06
"JONATHAN.BERNIER","2016-2017","ANA",14,15.78,1,0,100,57,43,NA,NA,100,0.43
"JONATHAN.QUICK","2016-2017","L.A",10,6.97,1,0,100,96,4,100,NA,NA,0.04
"JOONAS.KORPISALO","2016-2017","CBJ",4,2,0,0,NA,NA,NA,NA,NA,NA,0
"JUUSE.SAROS","2016-2017","NSH",9,4.42,2,0,100,95.5,4.5,100,100,NA,0.09
"KARI.LEHTONEN","2016-2017","DAL",24,12.17,3,0,100,86.67,13.33,NA,100,100,0.4
"KEITH.KINKAID","2016-2017","N.J",11,8.08,5,0,100,89.8,10.2,NA,100,100,0.51
"LAURENT.BROSSOIT","2016-2017","EDM",3,2,0,0,NA,NA,NA,NA,NA,NA,0
"LOUIS.DOMINGUE","2016-2017","ARI",12,1.67,1,0,100,97,3,100,NA,NA,0.03
"MAGNUS.HELLBERG","2016-2017","NYR",2,2,0,0,NA,NA,NA,NA,NA,NA,0
"MALCOLM.SUBBAN","2016-2017","BOS",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"MARC-ANDRE.FLEURY","2016-2017","PIT",19,20.2,7,0,100,94.43,5.57,100,100,NA,0.39
"MAREK.LANGHAMER","2016-2017","ARI",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"MARTIN.JONES","2016-2017","S.J",32,16.35,6,0,100,87.17,12.83,100,100,100,0.77
"MATTHEW.MURRAY","2016-2017","PIT",24,24.22,13,2,84.62,85.92,-1.31,100,75,80,-0.17
"MICHAEL.HUTCHINSON","2016-2017","WPG",12,9.15,4,0,100,96,4,100,100,NA,0.16
"MICHAEL.LEIGHTON","2016-2017","CAR",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"MICHAL.NEUVIRTH","2016-2017","PHI",13,9.05,3,0,100,94,6,100,100,NA,0.18
"MIKE.CONDON","2016-2017","OTT",20,27.95,12,0,100,91.58,8.42,100,100,100,1.01
"MIKE.SMITH","2016-2017","ARI",30,32.15,14,0,100,91.57,8.43,100,100,100,1.18
"ONDREJ.PAVELEC","2016-2017","WPG",5,3.62,0,0,NA,NA,NA,NA,NA,NA,0
"PEKKA.RINNE","2016-2017","NSH",33,24.43,8,1,87.5,92.5,-5,100,80,100,-0.4
"PETER.BUDAJ","2016-2017","L.A/T.B",26,14.68,10,0,100,88.5,11.5,NA,100,100,1.15
"PETR.MRAZEK","2016-2017","DET",23,22.88,9,1,88.89,93.33,-4.44,100,85.71,NA,-0.4
"PHILIPP.GRUBAUER","2016-2017","WSH",7,3.63,1,0,100,97,3,100,NA,NA,0.03
"RETO.BERRA","2016-2017","FLA",3,4,1,0,100,96,4,100,NA,NA,0.04
"ROBERTO.LUONGO","2016-2017","FLA",20,33.55,18,3,83.33,90.83,-7.5,85.71,100,60,-1.35
"ROBIN.LEHNER","2016-2017","BUF",31,21.58,8,2,75,89.38,-14.38,100,0,66.67,-1.15
"RYAN.MILLER","2016-2017","VAN",32,6.47,6,0,100,93,7,100,100,100,0.42
"SCOTT.DARLING","2016-2017","CHI",15,4.53,3,0,100,91,9,NA,100,100,0.27
"SEMYON.VARLAMOV","2016-2017","COL",13,10.8,6,0,100,92.17,7.83,100,100,100,0.47
"SERGEI.BOBROVSKY","2016-2017","CBJ",32,35.3,12,0,100,91,9,100,100,100,1.08
"SPENCER.MARTIN","2016-2017","COL",1,0.3,0,0,NA,NA,NA,NA,NA,NA,0
"STEVE.MASON","2016-2017","PHI",30,23.9,10,1,90,91.7,-1.7,100,100,0,-0.17
"THOMAS.GREISS","2016-2017","NYI",23,16.85,3,1,66.67,84.67,-18,NA,50,100,-0.54
"TUUKKA.RASK","2016-2017","BOS",33,34.72,10,0,100,94.9,5.1,100,100,100,0.51
"ZANE.MCINTYRE","2016-2017","BOS",3,0,0,0,NA,NA,NA,NA,NA,NA,0
