"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.STALOCK","2013-2014","S.J",8,0,0,0,NA,NA,NA,NA,NA,NA,0
"AL.MONTOYA","2013-2014","WPG",12,1.48,0,0,NA,NA,NA,NA,NA,NA,0
"ANDERS.LINDBACK","2013-2014","T.B",10,1.28,0,0,NA,NA,NA,NA,NA,NA,0
"ANDERS.NILSSON","2013-2014","NYI",9,2,0,0,NA,NA,NA,NA,NA,NA,0
"ANDREW.HAMMOND","2013-2014","OTT",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTON.KHUDOBIN","2013-2014","CAR",20,4.28,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.NIEMI","2013-2014","S.J",35,6.5,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.RAANTA","2013-2014","CHI",9,2.1,0,0,NA,NA,NA,NA,NA,NA,0
"BEN.BISHOP","2013-2014","T.B",32,0.93,0,0,NA,NA,NA,NA,NA,NA,0
"BEN.SCRIVENS","2013-2014","L.A/EDM",19,0.4,0,0,NA,NA,NA,NA,NA,NA,0
"BRADEN.HOLTBY","2013-2014","WSH",23,1.7,0,0,NA,NA,NA,NA,NA,NA,0
"BRIAN.ELLIOTT","2013-2014","STL",13,1,0,0,NA,NA,NA,NA,NA,NA,0
"CALVIN.HEETER","2013-2014","PHI",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"CAM.TALBOT","2013-2014","NYR",8,0.23,0,0,NA,NA,NA,NA,NA,NA,0
"CAM.WARD","2013-2014","CAR",14,5.45,0,0,NA,NA,NA,NA,NA,NA,0
"CAREY.PRICE","2013-2014","MTL",37,2.12,0,0,NA,NA,NA,NA,NA,NA,0
"CARTER.HUTTON","2013-2014","NSH",16,1.67,0,0,NA,NA,NA,NA,NA,NA,0
"CEDRICK.DESJARDINS","2013-2014","T.B",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"CHAD.JOHNSON","2013-2014","BOS",9,0,0,0,NA,NA,NA,NA,NA,NA,0
"CONNOR.KNAPP","2013-2014","BUF",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"COREY.CRAWFORD","2013-2014","CHI",32,3.78,0,0,NA,NA,NA,NA,NA,NA,0
"CORY.SCHNEIDER","2013-2014","N.J",21,0.35,0,0,NA,NA,NA,NA,NA,NA,0
"CRAIG.ANDERSON","2013-2014","OTT",29,0.33,0,0,NA,NA,NA,NA,NA,NA,0
"CURTIS.MCELHINNEY","2013-2014","CBJ",14,2.13,0,0,NA,NA,NA,NA,NA,NA,0
"DAN.ELLIS","2013-2014","DAL/FLA",10,0.75,0,0,NA,NA,NA,NA,NA,NA,0
"DARCY.KUEMPER","2013-2014","MIN",12,3.4,0,0,NA,NA,NA,NA,NA,NA,0
"DEVAN.DUBNYK","2013-2014","EDM/NSH",15,4.33,0,0,NA,NA,NA,NA,NA,NA,0
"EDDIE.LACK","2013-2014","VAN",17,0,0,0,NA,NA,NA,NA,NA,NA,0
"EVGENI.NABOKOV","2013-2014","NYI",25,2.6,0,0,NA,NA,NA,NA,NA,NA,0
"FREDERIK.ANDERSEN","2013-2014","ANA",14,7.42,0,0,NA,NA,NA,NA,NA,NA,0
"HENRIK.LUNDQVIST","2013-2014","NYR",34,3.98,0,0,NA,NA,NA,NA,NA,NA,0
"ILYA.BRYZGALOV","2013-2014","EDM/MIN",13,4.43,0,0,NA,NA,NA,NA,NA,NA,0
"JACOB.MARKSTROM","2013-2014","FLA/VAN",9,0.57,0,0,NA,NA,NA,NA,NA,NA,0
"JAMES.REIMER","2013-2014","TOR",17,0.17,0,0,NA,NA,NA,NA,NA,NA,0
"JAROSLAV.HALAK","2013-2014","STL/WSH",28,2.57,0,0,NA,NA,NA,NA,NA,NA,0
"JASON.LABARBERA","2013-2014","EDM",3,0,0,0,NA,NA,NA,NA,NA,NA,0
"JEAN-SEBASTIEN.GIGUERE","2013-2014","COL",6,0.8,0,0,NA,NA,NA,NA,NA,NA,0
"JEFF.ZATKOFF","2013-2014","PIT",9,0.47,0,0,NA,NA,NA,NA,NA,NA,0
"JHONAS.ENROTH","2013-2014","BUF",14,0,0,0,NA,NA,NA,NA,NA,NA,0
"JIMMY.HOWARD","2013-2014","DET",27,9.7,0,0,NA,NA,NA,NA,NA,NA,0
"JOEY.MACDONALD","2013-2014","CGY",5,0,0,0,NA,NA,NA,NA,NA,NA,0
"JOHN.CURRY","2013-2014","MIN",2,0,0,0,NA,NA,NA,NA,NA,NA,0
