"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.STALOCK","2015-2016","S.J",6,32.68,26,2,92.31,88.04,4.27,100,100,81.82,1.11
"AL.MONTOYA","2015-2016","FLA",15,67.08,52,8,84.62,89,-4.38,100,90,70.59,-2.28
"ANDERS.LINDBACK","2015-2016","ARI",9,57.2,44,5,88.64,87.89,0.75,100,96.55,60,0.33
"ANDERS.NILSSON","2015-2016","EDM/STL",17,65.73,66,10,84.85,87.89,-3.05,83.33,91.89,73.91,-2.01
"ANDREI.VASILEVSKIY","2015-2016","T.B",16,68.3,67,11,83.58,87.49,-3.91,100,86.21,74.07,-2.62
"ANDREW.HAMMOND","2015-2016","OTT",13,57.13,63,11,82.54,88.67,-6.13,100,86.11,64.71,-3.86
"ANTON.FORSBERG","2015-2016","CBJ",2,14.8,15,1,93.33,89.6,3.73,100,100,75,0.56
"ANTON.KHUDOBIN","2015-2016","ANA",4,22.93,18,1,94.44,84.22,10.22,100,100,85.71,1.84
"ANTTI.NIEMI","2015-2016","DAL",23,112.37,93,12,87.1,88.89,-1.8,100,89.47,77.78,-1.67
"ANTTI.RAANTA","2015-2016","NYR",13,50.37,41,4,90.24,87.29,2.95,100,95.24,81.25,1.21
"BEN.BISHOP","2015-2016","T.B",28,136.95,124,12,90.32,90.39,-0.06,94.44,93.33,80.65,-0.08
"BEN.SCRIVENS","2015-2016","MTL",9,46.92,43,6,86.05,87.05,-1,83.33,96,66.67,-0.43
"BRADEN.HOLTBY","2015-2016","WSH",33,164.22,137,17,87.59,89.12,-1.53,100,90.91,75,-2.09
"BRIAN.ELLIOTT","2015-2016","STL",20,104.38,86,8,90.7,88.12,2.58,100,92.68,83.33,2.22
"CALVIN.PICKARD","2015-2016","COL",12,65.17,45,4,91.11,88.33,2.78,100,100,73.33,1.25
"CAM.TALBOT","2015-2016","EDM",27,142.55,126,14,88.89,88.59,0.3,95,94.12,76.32,0.38
"CAM.WARD","2015-2016","CAR",23,88.3,83,12,85.54,87.71,-2.17,95.83,82.86,79.17,-1.8
"CAREY.PRICE","2015-2016","MTL",7,33.37,29,5,82.76,84.72,-1.97,100,85.71,75,-0.57
"CARTER.HUTTON","2015-2016","NSH",13,59.3,36,5,86.11,89.06,-2.94,100,89.47,75,-1.06
"CHAD.JOHNSON","2015-2016","BUF",23,107.38,107,12,88.79,87.15,1.64,100,98.33,71.79,1.75
"CHARLIE.LINDGREN","2015-2016","MTL",1,0.65,0,0,NA,NA,NA,NA,NA,NA,0
"CHRIS.DRIEDGER","2015-2016","OTT",1,3.8,4,0,100,82.25,17.75,NA,100,100,0.71
"CHRIS.GIBSON","2015-2016","NYI",2,4,2,0,100,94,6,100,100,NA,0.12
"CONNOR.HELLEBUYCK","2015-2016","WPG",9,48.18,44,6,86.36,86.55,-0.18,100,83.33,88.89,-0.08
"COREY.CRAWFORD","2015-2016","CHI",27,141.72,160,20,87.5,89.16,-1.66,90.91,91.3,78.26,-2.66
"CORY.SCHNEIDER","2015-2016","N.J",28,145.17,138,12,91.3,87.43,3.87,100,90.54,88.64,5.34
"CRAIG.ANDERSON","2015-2016","OTT",29,131.77,135,20,85.19,88.22,-3.04,100,91.57,63.89,-4.1
"CURTIS.MCELHINNEY","2015-2016","CBJ",11,51.3,40,4,90,86.75,3.25,100,90,87.5,1.3
"DARCY.KUEMPER","2015-2016","MIN",11,35.65,36,3,91.67,87.03,4.64,100,80,100,1.67
"DEVAN.DUBNYK","2015-2016","MIN",33,136.98,120,23,80.83,88.03,-7.2,93.75,86.89,67.44,-8.64
"DUSTIN.TOKARSKI","2015-2016","MTL",3,13.5,10,2,80,91.6,-11.6,100,83.33,50,-1.16
"EDDIE.LACK","2015-2016","CAR",21,85.27,50,7,86,90.38,-4.38,100,84.38,81.82,-2.19
"FREDERIK.ANDERSEN","2015-2016","ANA",24,132.58,106,15,85.85,89.05,-3.2,96,92.16,66.67,-3.39
"GARRET.SPARKS","2015-2016","TOR",6,38.48,27,2,92.59,89.15,3.44,100,100,81.82,0.93
"HENRIK.LUNDQVIST","2015-2016","NYR",33,148.28,140,24,82.86,88.44,-5.59,88.89,91.67,60.53,-7.82
"JACOB.MARKSTROM","2015-2016","VAN",17,79.78,83,8,90.36,88.82,1.54,100,95.65,79.31,1.28
"JAKE.ALLEN","2015-2016","STL",24,111.45,81,12,85.19,89.38,-4.2,88.24,92.68,69.57,-3.4
"JAMES.REIMER","2015-2016","TOR/S.J",20,96.7,54,11,79.63,88.13,-8.5,100,81.82,70.59,-4.59
"JAROSLAV.HALAK","2015-2016","NYI",20,79.42,55,3,94.55,88.53,6.02,100,93.75,94.12,3.31
"JEAN-FRANCOIS.BERUBE","2015-2016","NYI",4,18.17,10,0,100,90.4,9.6,100,100,100,0.96
"JEFF.ZATKOFF","2015-2016","PIT",9,45.17,45,2,95.56,90.96,4.6,100,96.67,90,2.07
"JHONAS.ENROTH","2015-2016","L.A",13,62.6,44,9,79.55,88.02,-8.48,85.71,90,64.71,-3.73
"JIMMY.HOWARD","2015-2016","DET",21,98.78,82,12,85.37,87.77,-2.4,90,90.7,75.86,-1.97
"JOHN.GIBSON","2015-2016","ANA",17,85.4,73,5,93.15,90.42,2.73,100,95,83.33,1.99
"JONAS.GUSTAVSSON","2015-2016","BOS",14,73.07,49,6,87.76,88.04,-0.29,100,96,70.59,-0.14
"JONAS.HILLER","2015-2016","CGY",15,71.28,57,9,84.21,87.72,-3.51,100,86.96,75,-2
"JONATHAN.BERNIER","2015-2016","TOR",21,130.65,95,8,91.58,87.86,3.72,88.89,96.15,85.29,3.53
"JONATHAN.QUICK","2015-2016","L.A",29,171.28,158,17,89.24,86.63,2.61,94.74,92.05,82.35,4.12
"JONI.ORTIO","2015-2016","CGY",9,36.17,31,6,80.65,86.58,-5.94,100,88.89,70.59,-1.84
"JOONAS.KORPISALO","2015-2016","CBJ",15,73.28,55,9,83.64,88.84,-5.2,100,82.14,77.78,-2.86
"KARI.LEHTONEN","2015-2016","DAL",21,86.98,71,6,91.55,83.56,7.99,100,94.12,85.71,5.67
"KARRI.RAMO","2015-2016","CGY",18,70.4,61,9,85.25,86.9,-1.66,100,92.86,73.08,-1.01
"KEITH.KINKAID","2015-2016","N.J",14,69.55,62,8,87.1,85.65,1.45,100,89.29,79.17,0.9
"KRISTERS.GUDLEVSKIS","2015-2016","T.B",1,6,6,0,100,92.33,7.67,100,100,100,0.46
"LAURENT.BROSSOIT","2015-2016","EDM",2,6.98,5,1,80,74.8,5.2,NA,100,75,0.26
"LINUS.ULLMARK","2015-2016","BUF",8,27.8,32,5,84.38,89.66,-5.28,100,90,70,-1.69
"LOUIS.DOMINGUE","2015-2016","ARI",15,87.17,79,12,84.81,87.63,-2.82,90.91,92.31,72.41,-2.23
"MARC-ANDRE.FLEURY","2015-2016","PIT",27,136.47,117,13,88.89,90.03,-1.15,93.75,91.55,80,-1.34
"MARTIN.JONES","2015-2016","S.J",32,133.65,123,13,89.43,88.99,0.44,85.71,96,76.47,0.54
"MATTHEW.MURRAY","2015-2016","PIT",7,34.83,29,1,96.55,89.86,6.69,100,94.44,100,1.94
"MICHAEL.HUTCHINSON","2015-2016","WPG",21,98.65,95,11,88.42,87.41,1.01,93.75,95.92,73.33,0.96
"MICHAL.NEUVIRTH","2015-2016","PHI",18,110.82,92,7,92.39,89.8,2.59,100,92.98,88,2.38
"MIKE.CONDON","2015-2016","MTL",24,110.62,100,13,87,86.56,0.44,100,92.86,75.68,0.44
"MIKE.SMITH","2015-2016","ARI",19,109.73,89,10,88.76,90.04,-1.28,93.33,94.34,71.43,-1.14
"NIKLAS.BACKSTROM","2015-2016","CGY",4,12.92,14,4,71.43,83.14,-11.71,100,85.71,50,-1.64
"ONDREJ.PAVELEC","2015-2016","WPG",15,77.18,73,12,83.56,85.71,-2.15,100,91.43,71.88,-1.57
"PEKKA.RINNE","2015-2016","NSH",29,147.65,122,15,87.7,90.01,-2.3,90.91,91.55,75.86,-2.81
"PETER.BUDAJ","2015-2016","L.A",1,1.73,1,1,0,88,-88,NA,NA,0,-0.88
"PETR.MRAZEK","2015-2016","DET",26,112.45,96,12,87.5,89.34,-1.84,100,93.1,66.67,-1.77
"PHEONIX.COPLEY","2015-2016","STL",1,2,1,0,100,95,5,NA,100,NA,0.05
"PHILIPP.GRUBAUER","2015-2016","WSH",11,57.93,50,5,90,89.02,0.98,100,86.67,93.75,0.49
"RETO.BERRA","2015-2016","COL",10,46.02,49,9,81.63,88.71,-7.08,90,80,78.57,-3.47
"RICHARD.BACHMAN","2015-2016","VAN",1,4,4,0,100,91.5,8.5,NA,100,100,0.34
"ROBERTO.LUONGO","2015-2016","FLA",28,143.25,117,12,89.74,89.09,0.66,100,90.91,81.58,0.77
"ROBIN.LEHNER","2015-2016","BUF",10,47.18,53,3,94.34,88.26,6.08,100,96.77,88.24,3.22
"ROMAN.WILL","2015-2016","COL",1,0.2,1,1,0,94,-94,NA,0,NA,-0.94
"RYAN.MILLER","2015-2016","VAN",25,113.8,116,19,83.62,87.49,-3.87,90.91,87.5,75.61,-4.49
"SCOTT.DARLING","2015-2016","CHI",18,60.22,55,5,90.91,87.75,3.16,100,92,87.5,1.74
"SCOTT.WEDGEWOOD","2015-2016","N.J",2,12.87,10,0,100,87.6,12.4,NA,100,100,1.24
"SEMYON.VARLAMOV","2015-2016","COL",24,103.02,98,12,87.76,87.77,-0.01,88.89,94.64,75.76,-0.01
"SERGEI.BOBROVSKY","2015-2016","CBJ",16,95.18,76,10,86.84,88.45,-1.61,92.31,90.7,75,-1.22
"STEVE.MASON","2015-2016","PHI",26,122.5,95,17,82.11,86.97,-4.86,91.67,90,66.67,-4.62
"THOMAS.GREISS","2015-2016","NYI",18,84.62,77,10,87.01,88.27,-1.26,100,91.43,73.08,-0.97
"TUUKKA.RASK","2015-2016","BOS",31,166.23,115,14,87.83,88.59,-0.77,100,95.31,71.79,-0.88
"YANN.DANIS","2015-2016","N.J",2,7.93,2,1,50,87.5,-37.5,NA,0,100,-0.75
