"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.STALOCK","2015-2016","S.J",6,1.57,1,0,100,75,25,NA,NA,100,0.25
"AL.MONTOYA","2015-2016","FLA",15,1.37,4,0,100,79.5,20.5,NA,NA,100,0.82
"ANDERS.LINDBACK","2015-2016","ARI",9,1.48,3,0,100,85.67,14.33,NA,100,100,0.43
"ANDERS.NILSSON","2015-2016","EDM/STL",17,1.33,4,0,100,77,23,NA,NA,100,0.92
"ANDREI.VASILEVSKIY","2015-2016","T.B",16,0.77,1,0,100,83,17,NA,NA,100,0.17
"ANDREW.HAMMOND","2015-2016","OTT",13,1.42,2,1,50,64,-14,NA,NA,50,-0.28
"ANTON.FORSBERG","2015-2016","CBJ",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTON.KHUDOBIN","2015-2016","ANA",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.NIEMI","2015-2016","DAL",23,0.77,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.RAANTA","2015-2016","NYR",13,0,0,0,NA,NA,NA,NA,NA,NA,0
"BEN.BISHOP","2015-2016","T.B",28,3.07,5,0,100,80.8,19.2,NA,NA,100,0.96
"BEN.SCRIVENS","2015-2016","MTL",9,1.45,2,0,100,82,18,NA,NA,100,0.36
"BRADEN.HOLTBY","2015-2016","WSH",33,2.52,8,1,87.5,68.88,18.62,NA,NA,87.5,1.49
"BRIAN.ELLIOTT","2015-2016","STL",20,0.02,0,0,NA,NA,NA,NA,NA,NA,0
"CALVIN.PICKARD","2015-2016","COL",12,1.92,4,2,50,69.25,-19.25,NA,NA,50,-0.77
"CAM.TALBOT","2015-2016","EDM",27,0.9,0,0,NA,NA,NA,NA,NA,NA,0
"CAM.WARD","2015-2016","CAR",23,0,0,0,NA,NA,NA,NA,NA,NA,0
"CAREY.PRICE","2015-2016","MTL",7,0,0,0,NA,NA,NA,NA,NA,NA,0
"CARTER.HUTTON","2015-2016","NSH",13,1.15,2,0,100,82.5,17.5,NA,100,100,0.35
"CHAD.JOHNSON","2015-2016","BUF",23,3.8,8,1,87.5,63.62,23.88,NA,100,85.71,1.91
"CHARLIE.LINDGREN","2015-2016","MTL",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"CHRIS.DRIEDGER","2015-2016","OTT",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"CHRIS.GIBSON","2015-2016","NYI",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"CONNOR.HELLEBUYCK","2015-2016","WPG",9,0,0,0,NA,NA,NA,NA,NA,NA,0
"COREY.CRAWFORD","2015-2016","CHI",27,1.77,3,2,33.33,83.33,-50,NA,0,50,-1.5
"CORY.SCHNEIDER","2015-2016","N.J",28,1.67,3,1,66.67,83.33,-16.67,NA,100,50,-0.5
"CRAIG.ANDERSON","2015-2016","OTT",29,3.08,6,1,83.33,71.33,12,NA,NA,83.33,0.72
"CURTIS.MCELHINNEY","2015-2016","CBJ",11,3.67,8,1,87.5,69.38,18.12,NA,NA,87.5,1.45
"DARCY.KUEMPER","2015-2016","MIN",11,0,0,0,NA,NA,NA,NA,NA,NA,0
"DEVAN.DUBNYK","2015-2016","MIN",33,3.1,10,1,90,78.8,11.2,NA,100,87.5,1.12
"DUSTIN.TOKARSKI","2015-2016","MTL",3,0,0,0,NA,NA,NA,NA,NA,NA,0
"EDDIE.LACK","2015-2016","CAR",21,0.78,0,0,NA,NA,NA,NA,NA,NA,0
"FREDERIK.ANDERSEN","2015-2016","ANA",24,0.22,0,0,NA,NA,NA,NA,NA,NA,0
"GARRET.SPARKS","2015-2016","TOR",6,0,0,0,NA,NA,NA,NA,NA,NA,0
"HENRIK.LUNDQVIST","2015-2016","NYR",33,4.45,8,2,75,68.12,6.88,NA,100,71.43,0.55
"JACOB.MARKSTROM","2015-2016","VAN",17,5.48,7,0,100,70.14,29.86,NA,NA,100,2.09
"JAKE.ALLEN","2015-2016","STL",24,2.08,7,0,100,77.57,22.43,NA,NA,100,1.57
"JAMES.REIMER","2015-2016","TOR/S.J",20,3.8,2,1,50,78,-28,NA,NA,50,-0.56
"JAROSLAV.HALAK","2015-2016","NYI",20,0.38,1,1,0,79,-79,NA,NA,0,-0.79
"JEAN-FRANCOIS.BERUBE","2015-2016","NYI",4,1.53,5,1,80,83.4,-3.4,NA,66.67,100,-0.17
"JEFF.ZATKOFF","2015-2016","PIT",9,0.42,0,0,NA,NA,NA,NA,NA,NA,0
"JHONAS.ENROTH","2015-2016","L.A",13,1.1,2,0,100,86,14,NA,100,100,0.28
"JIMMY.HOWARD","2015-2016","DET",21,2.25,5,3,40,79.8,-39.8,NA,33.33,50,-1.99
"JOHN.GIBSON","2015-2016","ANA",17,0.33,0,0,NA,NA,NA,NA,NA,NA,0
"JONAS.GUSTAVSSON","2015-2016","BOS",14,0.23,0,0,NA,NA,NA,NA,NA,NA,0
"JONAS.HILLER","2015-2016","CGY",14,5.1,8,2,75,67.75,7.25,NA,NA,75,0.58
"JONATHAN.BERNIER","2015-2016","TOR",21,0.97,2,0,100,83,17,NA,100,100,0.34
"JONATHAN.QUICK","2015-2016","L.A",29,5.45,7,3,57.14,79.14,-22,NA,0,66.67,-1.54
"JONI.ORTIO","2015-2016","CGY",9,0,0,0,NA,NA,NA,NA,NA,NA,0
"JOONAS.KORPISALO","2015-2016","CBJ",15,3.98,6,2,66.67,78.83,-12.17,NA,NA,66.67,-0.73
"KARI.LEHTONEN","2015-2016","DAL",21,1.83,2,0,100,83,17,NA,NA,100,0.34
"KARRI.RAMO","2015-2016","CGY",18,1.3,3,1,66.67,75.67,-9,NA,NA,66.67,-0.27
"KEITH.KINKAID","2015-2016","N.J",14,1.98,5,0,100,82.8,17.2,NA,100,100,0.86
"KRISTERS.GUDLEVSKIS","2015-2016","T.B",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"LAURENT.BROSSOIT","2015-2016","EDM",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"LINUS.ULLMARK","2015-2016","BUF",8,0,0,0,NA,NA,NA,NA,NA,NA,0
"LOUIS.DOMINGUE","2015-2016","ARI",15,0,0,0,NA,NA,NA,NA,NA,NA,0
"MARC-ANDRE.FLEURY","2015-2016","PIT",27,2.42,5,1,80,72.8,7.2,NA,100,66.67,0.36
"MARTIN.JONES","2015-2016","S.J",32,6.62,7,1,85.71,78.29,7.43,NA,100,80,0.52
"MATTHEW.MURRAY","2015-2016","PIT",7,2.88,5,0,100,82,18,NA,NA,100,0.9
"MICHAEL.HUTCHINSON","2015-2016","WPG",21,3.02,5,0,100,76.6,23.4,NA,100,100,1.17
"MICHAL.NEUVIRTH","2015-2016","PHI",18,5.73,7,1,85.71,78.14,7.57,NA,NA,85.71,0.53
"MIKE.CONDON","2015-2016","MTL",24,0.32,2,1,50,53,-3,NA,NA,50,-0.06
"MIKE.SMITH","2015-2016","ARI",19,0.93,1,1,0,83,-83,NA,NA,0,-0.83
"NIKLAS.BACKSTROM","2015-2016","CGY",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"ONDREJ.PAVELEC","2015-2016","WPG",15,4.08,6,0,100,81.83,18.17,NA,100,100,1.09
"PEKKA.RINNE","2015-2016","NSH",29,0.38,0,0,NA,NA,NA,NA,NA,NA,0
"PETER.BUDAJ","2015-2016","L.A",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"PETR.MRAZEK","2015-2016","DET",26,2.82,6,1,83.33,75.83,7.5,NA,100,75,0.45
"PHEONIX.COPLEY","2015-2016","STL",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"PHILIPP.GRUBAUER","2015-2016","WSH",11,1.95,8,0,100,79.12,20.88,NA,100,100,1.67
"RETO.BERRA","2015-2016","COL",10,0,0,0,NA,NA,NA,NA,NA,NA,0
"RICHARD.BACHMAN","2015-2016","VAN",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"ROBERTO.LUONGO","2015-2016","FLA",28,1.13,1,0,100,62,38,NA,NA,100,0.38
"ROBIN.LEHNER","2015-2016","BUF",10,0,0,0,NA,NA,NA,NA,NA,NA,0
"ROMAN.WILL","2015-2016","COL",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"RYAN.MILLER","2015-2016","VAN",25,2.57,6,1,83.33,77.67,5.67,NA,100,80,0.34
"SCOTT.DARLING","2015-2016","CHI",18,0.33,0,0,NA,NA,NA,NA,NA,NA,0
"SCOTT.WEDGEWOOD","2015-2016","N.J",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"SEMYON.VARLAMOV","2015-2016","COL",24,2.42,5,2,60,76.8,-16.8,NA,100,50,-0.84
"SERGEI.BOBROVSKY","2015-2016","CBJ",16,1.27,0,0,NA,NA,NA,NA,NA,NA,0
"STEVE.MASON","2015-2016","PHI",26,1.45,2,1,50,73,-23,NA,NA,50,-0.46
"THOMAS.GREISS","2015-2016","NYI",18,1.68,8,1,87.5,71.38,16.12,NA,100,83.33,1.29
"TUUKKA.RASK","2015-2016","BOS",31,2.83,5,3,40,64.6,-24.6,NA,0,50,-1.23
"YANN.DANIS","2015-2016","N.J",2,0,0,0,NA,NA,NA,NA,NA,NA,0
