"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"AARON.DELL","2016-2017","S.J",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"AL.MONTOYA","2016-2017","MTL",3,10.35,8,1,87.5,82.88,4.62,NA,100,85.71,0.37
"ANDERS.NILSSON","2016-2017","BUF",9,8.25,5,1,80,87.8,-7.8,100,100,50,-0.39
"ANDREI.VASILEVSKIY","2016-2017","T.B",17,14.57,6,2,66.67,84.5,-17.83,NA,100,50,-1.07
"ANDREW.HAMMOND","2016-2017","OTT",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"ANTHONY.STOLARZ","2016-2017","PHI",2,5,1,0,100,75,25,NA,NA,100,0.25
"ANTON.KHUDOBIN","2016-2017","BOS",8,2.47,1,0,100,90,10,NA,100,NA,0.1
"ANTTI.NIEMI","2016-2017","DAL",10,7.78,5,2,60,79,-19,NA,100,50,-0.95
"ANTTI.RAANTA","2016-2017","NYR",10,5,2,0,100,83,17,NA,100,100,0.34
"BEN.BISHOP","2016-2017","T.B/L.A",11,16.47,7,0,100,85.86,14.14,NA,100,100,0.99
"BRADEN.HOLTBY","2016-2017","WSH",26,19.78,12,1,91.67,87.42,4.25,NA,85.71,100,0.51
"BRIAN.ELLIOTT","2016-2017","CGY",21,8.15,7,0,100,89.86,10.14,NA,100,100,0.71
"CALVIN.PICKARD","2016-2017","COL",18,17.38,10,1,90,85.3,4.7,NA,100,80,0.47
"CAM.TALBOT","2016-2017","EDM",28,30.67,13,0,100,85.31,14.69,NA,100,100,1.91
"CAM.WARD","2016-2017","CAR",26,23.87,14,3,78.57,85.43,-6.86,NA,71.43,85.71,-0.96
"CAREY.PRICE","2016-2017","MTL",24,11.07,11,3,72.73,84,-11.27,NA,80,66.67,-1.24
"CARTER.HUTTON","2016-2017","STL",6,7.48,4,2,50,86.25,-36.25,NA,100,33.33,-1.45
"CHAD.JOHNSON","2016-2017","CGY",10,5.25,3,0,100,67.67,32.33,NA,100,100,0.97
"CONNOR.HELLEBUYCK","2016-2017","WPG",21,14.38,7,0,100,86.29,13.71,NA,100,100,0.96
"COREY.CRAWFORD","2016-2017","CHI",21,16.12,16,2,87.5,85.31,2.19,NA,83.33,90,0.35
"CORY.SCHNEIDER","2016-2017","N.J",25,26.28,21,2,90.48,81,9.48,NA,83.33,93.33,1.99
"CRAIG.ANDERSON","2016-2017","OTT",15,15.3,10,1,90,87.2,2.8,NA,100,75,0.28
"CURTIS.MCELHINNEY","2016-2017","CBJ/TOR",7,5.45,3,1,66.67,78.33,-11.67,NA,NA,66.67,-0.35
"DARCY.KUEMPER","2016-2017","MIN",3,2.5,2,0,100,90.5,9.5,NA,100,NA,0.19
"DEVAN.DUBNYK","2016-2017","MIN",27,7.07,4,1,75,87.5,-12.5,NA,100,50,-0.5
"EDDIE.LACK","2016-2017","CAR",7,1.98,2,1,50,69.5,-19.5,NA,NA,50,-0.39
"FREDERIK.ANDERSEN","2016-2017","TOR",29,32.77,22,3,86.36,79.32,7.05,NA,100,81.25,1.55
"HENRIK.LUNDQVIST","2016-2017","NYR",24,15,6,0,100,81.83,18.17,NA,100,100,1.09
"JACOB.MARKSTROM","2016-2017","VAN",8,10.3,9,2,77.78,88.44,-10.67,100,100,33.33,-0.96
"JAKE.ALLEN","2016-2017","STL",19,21.65,18,1,94.44,84.83,9.61,NA,100,90,1.73
"JAMES.REIMER","2016-2017","FLA",14,5.73,3,1,66.67,82,-15.33,NA,100,50,-0.46
"JARED.COREAU","2016-2017","DET",3,1.93,1,1,0,82,-82,NA,NA,0,-0.82
"JAROSLAV.HALAK","2016-2017","NYI",13,10.85,9,2,77.78,79,-1.22,NA,100,75,-0.11
"JEAN-FRANCOIS.BERUBE","2016-2017","NYI",5,0.9,1,1,0,93,-93,NA,0,NA,-0.93
"JEFF.ZATKOFF","2016-2017","L.A",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"JEREMY.SMITH","2016-2017","COL",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"JHONAS.ENROTH","2016-2017","TOR",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"JIMMY.HOWARD","2016-2017","DET",11,4.6,7,1,85.71,83.29,2.43,NA,100,75,0.17
"JOHN.GIBSON","2016-2017","ANA",15,13.85,6,2,66.67,81.17,-14.5,NA,100,60,-0.87
"JONAS.GUSTAVSSON","2016-2017","EDM",3,3.18,1,1,0,80,-80,NA,NA,0,-0.8
"JONATHAN.BERNIER","2016-2017","ANA",9,15.88,6,0,100,85,15,NA,100,100,0.9
"JONATHAN.QUICK","2016-2017","L.A",8,8.05,4,0,100,75.25,24.75,NA,100,100,0.99
"JOONAS.KORPISALO","2016-2017","CBJ",3,0,0,0,NA,NA,NA,NA,NA,NA,0
"JUUSE.SAROS","2016-2017","NSH",8,8.3,4,2,50,88,-38,NA,100,0,-1.52
"KARI.LEHTONEN","2016-2017","DAL",18,16.68,10,3,70,81,-11,NA,100,57.14,-1.1
"KEITH.KINKAID","2016-2017","N.J",10,3.28,3,1,66.67,74,-7.33,NA,100,50,-0.22
"LOUIS.DOMINGUE","2016-2017","ARI",9,7.52,9,0,100,86.22,13.78,NA,100,100,1.24
"MAGNUS.HELLBERG","2016-2017","NYR",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"MARC-ANDRE.FLEURY","2016-2017","PIT",15,16.17,14,1,92.86,83,9.86,NA,100,90.91,1.38
"MARTIN.JONES","2016-2017","S.J",27,14.92,10,3,70,74.6,-4.6,NA,100,50,-0.46
"MATTHEW.MURRAY","2016-2017","PIT",16,12.12,9,1,88.89,87.89,1,NA,100,66.67,0.09
"MICHAEL.HUTCHINSON","2016-2017","WPG",6,6.23,4,0,100,79,21,NA,100,100,0.84
"MICHAEL.LEIGHTON","2016-2017","CAR",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"MICHAL.NEUVIRTH","2016-2017","PHI",12,10.33,6,1,83.33,80.83,2.5,NA,100,75,0.15
"MIKE.CONDON","2016-2017","OTT",18,23.83,14,5,64.29,85.29,-21,100,83.33,33.33,-2.94
"MIKE.SMITH","2016-2017","ARI",24,21.27,27,3,88.89,83.67,5.22,NA,90.91,87.5,1.41
"ONDREJ.PAVELEC","2016-2017","WPG",4,0,0,0,NA,NA,NA,NA,NA,NA,0
"PEKKA.RINNE","2016-2017","NSH",23,23.33,15,4,73.33,84.67,-11.33,NA,80,60,-1.7
"PETER.BUDAJ","2016-2017","L.A/T.B",20,15.12,5,0,100,82.6,17.4,NA,100,100,0.87
"PETR.MRAZEK","2016-2017","DET",19,26.18,24,5,79.17,82.12,-2.96,NA,87.5,75,-0.71
"PHILIPP.GRUBAUER","2016-2017","WSH",4,0.37,0,0,NA,NA,NA,NA,NA,NA,0
"RETO.BERRA","2016-2017","FLA",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"ROBERTO.LUONGO","2016-2017","FLA",14,21.7,12,0,100,82.25,17.75,NA,100,100,2.13
"ROBIN.LEHNER","2016-2017","BUF",25,13.7,5,1,80,84.4,-4.4,NA,100,75,-0.22
"RYAN.MILLER","2016-2017","VAN",25,18.95,13,3,76.92,80.23,-3.31,NA,100,62.5,-0.43
"SCOTT.DARLING","2016-2017","CHI",12,4.98,3,1,66.67,87,-20.33,NA,100,0,-0.61
"SEMYON.VARLAMOV","2016-2017","COL",9,1.38,1,0,100,87,13,NA,NA,100,0.13
"SERGEI.BOBROVSKY","2016-2017","CBJ",31,6.35,1,0,100,91,9,NA,100,NA,0.09
"SPENCER.MARTIN","2016-2017","COL",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"STEVE.MASON","2016-2017","PHI",22,42.73,26,0,100,87.81,12.19,NA,100,100,3.17
"THOMAS.GREISS","2016-2017","NYI",20,9.23,8,2,75,81.62,-6.62,NA,100,60,-0.53
