"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"AARON.DELL","2017-2018","S.J",9,34.83,9,0,100,93.67,6.33,100,100,100,0.57
"ADIN.HILL","2017-2018","ARI",1,8,1,0,100,95,5,NA,100,NA,0.05
"ALEX.STALOCK","2017-2018","MIN",7,36.47,8,2,75,94.62,-19.62,100,75,0,-1.57
"ANDERS.NILSSON","2017-2018","VAN",6,28.65,9,1,88.89,81.56,7.33,100,100,80,0.66
"ANDREI.VASILEVSKIY","2017-2018","T.B",21,110.92,14,1,92.86,92.93,-0.07,85.71,100,100,-0.01
"ANTON.FORSBERG","2017-2018","CHI",6,28.65,8,0,100,88,12,100,100,100,0.96
"ANTON.KHUDOBIN","2017-2018","BOS",7,40,7,1,85.71,88.43,-2.71,100,100,66.67,-0.19
"ANTTI.NIEMI","2017-2018","FLA/MTL",4,8.25,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.RAANTA","2017-2018","ARI",14,46.98,12,2,83.33,90,-6.67,100,100,60,-0.8
"BEN.BISHOP","2017-2018","DAL",22,108.17,22,1,95.45,94.41,1.05,100,90.91,100,0.23
"BRADEN.HOLTBY","2017-2018","WSH",21,107.55,18,3,83.33,89,-5.67,100,87.5,50,-1.02
"BRIAN.ELLIOTT","2017-2018","PHI",18,76.27,14,0,100,93.36,6.64,100,100,100,0.93
"CAM.TALBOT","2017-2018","EDM",19,94.53,14,1,92.86,90.79,2.07,100,100,66.67,0.29
"CAM.WARD","2017-2018","CAR",10,51.43,7,0,100,86.71,13.29,100,100,100,0.93
"CAREY.PRICE","2017-2018","MTL",19,90.92,14,2,85.71,88.57,-2.86,100,100,50,-0.4
"CARTER.HUTTON","2017-2018","STL",10,46.65,13,1,92.31,87.54,4.77,100,100,80,0.62
"CASEY.DESMITH","2017-2018","PIT",1,3.68,0,0,NA,NA,NA,NA,NA,NA,0
"CHAD.JOHNSON","2017-2018","BUF",7,22.73,6,2,66.67,90.83,-24.17,100,100,0,-1.45
"CHARLIE.LINDGREN","2017-2018","MTL",6,22.37,4,1,75,91.25,-16.25,100,100,0,-0.65
"CONNOR.HELLEBUYCK","2017-2018","WPG",20,98.07,15,1,93.33,90,3.33,100,100,75,0.5
"COREY.CRAWFORD","2017-2018","CHI",15,111.12,19,1,94.74,84.89,9.84,100,100,90.91,1.87
"CORY.SCHNEIDER","2017-2018","N.J",19,94.95,21,1,95.24,91.52,3.71,100,92.86,100,0.78
"CRAIG.ANDERSON","2017-2018","OTT",20,101.03,24,2,91.67,86.88,4.79,100,100,81.82,1.15
"CURTIS.MCELHINNEY","2017-2018","TOR",3,6.57,2,0,100,82.5,17.5,NA,100,100,0.35
"DARCY.KUEMPER","2017-2018","L.A",5,16.15,3,0,100,96,4,100,100,NA,0.12
"DAVID.RITTICH","2017-2018","CGY",1,2.43,0,0,NA,NA,NA,NA,NA,NA,0
"DEVAN.DUBNYK","2017-2018","MIN",18,79.07,11,1,90.91,95.73,-4.82,100,100,0,-0.53
"EDDIE.LACK","2017-2018","CGY",2,4.45,1,0,100,98,2,100,NA,NA,0.02
"FREDERIK.ANDERSEN","2017-2018","TOR",19,102.48,27,1,96.3,93.07,3.22,100,100,75,0.87
"HENRIK.LUNDQVIST","2017-2018","NYR",24,129.1,17,0,100,92.06,7.94,100,100,100,1.35
"JACOB.MARKSTROM","2017-2018","VAN",17,88.27,19,2,89.47,86.42,3.05,71.43,100,100,0.58
"JAKE.ALLEN","2017-2018","STL",19,92.12,12,1,91.67,89.58,2.08,100,100,83.33,0.25
"JAMES.REIMER","2017-2018","FLA",15,70.15,12,0,100,87.83,12.17,NA,100,100,1.46
"JAROSLAV.HALAK","2017-2018","NYI",15,64.5,19,5,73.68,81.32,-7.63,NA,88.89,60,-1.45
"JEFF.GLASS","2017-2018","CHI",4,14.92,2,0,100,94.5,5.5,NA,100,NA,0.11
"JIMMY.HOWARD","2017-2018","DET",23,100.63,11,1,90.91,86.18,4.73,100,100,66.67,0.52
"JOHN.GIBSON","2017-2018","ANA",22,113.3,18,0,100,89.56,10.44,100,100,100,1.88
"JONATHAN.BERNIER","2017-2018","COL",14,75.8,7,1,85.71,90.57,-4.86,100,66.67,100,-0.34
"JONATHAN.QUICK","2017-2018","L.A",19,105.5,21,0,100,93,7,100,100,100,1.47
"JOONAS.KORPISALO","2017-2018","CBJ",7,36.65,9,0,100,87.44,12.56,100,100,100,1.13
"JUUSE.SAROS","2017-2018","NSH",4,26.15,2,0,100,96,4,100,100,NA,0.08
"KARI.LEHTONEN","2017-2018","DAL",4,9.82,8,2,75,83.5,-8.5,NA,100,50,-0.68
"KEITH.KINKAID","2017-2018","N.J",3,21.03,2,0,100,96.5,3.5,100,NA,NA,0.07
"LAURENT.BROSSOIT","2017-2018","EDM",5,25.62,3,1,66.67,88.33,-21.67,100,100,0,-0.65
"LINUS.ULLMARK","2017-2018","BUF",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"LOUIS.DOMINGUE","2017-2018","ARI",3,10.53,3,1,66.67,89,-22.33,NA,50,100,-0.67
"MALCOLM.SUBBAN","2017-2018","VGK",9,45.08,7,0,100,87.43,12.57,100,100,100,0.88
"MARC-ANDRE.FLEURY","2017-2018","VGK",9,38.67,6,0,100,90.5,9.5,100,100,100,0.57
"MAREK.LANGHAMER","2017-2018","ARI",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"MARTIN.JONES","2017-2018","S.J",16,90.35,21,0,100,89.38,10.62,100,100,100,2.23
"MATTHEW.MURRAY","2017-2018","PIT",15,82.98,18,1,94.44,88.11,6.33,100,100,85.71,1.14
"MAXIME.LAGACE","2017-2018","VGK",3,11.33,2,0,100,90,10,NA,100,NA,0.2
"MICHAL.NEUVIRTH","2017-2018","PHI",9,49.23,8,1,87.5,90.62,-3.12,75,100,100,-0.25
"MIKE.CONDON","2017-2018","OTT",7,27.62,6,1,83.33,87,-3.67,100,66.67,100,-0.22
"MIKE.SMITH","2017-2018","CGY",24,121.83,22,4,81.82,86.73,-4.91,100,100,60,-1.08
"ONDREJ.PAVELEC","2017-2018","NYR",6,19.38,1,0,100,95,5,NA,100,NA,0.05
"OSCAR.DANSK","2017-2018","VGK",3,17.18,2,1,50,88,-38,100,NA,0,-0.76
"PEKKA.RINNE","2017-2018","NSH",19,96.43,11,1,90.91,88.36,2.55,100,50,100,0.28
"PETER.BUDAJ","2017-2018","T.B",3,19.67,3,0,100,78.33,21.67,100,100,100,0.65
"PETR.MRAZEK","2017-2018","DET",5,18.78,1,1,0,83,-83,NA,NA,0,-0.83
"PHILIPP.GRUBAUER","2017-2018","WSH",5,26.73,5,0,100,96.6,3.4,100,100,NA,0.17
"RETO.BERRA","2017-2018","ANA",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"ROBERTO.LUONGO","2017-2018","FLA",8,39.13,7,0,100,89.43,10.57,100,100,100,0.74
"ROBIN.LEHNER","2017-2018","BUF",17,94.13,18,1,94.44,95.33,-0.89,100,83.33,100,-0.16
"RYAN.MILLER","2017-2018","ANA",3,10.42,1,0,100,92,8,NA,100,NA,0.08
"SCOTT.DARLING","2017-2018","CAR",13,72.23,12,0,100,85.08,14.92,NA,100,100,1.79
"SCOTT.WEDGEWOOD","2017-2018","ARI",7,31.57,7,2,71.43,92,-20.57,75,100,0,-1.44
"SEMYON.VARLAMOV","2017-2018","COL",14,81.35,7,2,71.43,86.57,-15.14,NA,83.33,0,-1.06
"SERGEI.BOBROVSKY","2017-2018","CBJ",18,78.55,10,1,90,90.2,-0.2,100,75,100,-0.02
"STEVE.MASON","2017-2018","WPG",2,12.1,3,0,100,95,5,100,100,NA,0.15
"THOMAS.GREISS","2017-2018","NYI",10,50.83,9,0,100,94.56,5.44,100,100,100,0.49
"TRISTAN.JARRY","2017-2018","PIT",11,47.52,10,0,100,89.7,10.3,100,100,100,1.03
"TUUKKA.RASK","2017-2018","BOS",17,88.12,18,3,83.33,86.17,-2.83,100,100,70,-0.51
