"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.STALOCK","2012-2013","S.J",1,1.2,2,1,50,85.5,-35.5,NA,100,0,-0.71
"AL.MONTOYA","2012-2013","WPG",3,3.98,1,0,100,97,3,100,NA,NA,0.03
"ANDERS.LINDBACK","2012-2013","T.B",13,16.25,13,2,84.62,92.23,-7.62,83.33,100,0,-0.99
"ANTON.KHUDOBIN","2012-2013","BOS",5,10.83,9,1,88.89,92.56,-3.67,100,83.33,100,-0.33
"ANTTI.NIEMI","2012-2013","S.J",23,64.07,33,2,93.94,91.36,2.58,100,92.86,85.71,0.85
"BEN.BISHOP","2012-2013","OTT/T.B",10,18.12,11,1,90.91,94.45,-3.55,100,100,50,-0.39
"BEN.SCRIVENS","2012-2013","TOR",10,8.8,4,0,100,93.25,6.75,100,100,NA,0.27
"BRADEN.HOLTBY","2012-2013","WSH",19,25.23,13,0,100,93.31,6.69,100,100,100,0.87
"BRIAN.BOUCHER","2012-2013","PHI",2,0,0,0,NA,NA,NA,NA,NA,NA,0
"BRIAN.ELLIOTT","2012-2013","STL",12,30.07,18,3,83.33,93.28,-9.94,100,85.71,50,-1.79
"CAM.WARD","2012-2013","CAR",6,8.32,2,0,100,93,7,100,100,NA,0.14
"CAREY.PRICE","2012-2013","MTL",21,42.85,28,3,89.29,92.79,-3.5,93.33,80,100,-0.98
"CEDRICK.DESJARDINS","2012-2013","T.B",1,2.62,0,0,NA,NA,NA,NA,NA,NA,0
"CHAD.JOHNSON","2012-2013","ARI",3,4.37,5,0,100,94.6,5.4,100,100,NA,0.27
"CHRIS.MASON","2012-2013","NSH",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"COREY.CRAWFORD","2012-2013","CHI",13,34.98,15,0,100,92,8,100,100,100,1.2
"CORY.SCHNEIDER","2012-2013","VAN",15,26.92,20,0,100,89.65,10.35,100,100,100,2.07
"CRAIG.ANDERSON","2012-2013","OTT",14,23.85,16,1,93.75,94.94,-1.19,100,100,0,-0.19
"CRISTOPHER.NILSTORP","2012-2013","DAL",3,4.03,1,1,0,86,-86,NA,NA,0,-0.86
"DAN.ELLIS","2012-2013","CAR",12,13.72,9,2,77.78,90.11,-12.33,100,83.33,0,-1.11
"DANIEL.TAYLOR","2012-2013","CGY",1,0.65,0,0,NA,NA,NA,NA,NA,NA,0
"DARCY.KUEMPER","2012-2013","MIN",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"DEVAN.DUBNYK","2012-2013","EDM",17,33.92,20,4,80,94.35,-14.35,100,77.78,0,-2.87
"EVGENI.NABOKOV","2012-2013","NYI",20,22.93,13,3,76.92,92,-15.08,100,77.78,0,-1.96
"HENRIK.LUNDQVIST","2012-2013","NYR",23,28.72,13,1,92.31,91.77,0.54,100,100,80,0.07
"ILYA.BRYZGALOV","2012-2013","PHI",22,39.88,23,2,91.3,88.48,2.83,100,91.67,85.71,0.65
"JACOB.MARKSTROM","2012-2013","FLA",11,17.57,9,1,88.89,95.56,-6.67,100,80,NA,-0.6
"JAKE.ALLEN","2012-2013","STL",7,4.73,1,0,100,96,4,100,NA,NA,0.04
"JAMES.REIMER","2012-2013","TOR",18,18.53,10,0,100,93.9,6.1,100,100,100,0.61
"JAROSLAV.HALAK","2012-2013","STL",7,6.83,1,0,100,93,7,NA,100,NA,0.07
"JASON.LABARBERA","2012-2013","ARI",8,10.72,9,0,100,92.89,7.11,100,100,100,0.64
"JEAN-SEBASTIEN.GIGUERE","2012-2013","COL",7,11.93,10,3,70,88.8,-18.8,100,80,50,-1.88
"JHONAS.ENROTH","2012-2013","BUF",7,9.42,4,0,100,92.5,7.5,100,100,100,0.3
"JIMMY.HOWARD","2012-2013","DET",24,32.03,9,1,88.89,92.22,-3.33,100,100,66.67,-0.3
"JOEY.MACDONALD","2012-2013","CGY",9,8.6,3,0,100,88.33,11.67,100,NA,100,0.35
"JOHAN.HEDBERG","2012-2013","N.J",8,14.63,7,0,100,94,6,100,100,NA,0.42
"JONAS.GUSTAVSSON","2012-2013","DET",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"JONAS.HILLER","2012-2013","ANA",11,13.17,6,1,83.33,91.33,-8,100,75,100,-0.48
"JONATHAN.BERNIER","2012-2013","L.A",7,6.15,1,1,0,79,-79,NA,NA,0,-0.79
"JONATHAN.QUICK","2012-2013","L.A",17,36.7,13,0,100,91,9,100,100,100,1.17
"JOSE.THEODORE","2012-2013","FLA",9,18.4,7,2,71.43,88.43,-17,100,100,0,-1.19
"JOSH.HARDING","2012-2013","MIN",3,3.28,0,0,NA,NA,NA,NA,NA,NA,0
"JUSTIN.PETERS","2012-2013","CAR",8,6.82,5,1,80,92.4,-12.4,100,NA,50,-0.62
"KARI.LEHTONEN","2012-2013","DAL",19,18.03,15,0,100,91.73,8.27,100,100,100,1.24
"KEITH.KINKAID","2012-2013","N.J",1,2,3,0,100,88.67,11.33,NA,100,100,0.34
"KEVIN.POULIN","2012-2013","NYI",3,3.27,2,0,100,91,9,100,NA,100,0.18
"LELAND.IRVING","2012-2013","CGY",2,7,4,0,100,84.25,15.75,NA,100,100,0.63
"MARC-ANDRE.FLEURY","2012-2013","PIT",18,19.6,8,0,100,93.62,6.38,100,100,100,0.51
"MARTIN.BIRON","2012-2013","NYR",2,6.88,4,0,100,89.5,10.5,100,100,100,0.42
"MARTIN.BRODEUR","2012-2013","N.J",16,14.48,7,1,85.71,92,-6.29,100,75,100,-0.44
"MATHIEU.GARON","2012-2013","T.B",7,7.62,3,0,100,94.67,5.33,100,100,NA,0.16
"MICHAL.NEUVIRTH","2012-2013","WSH",6,6,3,0,100,85.33,14.67,100,NA,100,0.44
"MIIKKA.KIPRUSOFF","2012-2013","CGY",13,14.38,7,0,100,95.14,4.86,100,100,NA,0.34
"MIKE.SMITH","2012-2013","ARI",16,26.02,8,2,75,85,-10,100,75,66.67,-0.8
"NIKLAS.BACKSTROM","2012-2013","MIN",22,48.4,26,2,92.31,92.38,-0.08,100,100,60,-0.02
"NIKOLAI.KHABIBULIN","2012-2013","EDM",7,7.62,6,0,100,91.33,8.67,100,100,100,0.52
"ONDREJ.PAVELEC","2012-2013","WPG",23,32.1,13,1,92.31,90.31,2,100,88.89,100,0.26
"PEKKA.RINNE","2012-2013","NSH",22,41.28,24,1,95.83,92.58,3.25,100,91.67,100,0.78
"PETER.BUDAJ","2012-2013","MTL",4,6.18,3,0,100,95.67,4.33,100,100,NA,0.13
"RAY.EMERY","2012-2013","CHI",11,16.42,6,0,100,94.67,5.33,100,100,100,0.32
"RICHARD.BACHMAN","2012-2013","DAL",5,4.52,3,1,66.67,76.67,-10,NA,NA,66.67,-0.3
"RICK.DIPIETRO","2012-2013","NYI",1,3.03,2,0,100,88,12,100,NA,100,0.24
"ROBERTO.LUONGO","2012-2013","VAN",10,19.27,7,0,100,93,7,100,100,100,0.49
"ROBIN.LEHNER","2012-2013","OTT",4,7.85,4,0,100,89.5,10.5,100,100,100,0.42
"RYAN.MILLER","2012-2013","BUF",19,58.7,37,1,97.3,91.41,5.89,100,90,100,2.18
"SCOTT.CLEMMENSEN","2012-2013","FLA",7,4.13,4,3,25,80.5,-55.5,NA,0,50,-2.22
"SEMYON.VARLAMOV","2012-2013","COL",18,33.82,22,1,95.45,92.59,2.86,100,88.89,100,0.63
"SERGEI.BOBROVSKY","2012-2013","CBJ",20,56.3,32,3,90.62,90.19,0.44,100,86.67,87.5,0.14
"STEVE.MASON","2012-2013","CBJ/PHI",7,7.6,6,0,100,92,8,100,100,100,0.48
"THOMAS.GREISS","2012-2013","S.J",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"TOMAS.VOKOUN","2012-2013","PIT",9,7.72,4,0,100,93.5,6.5,100,100,100,0.26
"TUUKKA.RASK","2012-2013","BOS",19,40.57,17,0,100,93.24,6.76,100,100,100,1.15
"VIKTOR.FASTH","2012-2013","ANA",12,21.62,10,1,90,90.7,-0.7,100,100,50,-0.07
"YANN.DANIS","2012-2013","EDM",1,1.87,1,0,100,95,5,NA,100,NA,0.05
