"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.AULD","2010-2011","MTL",11,2.43,2,0,100,77.5,22.5,NA,NA,100,0.45
"AL.MONTOYA","2010-2011","NYI",7,1.32,5,1,80,72.8,7.2,NA,NA,80,0.36
"ANDERS.LINDBACK","2010-2011","NSH",13,0.08,0,0,NA,NA,NA,NA,NA,NA,0
"ANDREW.RAYCROFT","2010-2011","DAL",12,0.58,1,0,100,81,19,NA,NA,100,0.19
"ANTERO.NIITTYMAKI","2010-2011","S.J",12,2.3,5,2,60,70.2,-10.2,NA,100,50,-0.51
"ANTON.KHUDOBIN","2010-2011","MIN",2,1.67,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.NIEMI","2010-2011","S.J",31,0.42,0,0,NA,NA,NA,NA,NA,NA,0
"BEN.BISHOP","2010-2011","STL",3,0.85,0,0,NA,NA,NA,NA,NA,NA,0
"BRADEN.HOLTBY","2010-2011","WSH",8,0,0,0,NA,NA,NA,NA,NA,NA,0
"BRENT.JOHNSON","2010-2011","PIT",15,3.38,3,1,66.67,79.67,-13,NA,NA,66.67,-0.39
"BRIAN.BOUCHER","2010-2011","PHI",20,2.1,3,2,33.33,76,-42.67,NA,0,50,-1.28
"BRIAN.ELLIOTT","2010-2011","OTT/COL",25,5.98,9,2,77.78,84.67,-6.89,NA,100,66.67,-0.62
"CAM.WARD","2010-2011","CAR",35,1.77,2,1,50,87,-37,NA,100,0,-0.74
"CAREY.PRICE","2010-2011","MTL",34,12.52,24,6,75,77.88,-2.88,NA,88.89,66.67,-0.69
"CHAD.JOHNSON","2010-2011","NYR",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"CHRIS.MASON","2010-2011","ATL",18,1.82,3,1,66.67,66,0.67,NA,NA,66.67,0.02
"CHRIS.OSGOOD","2010-2011","DET",7,1.13,1,0,100,80,20,NA,NA,100,0.2
"COREY.CRAWFORD","2010-2011","CHI",27,2.25,3,2,33.33,83,-49.67,NA,100,0,-1.49
"CORY.SCHNEIDER","2010-2011","VAN",14,1.98,6,1,83.33,82,1.33,NA,100,75,0.08
"CRAIG.ANDERSON","2010-2011","COL/OTT",24,1.78,4,0,100,73.75,26.25,NA,100,100,1.05
"CURTIS.MCELHINNEY","2010-2011","ANA/OTT",20,2.13,5,1,80,69,11,NA,NA,80,0.55
"DAN.ELLIS","2010-2011","T.B/ANA",22,2.57,4,1,75,65.75,9.25,NA,100,66.67,0.37
"DEVAN.DUBNYK","2010-2011","EDM",19,2.38,6,0,100,69.67,30.33,NA,100,100,1.82
"DWAYNE.ROLOSON","2010-2011","NYI/T.B",24,3.32,9,4,55.56,78.89,-23.33,NA,50,57.14,-2.1
"HENRIK.KARLSSON","2010-2011","CGY",12,0,0,0,NA,NA,NA,NA,NA,NA,0
"HENRIK.LUNDQVIST","2010-2011","NYR",34,3.13,7,2,71.43,81.14,-9.71,NA,100,66.67,-0.68
"ILYA.BRYZGALOV","2010-2011","ARI",28,8.22,11,5,54.55,75.82,-21.27,NA,100,50,-2.34
"JACOB.MARKSTROM","2010-2011","FLA",1,0.32,2,1,50,79.5,-29.5,NA,NA,50,-0.59
"JAMES.REIMER","2010-2011","TOR",21,1.7,3,1,66.67,86,-19.33,NA,0,100,-0.58
"JAROSLAV.HALAK","2010-2011","STL",25,3.7,7,2,71.43,76.43,-5,NA,50,80,-0.35
"JASON.LABARBERA","2010-2011","ARI",15,5.58,11,1,90.91,79.91,11,NA,100,90,1.21
"JEAN-SEBASTIEN.GIGUERE","2010-2011","TOR",13,1.68,0,0,NA,NA,NA,NA,NA,NA,0
"JHONAS.ENROTH","2010-2011","BUF",8,1.67,0,0,NA,NA,NA,NA,NA,NA,0
"JIMMY.HOWARD","2010-2011","DET",28,2.33,4,2,50,81.75,-31.75,NA,100,33.33,-1.27
"JOEY.MACDONALD","2010-2011","DET",9,0.72,1,0,100,87,13,NA,100,NA,0.13
"JOHAN.HEDBERG","2010-2011","N.J",16,1.28,2,1,50,64.5,-14.5,NA,100,0,-0.29
"JONAS.GUSTAVSSON","2010-2011","TOR",13,0.25,0,0,NA,NA,NA,NA,NA,NA,0
"JONAS.HILLER","2010-2011","ANA",24,6.78,12,2,83.33,72.92,10.42,NA,100,80,1.25
"JONATHAN.BERNIER","2010-2011","L.A",15,0,0,0,NA,NA,NA,NA,NA,NA,0
"JONATHAN.QUICK","2010-2011","L.A",28,4.83,5,3,40,80.8,-40.8,NA,50,33.33,-2.04
"JOSE.THEODORE","2010-2011","MIN",24,2.33,3,0,100,81,19,NA,NA,100,0.57
"JUSTIN.PETERS","2010-2011","CAR",9,1.98,4,3,25,77,-52,NA,100,0,-2.08
"KARI.LEHTONEN","2010-2011","DAL",31,2.7,5,1,80,77,3,NA,NA,80,0.15
"KEVIN.POULIN","2010-2011","NYI",5,0,0,0,NA,NA,NA,NA,NA,NA,0
"MARC-ANDRE.FLEURY","2010-2011","PIT",29,5.12,8,3,62.5,63.12,-0.62,NA,100,57.14,-0.05
"MARTIN.BIRON","2010-2011","NYR",9,0.17,0,0,NA,NA,NA,NA,NA,NA,0
"MARTIN.BRODEUR","2010-2011","N.J",31,4.8,6,2,66.67,82.83,-16.17,NA,100,50,-0.97
"MARTIN.GERBER","2010-2011","EDM",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"MARTY.TURCO","2010-2011","CHI",17,0.62,0,0,NA,NA,NA,NA,NA,NA,0
"MATHIEU.GARON","2010-2011","CBJ",20,2.68,3,1,66.67,86.67,-20,NA,100,0,-0.6
