"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.STALOCK","2012-2013","S.J",1,10.37,4,0,100,92.25,7.75,100,100,100,0.31
"AL.MONTOYA","2012-2013","WPG",3,105.1,40,6,85,91.67,-6.67,89.47,87.5,76.92,-2.67
"ANDERS.LINDBACK","2012-2013","T.B",13,593.12,289,24,91.7,94.16,-2.46,98.14,88.35,64,-7.12
"ANTON.KHUDOBIN","2012-2013","BOS",5,229.4,114,4,96.49,94.41,2.08,98.53,100,76.92,2.37
"ANTTI.NIEMI","2012-2013","S.J",23,1120.77,501,32,93.61,92.66,0.95,98.85,94.27,76.19,4.78
"BEN.BISHOP","2012-2013","OTT/T.B",10,459.3,246,12,95.12,93.68,1.44,99.28,93.33,81.82,3.55
"BEN.SCRIVENS","2012-2013","TOR",10,387.65,226,19,91.59,93.12,-1.52,95.87,93.94,74.36,-3.44
"BRADEN.HOLTBY","2012-2013","WSH",19,899.27,480,33,93.12,92.82,0.31,97.56,92.31,82.42,1.47
"BRIAN.BOUCHER","2012-2013","PHI",2,43.12,16,2,87.5,92.5,-5,100,85.71,66.67,-0.8
"BRIAN.ELLIOTT","2012-2013","STL",12,536.87,203,18,91.13,92.2,-1.06,95.6,97.33,67.57,-2.16
"CAM.WARD","2012-2013","CAR",6,260.05,128,15,88.28,91.7,-3.41,94.55,91.49,69.23,-4.37
"CAREY.PRICE","2012-2013","MTL",21,928,417,31,92.57,92.9,-0.34,98.16,91.27,78.38,-1.4
"CEDRICK.DESJARDINS","2012-2013","T.B",1,49.1,23,3,86.96,93.96,-7,92.86,75,80,-1.61
"CHAD.JOHNSON","2012-2013","ARI",3,137.08,58,1,98.28,94.16,4.12,100,100,87.5,2.39
"CHRIS.MASON","2012-2013","NSH",2,63.58,22,6,72.73,90.05,-17.32,100,66.67,50,-3.81
"COREY.CRAWFORD","2012-2013","CHI",13,615.85,280,21,92.5,91.66,0.84,98.31,94.17,77.97,2.34
"CORY.SCHNEIDER","2012-2013","VAN",15,690.95,319,21,93.42,92.55,0.87,98.72,93.68,80.88,2.78
"CRAIG.ANDERSON","2012-2013","OTT",14,629.1,296,18,93.92,92.85,1.07,98.73,94.19,79.25,3.17
"CRISTOPHER.NILSTORP","2012-2013","DAL",3,120.3,62,6,90.32,93.61,-3.29,96.97,83.33,81.82,-2.04
"DAN.ELLIS","2012-2013","CAR",12,527.57,284,23,91.9,91.19,0.71,98.29,93.81,78.57,2.01
"DANIEL.TAYLOR","2012-2013","CGY",1,49.52,27,2,92.59,92.3,0.3,100,90,80,0.08
"DARCY.KUEMPER","2012-2013","MIN",1,49.15,26,2,92.31,92.46,-0.15,90.91,100,75,-0.04
