"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"AARON.DELL","2017-2018","S.J",11,46.18,10,0,100,90,10,100,100,100,1
"ADIN.HILL","2017-2018","ARI",2,7.58,1,0,100,91,9,NA,100,NA,0.09
"ALEX.STALOCK","2017-2018","MIN",12,60.2,12,0,100,92.17,7.83,100,100,100,0.94
"AL.MONTOYA","2017-2018","MTL/EDM",6,29.3,4,0,100,89.25,10.75,100,NA,100,0.43
"ANDERS.NILSSON","2017-2018","VAN",10,38.48,11,1,90.91,88.18,2.73,100,100,80,0.3
"ANDREI.VASILEVSKIY","2017-2018","T.B",18,90.22,10,0,100,90.8,9.2,100,100,100,0.92
"ANTON.FORSBERG","2017-2018","CHI",10,54.18,11,0,100,91.09,8.91,100,100,100,0.98
"ANTON.KHUDOBIN","2017-2018","BOS",10,43.27,10,0,100,87.9,12.1,100,100,100,1.21
"ANTTI.NIEMI","2017-2018","PIT/MTL",6,31,5,0,100,90.2,9.8,100,100,100,0.49
"ANTTI.RAANTA","2017-2018","ARI",12,50.88,6,0,100,92.67,7.33,100,100,100,0.44
"BEN.BISHOP","2017-2018","DAL",15,62.4,14,1,92.86,90.79,2.07,100,100,66.67,0.29
"BRADEN.HOLTBY","2017-2018","WSH",14,61.93,2,1,50,90,-40,NA,0,100,-0.8
"BRIAN.ELLIOTT","2017-2018","PHI",19,112.27,23,5,78.26,90.7,-12.43,100,92.86,20,-2.86
"CALVIN.PICKARD","2017-2018","TOR",1,4,0,0,NA,NA,NA,NA,NA,NA,0
"CAM.TALBOT","2017-2018","EDM",18,54.45,10,0,100,89.4,10.6,100,100,100,1.06
"CAM.WARD","2017-2018","CAR",11,47.82,10,3,70,89.1,-19.1,100,50,60,-1.91
"CAREY.PRICE","2017-2018","MTL",14,56.08,8,0,100,92.5,7.5,100,100,100,0.6
"CARTER.HUTTON","2017-2018","STL",9,23.82,8,1,87.5,94,-6.5,100,100,50,-0.52
"CASEY.DESMITH","2017-2018","PIT",3,20.72,8,0,100,92.12,7.88,100,100,100,0.63
"CHAD.JOHNSON","2017-2018","BUF",10,54.03,9,1,88.89,91.22,-2.33,100,100,66.67,-0.21
"CHARLIE.LINDGREN","2017-2018","MTL",2,12.83,0,0,NA,NA,NA,NA,NA,NA,0
"CONNOR.HELLEBUYCK","2017-2018","WPG",19,98.67,19,2,89.47,91.89,-2.42,100,77.78,100,-0.46
"COREY.CRAWFORD","2017-2018","CHI",13,59.35,11,2,81.82,90.27,-8.45,100,80,66.67,-0.93
"CORY.SCHNEIDER","2017-2018","N.J",14,68.38,11,1,90.91,92.36,-1.45,100,80,100,-0.16
"CRAIG.ANDERSON","2017-2018","OTT",14,64.57,10,0,100,93.5,6.5,100,100,100,0.65
"CURTIS.MCELHINNEY","2017-2018","TOR",4,19.63,3,1,66.67,84.67,-18,NA,0,100,-0.54
"DARCY.KUEMPER","2017-2018","L.A",5,17.5,10,1,90,92.8,-2.8,100,100,66.67,-0.28
"DAVID.RITTICH","2017-2018","CGY",5,30.48,3,0,100,93.67,6.33,100,100,NA,0.19
