"Team","Season","RF","RA","Rates","QF","QA","Qual","Shooting","Goalie","PT","PD","Pens","OK","DK","K"
"ANA","2016-2017",12.6,-7.6,4.99,15.9,-4.94,10.97,0,19.27,-4.41,2.8,-1.61,31.31,2.31,33.62
"ARI","2016-2017",-7.42,-36.47,-43.89,-9.94,0,-9.94,0,0,-1.55,0,-1.55,-17.35,-38.02,-55.37
"BOS","2016-2017",16.02,16.29,32.31,-6.08,11.31,5.22,0,-0.86,-3.49,-1.84,-5.33,8.1,23.24,31.34
"BUF","2016-2017",-1.74,-21.66,-23.4,-5.79,13.43,7.64,0,0,0.2,-0.58,-0.38,-8.1,-8.04,-16.14
"CAR","2016-2017",0.6,2.7,3.3,8.02,-12.57,-4.54,-3.9,0,8.02,-0.59,7.42,4.12,-1.84,2.27
"CBJ","2016-2017",3.02,0.15,3.17,22.16,-27.63,-5.47,0,49.28,3.65,-2.77,0.88,22.42,25.44,47.86
"CGY","2016-2017",-6.85,3.88,-2.97,-5.65,1.82,-3.84,0,0,-2.38,0.57,-1.81,-11.94,3.32,-8.62
"CHI","2016-2017",-8.62,-3.81,-12.43,0.14,-6.79,-6.64,2.55,0,6.27,-0.17,6.1,-6.09,-4.33,-10.43
"COL","2016-2017",-14.77,-9.02,-23.79,-24.58,14.87,-9.71,-9.09,-49.08,0,-2.11,-2.11,-50.55,-43.24,-93.79
"DAL","2016-2017",10.75,-9.09,1.66,11.44,-17.75,-6.31,-6.15,0,0,0.33,0.33,16.38,-26.84,-10.46
"DET","2016-2017",-16.73,-3.27,-20,5.63,-2.81,2.82,0,-2.33,0,0.69,0.69,-10.41,-8.41,-18.82
"EDM","2016-2017",1.62,2.68,4.3,26.02,-23.15,2.87,0,16.03,3.88,0,3.88,27.65,-0.57,27.07
"FLA","2016-2017",7.38,-2.48,4.9,-19.57,1.13,-18.44,0,0,0,2.62,2.62,-9.57,-1.35,-10.92
"L.A","2016-2017",4.67,17.01,21.68,-5.38,0,-5.38,-12.42,0,-0.93,0,-0.93,-13.12,16.08,2.96
"MIN","2016-2017",1.34,-2.5,-1.17,1.24,26.04,27.28,23.34,0,4.27,-0.58,3.69,25.33,27.81,53.14
"MTL","2016-2017",0.08,11.37,11.45,-0.43,0,-0.43,0,0,0,0,0,-0.34,11.37,11.02
"N.J","2016-2017",-18.37,-2.63,-21,3.73,0,3.73,-5.45,0,-1.74,0,-1.74,-20.09,-4.37,-24.45
"NSH","2016-2017",3.71,1.19,4.89,-3.47,12.72,9.25,0,0,2.29,0,2.29,0.23,16.2,16.43
"NYI","2016-2017",4.02,-16.43,-12.4,18.75,-7.5,11.25,0,0,1.31,0,1.31,22.77,-22.61,0.16
"NYR","2016-2017",5.07,-1.17,3.9,10.38,-11.26,-0.88,9.22,0,5,0,5,24.67,-7.43,17.24
"OTT","2016-2017",-3.02,0.19,-2.83,-13.73,15.43,1.7,0,0,0,1.41,1.41,-15.33,15.62,0.29
"PHI","2016-2017",6.93,8.48,15.41,-0.74,0,-0.74,-10.84,-9.3,0,4.69,4.69,0.03,-0.82,-0.78
"PIT","2016-2017",10.72,-4.72,6,30.27,-15.38,14.89,38.38,7.77,-0.85,3.8,2.95,83.16,-13.17,69.99
"S.J","2016-2017",6.96,3.14,10.1,8.47,0.49,8.95,-2.54,6.76,6.12,-2.47,3.66,10.42,16.51,26.93
"STL","2016-2017",-16.85,13.02,-3.83,-6.18,11.7,5.52,23.77,0,-1.41,-0.08,-1.49,0.66,23.31,23.98
"T.B","2016-2017",-0.26,1.35,1.09,-10.57,15.03,4.46,12.19,-5.96,-3.42,0.94,-2.48,2.3,6.99,9.29
"TOR","2016-2017",30.69,-23.31,7.38,26.18,-10.88,15.3,0,5,0,0,0,56.87,-29.19,27.68
"VAN","2016-2017",-22.02,-6.04,-28.06,-1.87,-3.2,-5.07,0,0,1.35,-3.08,-1.73,-26.97,-7.89,-34.86
"WPG","2016-2017",-4.61,-4.03,-8.64,11.78,4.73,16.51,9,-23.75,-5.47,0,-5.47,16.18,-28.53,-12.35
"WSH","2016-2017",7.1,16.55,23.66,-9.39,0,-9.39,46.28,21.84,-2.55,0.17,-2.37,44.16,35.85,80.01
