"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2017-2018",24,1116.35,1078,1165,-87,48.06,57.94,62.61,46,40,6,53.49,2.47,2.15,46.25,49.25,-3,48.43,2.49,2.65,90,68,-22,8.32,93.37,101.68
"ARI","2017-2018",22,1061.93,1009,1101,-92,47.82,57.01,62.21,30,44,-14,40.54,1.7,2.49,37.42,41.85,-4.43,47.2,2.11,2.36,55,55,0,6.06,91.67,97.73
"BOS","2017-2018",24,1136.05,1119,913,206,55.07,59.1,48.22,51,34,17,60,2.69,1.8,46.01,36.35,9.66,55.86,2.43,1.92,69,76,7,8.39,93.12,101.51
"BUF","2017-2018",21,1004.88,843,907,-64,48.17,50.33,54.16,30,46,-16,39.47,1.79,2.75,28.56,35,-6.44,44.93,1.71,2.09,56,61,5,5.92,91.5,97.41
"CAR","2017-2018",21,1015.57,1093,930,163,54.03,64.57,54.94,34,41,-7,45.33,2.01,2.42,49.83,40.06,9.77,55.43,2.94,2.37,54,67,13,6.07,91.51,97.58
"CBJ","2017-2018",24,1164.28,1196,1129,67,51.44,61.63,58.18,39,39,0,50,2.01,2.01,56.52,51.41,5.11,52.37,2.91,2.65,63,68,5,5.69,93.48,99.17
"CGY","2017-2018",24,1155.38,1245,1030,215,54.73,64.65,53.49,46,43,3,51.69,2.39,2.23,49.84,40.75,9.1,55.02,2.59,2.12,67,76,9,7.12,92.21,99.33
"CHI","2017-2018",23,1076.95,1174,1001,173,53.98,65.41,55.77,53,42,11,55.79,2.95,2.34,46.82,42.23,4.6,52.58,2.61,2.35,60,84,24,8.55,93.01,101.56
"COL","2017-2018",26,1193.27,1116,1174,-58,48.73,56.11,59.03,57,45,12,55.88,2.87,2.26,38.16,42.3,-4.14,47.42,1.92,2.13,80,94,14,9.63,93.14,102.77
"DAL","2017-2018",23,1094.32,1099,998,101,52.41,60.26,54.72,53,33,20,61.63,2.91,1.81,50.43,38.82,11.61,56.5,2.77,2.13,79,79,0,9.62,93.62,103.24
"DET","2017-2018",25,1218.05,1009,1067,-58,48.6,49.7,52.56,47,51,-4,47.96,2.32,2.51,44.93,45.94,-1.01,49.44,2.21,2.26,71,74,3,8.22,91.76,99.98
"EDM","2017-2018",23,1112.58,1283,1087,196,54.14,69.19,58.62,41,42,-1,49.4,2.21,2.26,59.22,49.14,10.07,54.65,3.19,2.65,66,67,1,6.17,92.64,98.81
