"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2015-2016",41,202.4,181,36,14,78.35,6.06,15.58,0.93,141,90,61.04,45,8,13.34,2.37,24,53,-29,7.11,15.71
"ARI","2015-2016",41,255.25,223,55,16,75.85,5.44,18.71,0.93,182,112,61.9,34,6,7.99,1.41,29,63,-34,6.82,14.81
"BOS","2015-2016",41,188.34,185,28,11,82.59,4.91,12.5,0.94,132,92,58.93,40,6,12.74,1.91,9,30,-21,2.87,9.56
"BUF","2015-2016",41,228.5,205,42,14,78.54,5.36,16.09,0.94,159,102,60.92,35,7,9.19,1.84,11,24,-13,2.89,6.3
"CAR","2015-2016",41,187.35,157,33,6,80.1,3.06,16.84,0.96,119,77,60.71,36,21,11.53,6.73,15,34,-19,4.8,10.89
"CBJ","2015-2016",41,212.23,177,41,16,75.64,6.84,17.52,0.92,134,100,57.26,34,13,9.61,3.68,13,16,-3,3.68,4.52
"CGY","2015-2016",41,217.58,173,52,13,72.69,5.46,21.85,0.93,132,106,55.46,43,9,11.86,2.48,7,20,-13,1.93,5.52
"CHI","2015-2016",41,205.27,160,47,9,74.07,4.17,21.76,0.95,115,101,53.24,9,5,2.63,1.46,22,57,-35,6.43,16.66
"COL","2015-2016",41,215.75,190,36,13,79.5,5.44,15.06,0.94,144,95,60.25,21,6,5.84,1.67,9,21,-12,2.5,5.84
"DAL","2015-2016",41,228.6,210,53,7,77.78,2.59,19.63,0.97,139,131,51.48,60,5,15.75,1.31,8,29,-21,2.1,7.61
"DET","2015-2016",41,222.99,183,29,15,80.62,6.61,12.78,0.92,124,103,54.63,28,8,7.53,2.15,17,40,-23,4.57,10.76
"EDM","2015-2016",41,224.34,199,46,13,77.13,5.04,17.83,0.94,140,118,54.26,47,10,12.57,2.67,21,40,-19,5.62,10.7
"FLA","2015-2016",41,247.29,224,52,17,76.45,5.8,17.75,0.93,180,113,61.43,44,6,10.68,1.46,19,65,-46,4.61,15.77
"L.A","2015-2016",41,205.16,178,32,10,80.91,4.55,14.55,0.95,136,84,61.82,41,7,11.99,2.05,21,52,-31,6.14,15.21
"MIN","2015-2016",41,222.98,190,38,17,77.55,6.94,15.51,0.92,153,92,62.45,34,14,9.15,3.77,9,41,-32,2.42,11.03
"MTL","2015-2016",41,227.35,204,49,11,77.27,4.17,18.56,0.95,141,123,53.41,14,19,3.69,5.01,24,62,-38,6.33,16.36
"N.J","2015-2016",41,214.75,189,46,7,78.1,2.89,19.01,0.96,136,106,56.2,30,9,8.38,2.51,19,37,-18,5.31,10.34
"NSH","2015-2016",41,223.39,190,36,10,80.51,4.24,15.25,0.95,121,115,51.27,49,5,13.16,1.34,12,24,-12,3.22,6.45
"NYI","2015-2016",41,197.14,172,41,9,77.48,4.05,18.47,0.95,115,107,51.8,31,11,9.43,3.35,15,39,-24,4.57,11.87
"NYR","2015-2016",41,200.08,180,30,16,79.65,7.08,13.27,0.92,112,114,49.56,62,23,18.59,6.9,18,33,-15,5.4,9.9
"OTT","2015-2016",40,219.83,186,34,11,80.52,4.76,14.72,0.94,124,107,53.68,43,4,11.74,1.09,12,56,-44,3.28,15.28
"PHI","2015-2016",41,237.2,218,44,11,79.85,4.03,16.12,0.95,163,110,59.71,31,6,7.84,1.52,19,49,-30,4.81,12.39
"PIT","2015-2016",41,221.98,201,52,11,76.14,4.17,19.7,0.95,147,117,55.68,38,10,10.27,2.7,30,53,-23,8.11,14.33
"S.J","2015-2016",41,242.72,220,55,17,75.34,5.82,18.84,0.93,179,113,61.3,72,20,17.8,4.94,13,36,-23,3.21,8.9
"STL","2015-2016",41,217.09,173,55,15,71.19,6.17,22.63,0.92,130,113,53.5,8,7,2.21,1.93,24,36,-12,6.63,9.95
"T.B","2015-2016",41,245.12,196,54,9,75.68,3.47,20.85,0.96,122,137,47.1,74,15,18.11,3.67,21,54,-33,5.14,13.22
"TOR","2015-2016",41,215.19,190,41,22,75.1,8.7,16.21,0.9,146,107,57.71,24,17,6.69,4.74,21,63,-42,5.86,17.57
"VAN","2015-2016",41,207.7,183,37,14,78.21,5.98,15.81,0.93,128,106,54.7,28,3,8.09,0.87,10,14,-4,2.89,4.04
"WPG","2015-2016",41,233.3,183,42,15,76.25,6.25,17.5,0.92,118,122,49.17,32,16,8.23,4.11,17,27,-10,4.37,6.94
"WSH","2015-2016",41,207.3,202,28,19,81.12,7.63,11.24,0.91,144,105,57.83,32,31,9.26,8.97,9,27,-18,2.6,7.81
