"Team","Season","RF","RA","Rates","QF","QA","Qual","Shooting","Goalie","PT","PD","Pens","OK","DK","K"
"ANA","2012-2013",-2.73,0.29,-2.43,0.61,0.44,1.04,0,0,3.68,0,3.68,-2.12,4.41,2.29
"ARI","2012-2013",7.94,-9.2,-1.26,-3.84,0,-3.84,0,0,-1.34,0.85,-0.49,4.95,-10.54,-5.59
"BOS","2012-2013",16.64,1.54,18.18,-2.1,0,-2.1,0,37.56,0,-5.44,-5.44,9.1,39.11,48.2
"BUF","2012-2013",-10.83,-12.8,-23.63,-2,0,-2,3.75,0,-1.14,0,-1.14,-9.08,-13.94,-23.03
"CAR","2012-2013",9.78,-19.07,-9.28,6.51,-11.25,-4.74,-8.96,0,-0.46,0,-0.46,7.33,-30.77,-23.44
"CBJ","2012-2013",-14.34,1.17,-13.17,-1.2,3.8,2.6,0,0,0,0,0,-15.54,4.97,-10.57
"CGY","2012-2013",-7.55,-2.83,-10.38,7.8,-0.3,7.5,0,-29.61,0,-0.27,-0.27,-0.02,-32.74,-32.75
"CHI","2012-2013",3.1,23.02,26.12,-7.24,0,-7.24,19.01,4.26,6.44,0,6.44,14.87,33.71,48.58
"COL","2012-2013",-1.24,-10.3,-11.54,0.17,0,0.17,0,-5.05,-3.53,-0.88,-4.41,-1.95,-18.88,-20.83
"DAL","2012-2013",-1.82,-8.63,-10.45,7.47,-6.47,1.01,0,0,-3.01,0,-3.01,5.66,-18.11,-12.45
"DET","2012-2013",9.33,2.85,12.18,0,-0.87,-0.87,-3.93,2.65,-1.53,1.95,0.43,7.36,3.11,10.46
"EDM","2012-2013",-6.25,-13.36,-19.61,3.86,-8.43,-4.57,0.11,4.39,-2.19,0,-2.19,-2.27,-19.59,-21.86
"FLA","2012-2013",-7.32,-9.49,-16.8,-2.47,0,-2.47,0,-29.57,0.37,-0.56,-0.19,-10.34,-38.69,-49.03
"L.A","2012-2013",6.84,13.26,20.1,-6.51,1.46,-5.04,0,0,0,0,0,0.33,14.72,15.05
"MIN","2012-2013",-5.51,6.54,1.03,-2.13,17.56,15.43,-3.04,-24.64,7.54,-1.92,5.62,-12.59,7,-5.6
"MTL","2012-2013",0,8.6,8.6,0,6.63,6.63,2.78,-14.67,-2.05,4.04,1.99,6.82,-1.49,5.33
"N.J","2012-2013",-10.85,28.14,17.29,0,-2.24,-2.24,-1.4,-14,-1.67,0.76,-0.91,-11.49,10.23,-1.26
"NSH","2012-2013",-14.97,6.22,-8.75,8.85,8.55,17.4,0,-20.07,0.45,-2.24,-1.79,-8.36,-4.84,-13.2
"NYI","2012-2013",1.16,-0.31,0.85,21.67,-7.35,14.32,-1,0,1.21,0,1.21,21.82,-6.45,15.37
"NYR","2012-2013",2.25,-2.35,-0.1,12.49,-10.03,2.47,-4.39,35.38,1.62,0,1.62,10.36,24.63,34.98
"OTT","2012-2013",15.81,-11.63,4.18,-13.52,6.16,-7.35,-13.06,26.4,0.13,0,0.13,-10.77,21.06,10.29
"PHI","2012-2013",-0.03,-0.22,-0.25,2.76,-0.08,2.68,0,0,-1.94,0,-1.94,2.73,-2.24,0.49
"PIT","2012-2013",6.7,2.64,9.34,0,6.45,6.45,38.67,0,0,2.18,2.18,47.55,9.09,56.64
"S.J","2012-2013",14.55,1.25,15.8,9.04,3.82,12.86,-37.78,8.66,2.05,2.47,4.52,-11.72,15.78,4.07
"STL","2012-2013",-3.74,20.51,16.77,-4.97,2.61,-2.36,0,-2.35,0.3,-3.33,-3.03,-12.04,21.07,9.03
"T.B","2012-2013",-7.96,-3.27,-11.24,0,2.76,2.76,35.84,-12.77,0,0,0,27.87,-13.29,14.59
"TOR","2012-2013",-2.63,-11.71,-14.34,-0.85,2.42,1.58,32.21,4.26,1.49,0,1.49,28.73,-3.54,25.2
"VAN","2012-2013",-1.49,6.06,4.57,0,-2.21,-2.21,0,0,-3.44,0,-3.44,-1.49,0.41,-1.08
"WPG","2012-2013",0.7,-3.5,-2.8,2.97,-0.9,2.07,0,-0.45,2.22,0,2.22,3.67,-2.63,1.04
"WSH","2012-2013",-1.08,-3.4,-4.48,0,0,0,17.05,0,0,0,0,15.97,-3.4,12.57
