"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2013-2014",41,225.18,213.95,193.45,20.5,52.52,57.01,51.55,20.1,7.18,12.92,73.68,5.36,1.91,14.56,9.08,5.48,61.59,3.88,2.42,3,7,4,15.63,92.96,108.58
"ARI","2013-2014",41,195.54,132.72,163.15,-30.43,44.86,40.72,50.06,2.56,8.92,-6.36,22.3,0.79,2.74,7.59,6.93,0.66,52.27,2.33,2.13,6,6,0,2.93,90.24,93.17
"BOS","2013-2014",41,229.85,248.97,166.8,82.17,59.88,64.99,43.54,10.79,7.56,3.23,58.8,2.82,1.97,13.31,7.42,5.89,64.21,3.47,1.94,8,9,1,6.81,91.93,98.74
"BUF","2013-2014",41,225.37,65.66,201.29,-135.63,24.6,17.48,53.59,5.16,7.3,-2.14,41.41,1.37,1.94,3.96,9.11,-5.15,30.3,1.05,2.43,6,7,1,15,93.9,108.9
"CAR","2013-2014",41,181.1,137.47,127.47,10,51.89,45.55,42.23,7.58,6.37,1.21,54.34,2.51,2.11,4.29,7.01,-2.72,37.96,1.42,2.32,3,9,6,11.17,91.12,102.29
"CBJ","2013-2014",41,247.41,171.5,190.01,-18.51,47.44,41.59,46.08,13.32,6.95,6.37,65.71,3.23,1.69,10.69,8.58,2.11,55.47,2.59,2.08,7,9,2,12.85,94.45,107.3
"CGY","2013-2014",41,183.6,141.51,125.71,15.8,52.96,46.25,41.08,18.74,3.61,15.13,83.85,6.12,1.18,10.08,5.52,4.56,64.62,3.29,1.8,1,4,3,20.77,94.55,115.32
"CHI","2013-2014",41,175.64,126.67,136.49,-9.82,48.13,43.27,46.63,13.16,7.34,5.82,64.2,4.5,2.51,7.44,5.87,1.57,55.9,2.54,2.01,5,6,1,18.21,90.32,108.53
"COL","2013-2014",41,196.2,123.95,174.94,-50.99,41.47,37.91,53.5,5.21,7.64,-2.43,40.54,1.59,2.34,4.05,7.91,-3.86,33.86,1.24,2.42,4,8,4,6.55,92.56,99.11
"DAL","2013-2014",41,202.94,190.41,165.75,24.66,53.46,56.3,49,17.13,6.18,10.95,73.49,5.06,1.83,12.63,7.81,4.82,61.79,3.73,2.31,8,13,5,14.65,93.01,107.66
"DET","2013-2014",41,233.54,107.74,188.7,-80.96,36.34,27.68,48.48,0,8.47,-8.47,0,0,2.18,5.76,8.91,-3.15,39.26,1.48,2.29,8,16,8,0,92.33,92.33
"EDM","2013-2014",41,215.42,97.47,211.2,-113.73,31.58,27.15,58.82,2.54,8.29,-5.75,23.45,0.71,2.31,4.16,10.42,-6.26,28.53,1.16,2.9,8,14,6,4.31,92.77,97.08
"FLA","2013-2014",41,204.88,129.16,168.16,-39,43.44,37.83,49.25,7.75,9.35,-1.6,45.32,2.27,2.74,6.02,8.38,-2.36,41.81,1.76,2.45,8,6,-2,9.1,91.57,100.67
"L.A","2013-2014",41,232.99,113.45,169.1,-55.65,40.15,29.22,43.55,7.16,7.79,-0.63,47.89,1.84,2.01,5.41,7.02,-1.61,43.52,1.39,1.81,2,7,5,12.87,91.42,104.29
"MIN","2013-2014",41,192.99,104.36,137.25,-32.89,43.19,32.45,42.67,2.51,7.44,-4.93,25.23,0.78,2.31,5.79,5.56,0.23,51.01,1.8,1.73,5,10,5,3.87,90.65,94.53
"MTL","2013-2014",41,233.55,221.01,187.61,33.4,54.09,56.78,48.2,7.94,7.14,0.8,52.65,2.04,1.83,12.3,8.1,4.2,60.29,3.16,2.08,10,9,-1,6.08,92.6,98.69
"N.J","2013-2014",41,227.03,130.75,139.99,-9.24,48.29,34.55,37,15.07,5.26,9.81,74.13,3.98,1.39,8.24,6.79,1.45,54.82,2.18,1.79,4,9,5,18.09,93.9,111.99
"NSH","2013-2014",41,191.7,73.63,162.46,-88.83,31.19,23.05,50.85,2.86,7.89,-5.03,26.6,0.9,2.47,3,6.61,-3.61,31.22,0.94,2.07,1,9,8,8.95,90.49,99.43
"NYI","2013-2014",41,198.15,217.07,160.64,56.43,57.47,65.73,48.64,10.05,7.94,2.11,55.86,3.04,2.4,15.71,7.62,8.09,67.34,4.76,2.31,5,12,7,7.53,90.61,98.14
"NYR","2013-2014",41,168.48,111.26,116.61,-5.35,48.83,39.62,41.53,8.08,4.42,3.66,64.64,2.88,1.57,7.49,5.44,2.05,57.93,2.67,1.94,5,5,0,12.33,93.86,106.19
"OTT","2013-2014",41,243,249.5,165.3,84.2,60.15,61.6,40.81,11,7.75,3.25,58.67,2.72,1.91,11.66,7.09,4.57,62.19,2.88,1.75,13,16,3,7.99,92.02,100.01
"PHI","2013-2014",41,257.25,242.48,189.16,53.32,56.18,56.56,44.12,7.9,8.39,-0.49,48.5,1.84,1.96,10.1,8.52,1.58,54.24,2.36,1.99,5,9,4,5.43,91.17,96.6
"PIT","2013-2014",41,180.29,68.74,145.13,-76.39,32.14,22.88,48.3,7,6.6,0.4,51.47,2.33,2.2,5.96,7.41,-1.45,44.58,1.98,2.47,6,11,5,13.71,93.55,107.26
"S.J","2013-2014",41,201.09,155.38,152.79,2.59,50.42,46.36,45.59,12.77,5.26,7.51,70.83,3.81,1.57,10.81,6.72,4.09,61.67,3.23,2.01,6,8,2,14.45,92.66,107.1
"STL","2013-2014",41,240.33,153.53,186.02,-32.49,45.22,38.33,46.44,7.76,7.9,-0.14,49.55,1.94,1.97,5.85,8.23,-2.38,41.55,1.46,2.05,17,16,-1,10.21,91.69,101.9
"T.B","2013-2014",41,225.03,170.45,196.2,-25.75,46.49,45.45,52.31,20.95,8.55,12.4,71.02,5.59,2.28,8.49,7.23,1.26,54.01,2.26,1.93,2,6,4,21.96,92.23,114.19
"TOR","2013-2014",41,182.57,93.68,166.58,-72.9,35.99,30.79,54.75,2.49,8.05,-5.56,23.62,0.82,2.65,3.35,6.71,-3.36,33.3,1.1,2.21,5,6,1,3.68,92.04,95.71
"VAN","2013-2014",41,204.63,133.07,130.31,2.76,50.52,39.02,38.21,7.92,5.84,2.08,57.56,2.32,1.71,7.19,5.39,1.8,57.15,2.11,1.58,2,7,5,11.69,90.46,102.15
"WPG","2013-2014",41,236.43,268.4,195.08,73.32,57.91,68.11,49.51,7.35,9.56,-2.21,43.47,1.87,2.43,18.85,10.52,8.33,64.18,4.78,2.67,4,12,8,5.54,91.1,96.64
"WSH","2013-2014",41,234.28,115.69,227.9,-112.21,33.67,29.63,58.37,2.47,9.73,-7.26,20.25,0.63,2.49,4.83,9.28,-4.45,34.23,1.24,2.38,7,13,6,3.91,92.37,96.27
