"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2017-2018",24,84.78,66,18,3,75.86,3.45,20.69,0.96,38,49,43.68,6,1,4.25,0.71,4,16,-12,2.83,11.32
"ARI","2017-2018",26,116.82,102,24,7,76.69,5.26,18.05,0.94,62,71,46.62,17,4,8.73,2.05,10,17,-7,5.14,8.73
"BOS","2017-2018",21,100.02,84,21,13,71.19,11.02,17.8,0.87,58,60,49.15,12,12,7.2,7.2,5,20,-15,3,12
"BUF","2017-2018",25,131.38,120,31,8,75.47,5.03,19.5,0.94,99,60,62.26,11,3,5.02,1.37,7,26,-19,3.2,11.87
"CAR","2017-2018",26,121.75,110,30,4,76.39,2.78,20.83,0.96,81,63,56.25,21,2,10.35,0.99,9,11,-2,4.44,5.42
"CBJ","2017-2018",23,108.62,89,15,6,80.91,5.45,13.64,0.94,46,64,41.82,9,6,4.97,3.31,10,32,-22,5.52,17.68
"CGY","2017-2018",22,120.62,104,17,2,84.55,1.63,13.82,0.98,61,62,49.59,20,7,9.95,3.48,6,19,-13,2.98,9.45
"CHI","2017-2018",23,131.88,103,23,5,78.63,3.82,17.56,0.95,74,57,56.49,20,7,9.1,3.18,5,25,-20,2.27,11.37
"COL","2017-2018",19,128.63,97,33,4,72.39,2.99,24.63,0.96,75,59,55.97,22,4,10.26,1.87,9,30,-21,4.2,13.99
"DAL","2017-2018",25,109.98,101,16,6,82.11,4.88,13.01,0.94,61,62,49.59,11,4,6,2.18,11,17,-6,6,9.27
"DET","2017-2018",19,91.22,80,15,5,80,5,15,0.94,47,53,47,15,7,9.87,4.6,13,19,-6,8.55,12.5
"EDM","2017-2018",24,92.25,83,14,2,83.84,2.02,14.14,0.98,55,44,55.56,10,1,6.5,0.65,4,10,-6,2.6,6.5
"FLA","2017-2018",24,108.45,103,24,5,78.03,3.79,18.18,0.95,79,53,59.85,20,6,11.07,3.32,4,22,-18,2.21,12.17
"L.A","2017-2018",23,97.05,90,29,8,70.87,6.3,22.83,0.92,58,69,45.67,19,5,11.75,3.09,16,23,-7,9.89,14.22
"MIN","2017-2018",23,116.68,96,17,4,82.05,3.42,14.53,0.96,65,52,55.56,12,8,6.17,4.11,11,14,-3,5.66,7.2
"MTL","2017-2018",22,114.22,108,21,3,81.82,2.27,15.91,0.97,75,49,60.48,15,8,7.88,4.2,6,24,-18,3.15,12.61
"N.J","2017-2018",23,121.15,109,21,7,79.56,5.11,15.33,0.94,74,63,54.01,9,3,4.46,1.49,9,22,-13,4.46,10.9
"NSH","2017-2018",23,126.02,97,24,8,75.19,6.2,18.6,0.92,74,55,57.36,19,3,9.05,1.43,9,20,-11,4.29,9.52
"NYI","2017-2018",25,143.38,113,21,8,79.58,5.63,14.79,0.93,72,70,50.7,26,7,10.88,2.93,3,21,-18,1.26,8.79
"NYR","2017-2018",20,86.97,69,17,5,75.82,5.49,18.68,0.93,40,51,43.96,17,8,11.73,5.52,7,17,-10,4.83,11.73
"OTT","2017-2018",20,106.37,80,11,9,80,9,11,0.9,49,51,49,12,1,6.77,0.56,6,16,-10,3.38,9.03
"PHI","2017-2018",22,132.68,115,19,2,84.56,1.47,13.97,0.98,71,65,52.21,24,3,10.85,1.36,6,19,-13,2.71,8.59
"PIT","2017-2018",26,136.02,107,22,11,76.43,7.86,15.71,0.91,77,63,55,22,8,9.7,3.53,6,16,-10,2.65,7.06
"S.J","2017-2018",24,121.45,113,25,10,76.35,6.76,16.89,0.92,81,67,54.73,25,7,12.35,3.46,8,16,-8,3.95,7.9
"STL","2017-2018",24,125.95,105,24,12,74.47,8.51,17.02,0.9,70,71,49.65,11,10,5.24,4.76,9,20,-11,4.29,9.53
"T.B","2017-2018",23,123.45,103,18,5,81.75,3.97,14.29,0.95,62,64,49.21,20,5,9.72,2.43,9,18,-9,4.37,8.75
"TOR","2017-2018",26,102.52,89,10,4,86.41,3.88,9.71,0.96,56,47,54.37,17,7,9.95,4.1,3,14,-11,1.76,8.19
"VAN","2017-2018",25,124.32,90,24,8,73.77,6.56,19.67,0.92,61,61,50,29,11,14,5.31,7,12,-5,3.38,5.79
"VGK","2017-2018",24,136.57,119,16,5,85,3.57,11.43,0.96,68,72,48.57,16,6,7.03,2.64,12,29,-17,5.27,12.74
"WPG","2017-2018",27,157.7,129,34,11,74.14,6.32,19.54,0.92,95,79,54.6,24,7,9.13,2.66,12,28,-16,4.57,10.65
"WSH","2017-2018",22,107.97,97,24,3,78.23,2.42,19.35,0.97,65,59,52.42,14,0,7.78,0,9,14,-5,5,7.78
