"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2017-2018",24,1146.72,957,1127,-170,45.92,50.07,58.97,44,42,2,51.16,2.3,2.2,37.92,45.91,-7.99,45.24,1.98,2.4,91,68,-23,8.18,92.59,100.77
"ARI","2017-2018",26,1292.73,1157,1317,-160,46.77,53.7,61.13,42,65,-23,39.25,1.95,3.02,44.21,56.7,-12.5,43.81,2.05,2.63,66,67,1,6.77,90.92,97.7
"BOS","2017-2018",21,1013.12,988,935,53,51.38,58.51,55.37,47,33,14,58.75,2.78,1.95,38.98,38.99,0,50,2.31,2.31,70,65,-5,9.09,93.14,102.23
"BUF","2017-2018",25,1192.63,1014,1155,-141,46.75,51.01,58.11,36,54,-18,40,1.81,2.72,39.84,50.01,-10.16,44.35,2,2.52,71,71,0,6.39,91.35,97.74
"CAR","2017-2018",26,1303.08,1293,1131,162,53.34,59.54,52.08,49,54,-5,47.57,2.26,2.49,50.3,46.76,3.54,51.82,2.32,2.15,54,65,11,7.04,91.3,98.34
"CBJ","2017-2018",23,1161.98,1091,1048,43,51.01,56.33,54.11,49,46,3,51.58,2.53,2.38,44.26,43.73,0.53,50.3,2.29,2.26,56,58,2,8.03,92.01,100.05
"CGY","2017-2018",22,1023.05,1022,1052,-30,49.28,59.94,61.7,38,31,7,55.07,2.23,1.82,42.79,42.88,-0.09,49.95,2.51,2.51,77,76,-1,7.35,94.54,101.89
"CHI","2017-2018",23,1071.38,1168,1041,127,52.87,65.41,58.3,40,45,-5,47.06,2.24,2.52,45.47,47.62,-2.15,48.85,2.55,2.67,75,75,0,6.68,91.92,98.6
"COL","2017-2018",19,854.13,750,816,-66,47.89,52.68,57.32,31,32,-1,49.21,2.18,2.25,26.93,31.98,-5.05,45.72,1.89,2.25,79,74,-5,7.85,92.25,100.1
"DAL","2017-2018",25,1199.52,1072,989,83,52.01,53.62,49.47,43,47,-4,47.78,2.15,2.35,40.47,36.79,3.68,52.38,2.02,1.84,77,69,-8,7.4,91.21,98.62
"DET","2017-2018",19,913.2,849,909,-60,48.29,55.78,59.72,29,38,-9,43.28,1.91,2.5,32.63,40.35,-7.71,44.71,2.14,2.65,54,52,-2,6.4,92.38,98.79
"EDM","2017-2018",24,1161.12,1063,1045,18,50.43,54.93,54,47,51,-4,47.96,2.43,2.64,41.4,40.14,1.26,50.77,2.14,2.07,83,55,-28,8.02,90.94,98.96
"FLA","2017-2018",24,1152.12,1112,1120,-8,49.82,57.91,58.33,31,47,-16,39.74,1.61,2.45,40.29,44.8,-4.51,47.35,2.1,2.33,80,82,2,5.15,92.1,97.25
