"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2014-2015",41,219.85,18,54,176,7.26,70.97,21.77,0.09,110,138,44.35,24,32,6.55,8.73,35,22,13,9.55,6
"ARI","2014-2015",41,238.52,16,45,244,5.25,80,14.75,0.06,141,164,46.23,21,23,5.28,5.79,39,15,24,9.81,3.77
"BOS","2014-2015",41,227.47,24,42,201,8.99,75.28,15.73,0.11,133,134,49.81,19,29,5.01,7.65,45,26,19,11.87,6.86
"BUF","2014-2015",41,216.93,13,47,199,5.02,76.83,18.15,0.06,98,161,37.84,20,17,5.53,4.7,50,13,37,13.83,3.6
"CAR","2014-2015",41,169.56,4,40,145,2.12,76.72,21.16,0.03,95,94,50.26,17,24,6.02,8.49,31,19,12,10.97,6.72
"CBJ","2014-2015",41,276.83,11,50,254,3.49,80.63,15.87,0.04,133,182,42.22,18,36,3.9,7.8,62,29,33,13.44,6.29
"CGY","2014-2015",41,164.52,14,36,151,6.97,75.12,17.91,0.08,87,114,43.28,10,17,3.65,6.2,13,16,-3,4.74,5.84
"CHI","2014-2015",41,193.83,12,36,160,5.77,76.92,17.31,0.07,100,108,48.08,20,21,6.19,6.5,12,18,-6,3.71,5.57
"COL","2014-2015",41,185.94,8,41,170,3.65,77.63,18.72,0.04,104,115,47.49,23,18,7.42,5.81,52,17,35,16.78,5.49
"DAL","2014-2015",41,222.62,20,44,188,7.94,74.6,17.46,0.1,124,128,49.21,22,23,5.93,6.2,35,18,17,9.43,4.85
"DET","2014-2015",41,239.1,15,44,211,5.56,78.15,16.3,0.07,121,149,44.81,20,31,5.02,7.78,35,27,8,8.78,6.78
"EDM","2014-2015",41,193.33,11,32,163,5.34,79.13,15.53,0.06,100,106,48.54,14,25,4.34,7.76,28,23,5,8.69,7.14
"FLA","2014-2015",41,213.58,13,46,189,5.24,76.21,18.55,0.06,114,134,45.97,15,23,4.21,6.46,28,17,11,7.87,4.78
"L.A","2014-2015",41,173.71,7,30,149,3.76,80.11,16.13,0.04,89,97,47.85,13,20,4.49,6.91,49,12,37,16.92,4.14
"MIN","2014-2015",41,184.31,16,37,158,7.58,74.88,17.54,0.09,104,107,49.29,13,15,4.23,4.88,18,17,1,5.86,5.53
"MTL","2014-2015",41,217.09,9,37,188,3.85,80.34,15.81,0.05,111,123,47.44,25,22,6.91,6.08,37,15,22,10.23,4.15
"N.J","2014-2015",41,255.35,11,42,215,4.1,80.22,15.67,0.05,108,160,40.3,22,24,5.17,5.64,36,14,22,8.46,3.29
"NSH","2014-2015",41,204.1,14,34,179,6.17,78.85,14.98,0.07,103,124,45.37,14,21,4.12,6.17,38,16,22,11.17,4.7
"NYI","2014-2015",41,170.77,14,31,147,7.29,76.56,16.15,0.09,74,118,38.54,11,17,3.86,5.97,42,21,21,14.76,7.38
"NYR","2014-2015",41,200.6,10,38,160,4.81,76.92,18.27,0.06,97,111,46.63,22,28,6.58,8.37,46,24,22,13.76,7.18
"OTT","2014-2015",41,234.68,19,39,206,7.2,78.03,14.77,0.08,96,168,36.36,18,22,4.6,5.62,65,22,43,16.62,5.62
"PHI","2014-2015",41,220.44,10,39,193,4.13,79.75,16.12,0.05,119,123,49.17,16,27,4.35,7.35,49,25,24,13.34,6.8
"PIT","2014-2015",41,231.68,11,39,209,4.25,80.69,15.06,0.05,120,139,46.33,35,15,9.06,3.88,36,19,17,9.32,4.92
"S.J","2014-2015",41,181.08,19,17,173,9.09,82.78,8.13,0.1,97,112,46.41,12,30,3.98,9.94,25,16,9,8.28,5.3
"STL","2014-2015",41,228.77,15,42,198,5.88,77.65,16.47,0.07,128,127,50.2,22,30,5.77,7.87,33,22,11,8.65,5.77
"T.B","2014-2015",41,220.4,13,46,219,4.68,78.78,16.55,0.06,122,156,43.88,23,30,6.26,8.17,29,19,10,7.89,5.17
"TOR","2014-2015",41,219.33,10,48,196,3.94,77.17,18.9,0.05,105,149,41.34,16,34,4.38,9.3,54,14,40,14.77,3.83
"VAN","2014-2015",41,248.47,13,55,226,4.42,76.87,18.71,0.05,122,172,41.5,25,34,6.04,8.21,56,23,33,13.52,5.55
"WPG","2014-2015",41,269.8,19,64,231,6.05,73.57,20.38,0.08,133,181,42.36,19,19,4.23,4.23,54,37,17,12.01,8.23
"WSH","2014-2015",41,215.44,11,40,187,4.62,78.57,16.81,0.06,105,133,44.12,15,27,4.18,7.52,29,22,7,8.08,6.13
