"Team","Season","RF","RA","Rates","QF","QA","Qual","Shooting","Goalie","PT","PD","Pens","OK","DK","K"
"ANA","2013-2014",13.08,0.94,14.02,1.59,-8.57,-6.98,12.9,8.03,1.52,0.54,2.06,28.11,1.92,30.02
"ARI","2013-2014",3.85,-7.68,-3.83,-17.66,0,-17.66,0,0,0,-1.37,-1.37,-15.18,-7.68,-22.86
"BOS","2013-2014",9.55,10.26,19.81,-5.59,8.79,3.2,18.42,18.75,0,-4.93,-4.93,17.46,37.79,55.25
"BUF","2013-2014",-30.65,-27.49,-58.14,0,0.89,0.89,-36.36,0,0,-2.3,-2.3,-69.31,-26.6,-95.91
"CAR","2013-2014",9.84,-18.54,-8.7,0.42,-12.84,-12.42,-23.28,6.76,3.77,3.07,6.84,-9.96,-20.86,-30.81
"CBJ","2013-2014",-5.66,-0.94,-6.6,-1.81,14.33,12.52,2.94,-6.15,-2.27,1.15,-1.12,-3.38,4.97,1.59
"CGY","2013-2014",-19.95,5.59,-14.36,1.76,-3.55,-1.78,0,-19.25,3.25,-3.6,-0.35,-21.79,-13.96,-35.76
"CHI","2013-2014",3.65,18.8,22.46,3.58,-0.94,2.64,36.65,-13.97,0.39,-4.11,-3.72,39.78,4.27,44.05
"COL","2013-2014",-5.89,-17.77,-23.66,0.67,3,3.67,34.41,19.26,1.55,-4.76,-3.21,24.43,6.04,30.47
"DAL","2013-2014",21.26,-9.42,11.84,13.66,-17.37,-3.72,-15.31,11.49,0,5.28,5.28,24.89,-15.3,9.59
"DET","2013-2014",-6.39,13.15,6.75,-11.24,-5.47,-16.7,0,0,-2.81,2.66,-0.14,-14.97,4.88,-10.09
"EDM","2013-2014",-16.49,-23.68,-40.16,10.83,-8.45,2.38,0,-8.79,-1.56,0,-1.56,-5.66,-42.48,-48.13
"FLA","2013-2014",-6.56,-8.31,-14.87,-10.09,0,-10.09,-10.27,-32.36,3.15,0,3.15,-26.92,-37.52,-64.44
"L.A","2013-2014",30.22,20.05,50.26,-2.19,-2.61,-4.81,-36.33,34.45,-5.91,2.35,-3.56,-5.95,45.98,40.03
"MIN","2013-2014",-24.38,25.93,1.55,-14,16.89,2.89,0,0,6.53,-0.95,5.58,-39.33,49.35,10.02
"MTL","2013-2014",-7.61,-0.13,-7.73,8.9,-4.34,4.56,0,18.09,0,3.11,3.11,4.41,13.62,18.03
"N.J","2013-2014",-29.31,39.91,10.6,4.36,0,4.36,0,-4.6,0,-3.76,-3.76,-28.7,35.31,6.61
"NSH","2013-2014",-8.71,6.99,-1.72,0,16.3,16.3,0,-44.71,5.09,-4.05,1.04,-12.75,-16.33,-29.08
"NYI","2013-2014",1.21,-7.11,-5.9,26.95,-19.55,7.4,-20.32,-10.13,0,-0.31,-0.31,7.53,-36.79,-29.26
"NYR","2013-2014",18.82,-0.65,18.17,6.04,-20.51,-14.47,-26.13,52.75,7.58,0.28,7.86,-0.99,39.16,38.17
"OTT","2013-2014",25.34,-33.02,-7.68,-8.93,0,-8.93,0,0,-7.46,0,-7.46,16.42,-40.48,-24.06
"PHI","2013-2014",7.34,-1.65,5.69,-3.39,0,-3.39,0,0,-6.53,1.05,-5.49,5,-8.19,-3.19
"PIT","2013-2014",0,7.33,7.33,-4.45,10.6,6.15,29.11,0,0,3.76,3.76,28.42,17.94,46.36
"S.J","2013-2014",41.06,9.12,50.18,22.84,7.87,30.71,-49.37,0,5.04,1.58,6.62,16.12,22.03,38.14
"STL","2013-2014",3.43,25.93,29.36,-8.24,3.2,-5.04,8.51,0,-1.65,4.31,2.66,8.01,27.49,35.5
"T.B","2013-2014",-0.33,-0.14,-0.47,-11.62,11.38,-0.24,30,-1.26,0,-1.13,-1.13,16.92,9.98,26.9
"TOR","2013-2014",-8.24,-43.19,-51.43,3.42,2.36,5.78,5.62,11.93,0,-2.45,-2.45,-1.65,-28.9,-30.55
"VAN","2013-2014",7.95,8.11,16.07,-5.12,-3.85,-8.97,-27.7,0,-0.68,-1.03,-1.71,-25.89,3.58,-22.31
"WPG","2013-2014",10.26,-2.48,7.79,15.38,-16.04,-0.66,-21.94,0,-3.35,-0.13,-3.48,3.57,-21.86,-18.29
"WSH","2013-2014",-2.38,-18.16,-20.54,0,6.06,6.06,3.87,0,-2.11,2.88,0.77,4.37,-14.21,-9.84
