"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2013-2014",41,253.1,10.31,90,7.28,95,10.1,93.03,-2.82,1.97,100.31,103.13,-2.82,222,14,52,77.08,4.86,18.06,0.94,53.12
"ARI","2013-2014",41,224.72,14.81,96.15,9.85,96.88,8.51,93.78,1.34,3.09,110.97,102.29,8.68,201,13,46,77.31,5,17.69,0.94,60.77
"BOS","2013-2014",41,177.83,14.37,95.83,10.36,96.3,9.47,93.26,0.89,3.04,110.21,102.73,7.48,157,6,32,80.51,3.08,16.41,0.96,61.54
"BUF","2013-2014",41,220.65,11.49,87.5,8.51,91.43,8.87,93.43,-0.36,-2,98.99,102.3,-3.31,182,17,37,77.12,7.2,15.68,0.91,49.15
"CAR","2013-2014",41,244.47,10.13,90.32,6.93,94,9.48,90.32,-2.55,3.68,100.45,99.8,0.66,248,5,46,82.94,1.67,15.38,0.98,58.53
"CBJ","2013-2014",41,227.32,15.24,86.36,10.85,88.46,8.75,95.35,2.1,-6.88,101.6,104.09,-2.49,193,14,60,72.28,5.24,22.47,0.93,61.05
"CGY","2013-2014",41,194.8,13.07,77.27,9.57,81.48,10.31,92.26,-0.74,-10.78,90.34,102.57,-12.22,158,6,48,74.53,2.83,22.64,0.96,46.7
"CHI","2013-2014",41,237.92,13.17,97.14,9.44,97.73,8.06,91.2,1.38,6.52,110.31,99.26,11.05,206,10,48,78.03,3.79,18.18,0.95,62.12
"COL","2013-2014",41,224.4,13.13,96.77,10,96.88,9.8,93.28,0.2,3.59,109.91,103.08,6.83,187,14,45,76.02,5.69,18.29,0.93,57.32
"DAL","2013-2014",41,269.5,9.27,97.78,6.37,98.51,8.97,92.43,-2.6,6.07,107.05,101.4,5.65,245,23,49,77.29,7.26,15.46,0.91,53.94
"DET","2013-2014",41,239.15,11.95,86.96,8.63,90.32,9.22,91.1,-0.6,-0.77,98.9,100.32,-1.42,215,9,61,75.44,3.16,21.4,0.96,58.95
"EDM","2013-2014",41,243.01,15.57,83.78,11.15,87.23,11.04,92,0.1,-4.77,99.35,103.04,-3.69,200,8,52,76.92,3.08,20,0.96,56.54
"FLA","2013-2014",41,218.29,10.76,100,7.52,100,8.25,94.35,-0.73,5.65,110.76,102.6,8.16,173,16,40,75.55,6.99,17.47,0.92,59.39
"L.A","2013-2014",41,264.91,11.79,88.46,7.35,91.18,9.54,90.97,-2.18,0.21,100.25,100.51,-0.25,219,18,59,73.99,6.08,19.93,0.92,59.46
"MIN","2013-2014",41,223.72,13.25,96.15,9.21,97.06,9.34,93.21,-0.14,3.85,109.41,102.55,6.86,168,17,51,71.19,7.2,21.61,0.91,59.32
"MTL","2013-2014",41,235.62,11.06,91.3,7.89,92.73,9.78,93.11,-1.9,-0.38,102.36,102.89,-0.53,218,20,49,75.96,6.97,17.07,0.92,56.45
"N.J","2013-2014",41,210.81,13.79,86.21,10.26,88.24,8.55,90.44,1.71,-2.21,100,98.99,1.01,147,13,42,72.77,6.44,20.79,0.92,48.51
"NSH","2013-2014",41,192.3,13.95,100,10.34,100,9.14,94.41,1.21,5.59,113.95,103.55,10.41,149,7,22,83.71,3.93,12.36,0.96,56.18
"NYI","2013-2014",41,235.8,11.66,85.19,8.84,87.88,10.77,89.82,-1.93,-1.94,96.84,100.59,-3.75,187,9,49,76.33,3.67,20,0.95,50.2
"NYR","2013-2014",41,221.62,9.95,85.29,6.67,88.1,9.39,88.17,-2.72,-0.07,95.24,97.56,-2.31,185,18,51,72.83,7.09,20.08,0.91,51.57
"OTT","2013-2014",41,222.89,9.6,86.05,6.59,88.46,8.87,91.37,-2.28,-2.9,95.65,100.23,-4.58,187,12,45,76.64,4.92,18.44,0.94,52.87
"PHI","2013-2014",41,264.5,10.22,88.89,6.78,91.53,9.26,91.63,-2.47,-0.1,99.11,100.88,-1.77,221,19,59,73.91,6.35,19.73,0.92,54.52
"PIT","2013-2014",41,218.02,14.22,87.5,10.67,89.66,8.09,93.83,2.58,-4.17,101.72,101.91,-0.19,213,21,42,77.17,7.61,15.22,0.91,58.7
"S.J","2013-2014",41,268.42,9.29,94.44,6.74,95.35,9.91,91.79,-3.17,3.56,103.73,101.7,2.03,242,14,54,78.06,4.52,17.42,0.95,60.65
"STL","2013-2014",41,245.27,14.5,83.33,10.25,87.5,8.55,92.41,1.7,-4.91,97.83,100.96,-3.12,204,17,50,75.28,6.27,18.45,0.92,56.09
"T.B","2013-2014",41,227.62,15.2,90.91,10.61,92.31,7.97,92.62,2.64,-0.31,106.11,100.59,5.53,179,8,38,79.56,3.56,16.89,0.96,62.67
"TOR","2013-2014",41,195.03,15.96,97.62,11.86,97.96,9.2,95.29,2.66,2.67,113.58,104.48,9.09,164,17,38,74.89,7.76,17.35,0.91,49.32
"VAN","2013-2014",41,223.3,8.8,83.33,6.74,85.19,8.13,89.7,-1.39,-4.52,92.13,97.83,-5.71,197,9,40,80.08,3.66,16.26,0.96,56.1
"WPG","2013-2014",41,245.97,11.16,79.31,7.74,83.33,9.48,91.31,-1.74,-7.97,90.47,100.79,-10.32,218,17,59,74.15,5.78,20.07,0.93,53.4
"WSH","2013-2014",41,223.99,15.89,87.18,11.15,88.37,8.17,93.42,2.98,-5.05,103.07,101.59,1.48,210,19,57,73.43,6.64,19.93,0.92,56.29
