"Team","Season","RF","RA","Rates","QF","QA","Qual","Shooting","Goalie","PT","PD","Pens","OK","DK","K"
"ANA","2017-2018",-2.45,-3.91,-6.36,-0.09,-1.34,-1.43,0,12.13,-0.05,-2.6,-2.65,-5.14,6.84,1.7
"ARI","2017-2018",-4.64,-4.37,-9.01,-5.7,5.87,0.17,0,-4.83,4.34,-2.66,1.68,-13,1.01,-11.99
"BOS","2017-2018",-1.18,7.51,6.33,-1.58,3.27,1.7,5.65,0,2.67,0,2.67,2.89,13.46,16.35
"BUF","2017-2018",-5.22,-2.12,-7.33,-6.2,8.82,2.61,-6.69,-18.74,0,-1.49,-1.49,-19.6,-12.04,-31.64
"CAR","2017-2018",7.11,4.41,11.52,14.02,-1.27,12.74,-14.63,-7.3,3.94,1.09,5.03,7.59,-0.23,7.36
"CBJ","2017-2018",2.68,2.6,5.28,2.46,-5.13,-2.67,-11.69,1.11,2.97,-0.22,2.75,-6.77,1.55,-5.22
"CGY","2017-2018",6.7,-4.36,2.34,5.63,1.49,7.12,0,0,-0.37,0.97,0.6,13.3,-3.24,10.06
"CHI","2017-2018",4.7,-5.14,-0.44,5.98,-3.91,2.07,0,0,0,3.95,3.95,14.63,-9.05,5.58
"COL","2017-2018",-4.69,-1.82,-6.5,-8.31,10.27,1.96,27.74,0,-1.22,5.35,4.13,20.1,7.23,27.33
"DAL","2017-2018",0.5,14.16,14.66,10.43,3.75,14.19,0,0,-1.51,-0.19,-1.7,10.74,16.4,27.14
"DET","2017-2018",-4.97,1,-3.97,-0.57,-3.69,-4.26,0,0,-0.22,0,-0.22,-5.54,-2.91,-8.44
"EDM","2017-2018",6.75,3.13,9.87,1.83,-1.77,0.07,-3.77,-4.38,0.54,-4.39,-3.84,0.43,-2.48,-2.05
"FLA","2017-2018",9.45,-5.96,3.5,0,0.91,0.91,0,0,0,-1.31,-1.31,8.14,-5.05,3.09
"L.A","2017-2018",-1.5,-0.36,-1.86,0,-0.82,-0.82,0,16.21,0,-2.32,-2.32,-3.81,15.02,11.21
"MIN","2017-2018",-7.1,1,-6.11,2.99,18.7,21.69,0,0,-2.63,0,-2.63,-4.11,17.07,12.96
"MTL","2017-2018",2.74,-0.86,1.88,6.46,0.99,7.46,-12.72,0,0,-2.17,-2.17,-5.68,0.13,-5.55
"N.J","2017-2018",-3.74,0.64,-3.1,13.96,0,13.96,0,0,0,0.44,0.44,10.67,0.64,11.31
"NSH","2017-2018",2.35,2.26,4.61,-4.46,-0.56,-5.02,4.37,11.27,-1.78,3.35,1.58,5.62,11.19,16.81
"NYI","2017-2018",-1.05,-8.23,-9.28,14.85,-1.28,13.57,20.2,-17.81,0,0.97,0.97,34.97,-27.32,7.65
"NYR","2017-2018",-1.6,-6.42,-8.02,17.75,-4.94,12.81,0,0,0,-0.35,-0.35,15.79,-11.36,4.43
"OTT","2017-2018",-5.88,-3.41,-9.29,-2.99,-0.17,-3.16,0,-1.15,0,-2.01,-2.01,-10.88,-4.73,-15.61
"PHI","2017-2018",-2.45,1.88,-0.57,3.15,8.44,11.59,0,0,0.52,0.82,1.33,1.51,10.84,12.35
"PIT","2017-2018",7.74,2.96,10.7,0,-0.77,-0.77,0,-2.88,0,2.3,2.3,10.05,-0.69,9.36
"S.J","2017-2018",5.94,1.22,7.16,1.65,-2.15,-0.5,-3.38,0,1.46,2.55,4.01,6.76,0.53,7.29
"STL","2017-2018",5.12,6.91,12.03,-3.69,3.03,-0.66,0,0,1.36,0.76,2.12,2.19,11.3,13.49
"T.B","2017-2018",7.95,3.53,11.48,-3.76,11.85,8.08,22.45,0,0,2.65,2.65,29.29,15.37,44.67
"TOR","2017-2018",3.18,-4.97,-1.79,23.51,0,23.51,0,0,1.04,-3.55,-2.5,23.15,-3.93,19.22
"VAN","2017-2018",-6.99,0,-6.99,0,0,0,0,0,0,1.1,1.1,-5.89,0,-5.89
"VGK","2017-2018",3.42,6.32,9.74,-0.9,9.94,9.05,10.01,0,2.31,-0.82,1.49,11.71,18.57,30.28
"WPG","2017-2018",3.47,0.92,4.38,-4.68,7.58,2.9,13.36,0,-1.26,4.31,3.05,16.45,7.24,23.69
"WSH","2017-2018",-4,-3.35,-7.35,-1.32,-0.7,-2.02,11.21,0,-0.82,-1.13,-1.95,4.76,-4.87,-0.1
