"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2017-2018",24,144.3,4,23,129,2.56,82.69,14.74,0.03,83,73,53.21,18,18,7.48,7.48,30,12,18,12.47,4.99
"ARI","2017-2018",22,77.63,2,18,64,2.38,76.19,21.43,0.03,36,48,42.86,3,8,2.32,6.18,18,4,14,13.91,3.09
"BOS","2017-2018",24,109.25,3,23,93,2.52,78.15,19.33,0.03,57,62,47.9,10,19,5.49,10.43,14,19,-5,7.69,10.43
"BUF","2017-2018",21,100.22,6,11,71,6.82,80.68,12.5,0.08,47,33,58.75,4,13,2.39,7.78,18,2,16,10.78,1.2
"CAR","2017-2018",21,88.5,1,14,71,1.16,82.56,16.28,0.01,41,45,47.67,4,16,2.71,10.85,14,3,11,9.49,2.03
"CBJ","2017-2018",24,114.08,9,23,88,7.5,73.33,19.17,0.09,61,59,50.83,4,19,2.1,9.99,24,4,20,12.62,2.1
"CGY","2017-2018",24,113.92,12,21,98,9.16,74.81,16.03,0.11,55,76,41.98,17,28,8.95,14.75,4,3,1,2.11,1.58
"CHI","2017-2018",23,109.05,9,24,84,7.69,71.79,20.51,0.1,50,67,42.74,31,24,17.06,13.2,13,12,1,7.15,6.6
"COL","2017-2018",26,150.13,4,23,123,2.67,82,15.33,0.03,67,83,44.67,3,20,1.2,7.99,29,10,19,11.59,4
"DAL","2017-2018",23,128.1,7,30,118,4.52,76.13,19.35,0.06,82,73,52.9,8,16,3.75,7.49,22,7,15,10.3,3.28
"DET","2017-2018",25,125.03,8,23,99,6.15,76.15,17.69,0.07,58,72,44.62,15,7,7.2,3.36,12,10,2,5.76,4.8
"EDM","2017-2018",23,100.92,11,23,94,8.59,73.44,17.97,0.1,66,62,51.56,22,22,13.08,13.08,26,10,16,15.46,5.95
"FLA","2017-2018",21,108.25,8,20,114,5.63,80.28,14.08,0.07,60,82,42.25,15,19,8.31,10.53,11,6,5,6.1,3.33
"L.A","2017-2018",24,138.73,4,12,105,3.31,86.78,9.92,0.04,56,65,46.28,30,7,12.97,3.03,26,5,21,11.24,2.16
"MIN","2017-2018",24,135.07,6,29,104,4.32,74.82,20.86,0.05,60,79,43.17,2,20,0.89,8.88,9,2,7,4,0.89
"MTL","2017-2018",25,117.67,7,16,94,5.98,80.34,13.68,0.07,60,57,51.28,47,15,23.97,7.65,21,12,9,10.71,6.12
"N.J","2017-2018",22,132.92,12,33,109,7.79,70.78,21.43,0.1,71,83,46.1,6,37,2.71,16.7,30,16,14,13.54,7.22
"NSH","2017-2018",22,124.22,4,32,104,2.86,74.29,22.86,0.04,71,69,50.71,14,22,6.76,10.63,18,6,12,8.69,2.9
"NYI","2017-2018",23,117.4,4,19,112,2.96,82.96,14.07,0.03,65,70,48.15,16,18,8.18,9.2,18,6,12,9.2,3.07
"NYR","2017-2018",28,130.85,7,21,97,5.6,77.6,16.8,0.07,57,68,45.6,18,35,8.25,16.05,32,1,31,14.67,0.46
"OTT","2017-2018",24,117.87,11,17,104,8.33,78.79,12.88,0.1,67,65,50.76,10,17,5.09,8.65,18,17,1,9.16,8.65
"PHI","2017-2018",25,102.68,4,22,97,3.25,78.86,17.89,0.04,64,59,52.03,7,13,4.09,7.6,27,10,17,15.78,5.84
"PIT","2017-2018",23,123.83,7,15,102,5.65,82.26,12.1,0.06,68,56,54.84,15,17,7.27,8.24,28,11,17,13.57,5.33
"S.J","2017-2018",22,110.15,4,22,90,3.45,77.59,18.97,0.04,60,56,51.72,11,34,5.99,18.52,20,8,12,10.89,4.36
"STL","2017-2018",25,115.72,2,25,93,1.67,77.5,20.83,0.02,55,65,45.83,5,18,2.59,9.33,21,8,13,10.89,4.15
"T.B","2017-2018",23,119.33,3,23,98,2.42,79.03,18.55,0.03,45,79,36.29,5,20,2.51,10.06,20,6,14,10.06,3.02
"TOR","2017-2018",22,116.97,7,27,112,4.79,76.71,18.49,0.06,71,75,48.63,18,15,9.23,7.69,15,13,2,7.69,6.67
"VAN","2017-2018",21,109.97,7,14,89,6.36,80.91,12.73,0.07,47,63,42.73,13,13,7.09,7.09,16,3,13,8.73,1.64
"VGK","2017-2018",22,109.12,6,17,103,4.76,81.75,13.49,0.06,57,69,45.24,4,35,2.2,19.25,12,7,5,6.6,3.85
"WPG","2017-2018",21,106.2,4,19,101,3.23,81.45,15.32,0.04,61,63,49.19,29,17,16.38,9.6,19,3,16,10.73,1.69
"WSH","2017-2018",26,128.78,10,19,111,7.14,79.29,13.57,0.08,67,73,47.86,22,22,10.25,10.25,22,9,13,10.25,4.19
