"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2017-2018",24,127.12,128.98,79.14,49.83,61.97,60.88,37.36,3.69,0,3.69,100,1.74,0,6.67,3.96,2.71,62.74,3.15,1.87,5,5,0,5.1,100,105.1
"ARI","2017-2018",22,111.75,91.63,89.4,2.23,50.62,49.2,48,2.92,11.12,-8.2,20.81,1.57,5.97,3.8,4.19,-0.39,47.57,2.04,2.25,5,4,-1,6.43,83.14,89.57
"BOS","2017-2018",24,130.63,106.77,119.19,-12.42,47.25,49.04,54.74,6.19,9.41,-3.22,39.66,2.84,4.32,5.41,7.2,-1.79,42.89,2.48,3.31,6,3,-3,10.62,87.27,97.89
"BUF","2017-2018",21,118.15,103.16,99.12,4.04,51,52.39,50.34,3.05,7.08,-4.03,30.1,1.55,3.6,4.88,3.37,1.5,59.1,2.48,1.71,2,2,0,5.54,89.42,94.97
"CAR","2017-2018",21,128.95,144.49,92.51,51.98,60.97,67.23,43.05,5.6,0,5.6,100,2.61,0,9.09,6.58,2.5,57.99,4.23,3.06,5,2,-3,6.86,100,106.86
"CBJ","2017-2018",24,120.62,87.53,101.23,-13.71,46.37,43.54,50.36,3.95,2.44,1.51,61.81,1.97,1.22,4.07,6.1,-2.03,40.03,2.03,3.04,4,2,-2,7.58,96.17,103.76
"CGY","2017-2018",24,132.77,119.2,119.91,-0.71,49.85,53.87,54.19,3.46,9.69,-6.23,26.31,1.56,4.38,6.14,6.26,-0.12,49.52,2.78,2.83,5,2,-3,5.75,87.97,93.72
"CHI","2017-2018",23,155.97,130.25,122.6,7.65,51.51,50.11,47.16,3.61,2.46,1.15,59.47,1.39,0.95,5.49,8.61,-3.11,38.96,2.11,3.31,9,1,-8,5.34,97,102.33
"COL","2017-2018",26,161.07,152.04,81.65,70.38,65.06,56.64,30.42,9.94,7.18,2.76,58.05,3.7,2.68,6.69,4.94,1.75,57.51,2.49,1.84,2,4,2,10.91,81.09,92
"DAL","2017-2018",23,122.3,129.29,131.02,-1.73,49.67,63.43,64.28,5.11,7.64,-2.53,40.09,2.51,3.75,6.24,5.3,0.93,54.05,3.06,2.6,6,3,-3,7.73,91.16,98.89
"DET","2017-2018",25,127.48,115.93,57.84,58.1,66.72,54.56,27.22,5.04,4.99,0.05,50.26,2.37,2.35,4.92,4.81,0.11,50.57,2.32,2.26,4,10,6,8.6,85.48,94.08
"EDM","2017-2018",23,122.42,113.02,103.26,9.76,52.26,55.4,50.61,3.81,4.75,-0.94,44.48,1.87,2.33,5.69,4.55,1.14,55.58,2.79,2.23,2,1,-1,6.32,91.37,97.69
"FLA","2017-2018",21,116.92,120.45,88.26,32.19,57.71,61.81,45.29,3.93,0,3.93,100,2.01,0,6.09,4.56,1.53,57.16,3.13,2.34,1,4,3,5.64,100,105.64
"L.A","2017-2018",24,123.65,120.21,82.3,37.91,59.36,58.33,39.94,5.93,0,5.93,100,2.88,0,6.42,2.94,3.48,68.57,3.12,1.43,4,2,-2,8.81,100,108.81
"MIN","2017-2018",24,118,105.08,89,16.08,54.14,53.43,45.26,5.14,7.09,-1.95,42.01,2.61,3.61,5.59,2.64,2.94,67.88,2.84,1.34,5,3,-2,8.84,87.02,95.86
"MTL","2017-2018",25,121.05,109.39,94.91,14.47,53.54,54.22,47.04,4.39,6.83,-2.43,39.15,2.18,3.38,5.29,4.58,0.71,53.58,2.62,2.27,3,1,-2,7.19,86.51,93.7
"N.J","2017-2018",22,118.08,88.7,102.33,-13.63,46.43,45.07,52,7.29,2.23,5.06,76.59,3.7,1.13,5.11,4.95,0.16,50.8,2.6,2.52,5,4,-1,13.86,96.56,110.43
"NSH","2017-2018",22,125.93,116.43,50.9,65.52,69.58,55.47,24.25,8.61,2.41,6.2,78.11,4.1,1.15,5.32,2.7,2.62,66.35,2.53,1.28,3,3,0,12.78,93.45,106.23
"NYI","2017-2018",23,119,92.94,107.47,-14.53,46.38,46.86,54.19,5.62,11.56,-5.94,32.7,2.83,5.83,5.13,8.98,-3.85,36.35,2.59,4.53,1,4,3,10.08,85.19,95.27
"NYR","2017-2018",28,153.53,145.58,88.87,56.72,62.1,56.89,34.73,6.65,0,6.65,100,2.6,0,7.46,3.81,3.65,66.2,2.92,1.49,7,5,-2,8.56,100,108.56
"OTT","2017-2018",24,134.82,114.42,120.88,-6.47,48.63,50.92,53.8,4.82,7.58,-2.76,38.88,2.15,3.37,5.38,8.77,-3.39,38.01,2.39,3.9,5,1,-4,7.32,92.21,99.53
"PHI","2017-2018",25,128.37,133.81,100.7,33.11,57.06,62.54,47.07,4.95,2.12,2.83,70,2.31,0.99,6.32,6.05,0.28,51.12,2.96,2.83,9,2,-7,6.71,96.87,103.59
"PIT","2017-2018",23,142.1,132.17,141.89,-9.72,48.23,55.81,59.91,7.02,2.41,4.61,74.44,2.96,1.02,6.92,8.65,-1.73,44.44,2.92,3.65,9,6,-3,9.25,97.03,106.28
"S.J","2017-2018",22,131.32,126.9,148.78,-21.88,46.03,57.98,67.98,7.83,0,7.83,100,3.58,0,6.15,6.24,-0.08,49.66,2.81,2.85,8,3,-5,10.14,100,110.14
"STL","2017-2018",25,142.12,137.62,101.76,35.86,57.49,58.1,42.96,5.25,4.54,0.71,53.61,2.21,1.92,6.27,6.13,0.13,50.53,2.65,2.59,4,3,-1,6.76,93.68,100.44
"T.B","2017-2018",23,137.47,133.82,90.16,43.66,59.75,58.41,39.35,7.45,2.56,4.9,74.47,3.25,1.12,5.28,4.21,1.07,55.63,2.31,1.84,2,5,3,10.75,94.7,105.44
"TOR","2017-2018",22,115.82,117.93,148.32,-30.39,44.29,61.09,76.84,5.58,6.87,-1.29,44.82,2.89,3.56,9.11,9.13,-0.02,49.94,4.72,4.73,2,4,2,8.19,93.57,101.76
"VAN","2017-2018",21,118.85,100.32,110.06,-9.74,47.69,50.64,55.56,5.08,7.01,-1.93,42.03,2.57,3.54,4.78,8.5,-3.72,35.99,2.41,4.29,8,2,-6,8.56,91.07,99.63
"VGK","2017-2018",22,114.03,105.93,82.91,23.02,56.1,55.74,43.62,5.74,2.56,3.17,69.11,3.02,1.35,4.16,4.1,0.05,50.33,2.19,2.16,1,3,2,10.43,94.6,105.03
"WPG","2017-2018",21,112.52,107.77,76.44,31.33,58.51,57.47,40.76,9.13,2.64,6.5,77.61,4.87,1.41,4.46,3.67,0.79,54.86,2.38,1.96,6,3,-3,14.97,94.69,109.66
"WSH","2017-2018",26,134.55,114.99,104.32,10.67,52.43,51.28,46.52,6.23,6.72,-0.49,48.1,2.78,3,4.82,4.68,0.14,50.74,2.15,2.08,5,2,-3,8.81,89.54,98.35
