"Team","Season","RF","RA","Rates","QF","QA","Qual","Shooting","Goalie","PT","PD","Pens","OK","DK","K"
"ANA","2014-2015",9.21,0.43,9.64,-5.53,3.81,-1.72,0,0,-0.03,-5.12,-5.15,-1.44,4.22,2.78
"ARI","2014-2015",-1.89,-26.39,-28.28,-12.64,0,-12.64,-33.8,0,-4.79,-1.19,-5.98,-49.52,-31.18,-80.7
"BOS","2014-2015",0.58,-2.84,-2.25,-22.21,16.54,-5.67,0,0,1.24,-3.81,-2.57,-25.43,14.95,-10.49
"BUF","2014-2015",-43.63,-39.43,-83.06,2.4,10.71,13.1,-4.1,-4.5,0,-3.06,-3.06,-48.4,-33.22,-81.62
"CAR","2014-2015",-0.9,1.96,1.07,2.64,-2.93,-0.29,-41.19,0,8.94,-3.8,5.14,-43.24,7.97,-35.27
"CBJ","2014-2015",-11.58,-16.19,-27.77,6.76,0,6.76,3.66,0,-7.7,0,-7.7,-1.16,-23.89,-25.05
"CGY","2014-2015",-23.46,-5.19,-28.65,4.08,-0.6,3.48,13.37,0,10.17,-1.05,9.12,-7.06,4.38,-2.68
"CHI","2014-2015",8.4,-2.01,6.39,-2.47,-8.42,-10.9,0,22.86,7.68,0.41,8.09,6.33,20.11,26.44
"COL","2014-2015",-19.7,-18.09,-37.79,-8.12,0.2,-7.92,0.57,11.74,1.67,-4.86,-3.2,-32.12,-4.48,-36.6
"DAL","2014-2015",19.5,-9.54,9.97,7.2,-15.87,-8.67,0.1,-3.08,-0.59,5.25,4.65,32.05,-29.08,2.96
"DET","2014-2015",-14.84,12.61,-2.22,5.48,0,5.48,0,0,-7.49,7.49,0,-1.87,5.13,3.26
"EDM","2014-2015",-11.93,-7.73,-19.66,0.39,-14.66,-14.27,-1.74,-42.04,1.66,-1.99,-0.33,-15.26,-62.77,-78.03
"FLA","2014-2015",-7.45,-0.54,-7.99,-10.62,16.47,5.85,0,0,0,-0.54,-0.54,-18.61,15.93,-2.68
"L.A","2014-2015",8.66,10.8,19.46,-13.01,2.05,-10.95,0,0,3.58,0.54,4.13,-3.8,16.44,12.64
"MIN","2014-2015",0,10.54,10.54,-2.12,25.19,23.08,0,-7.12,3.65,-3.29,0.35,-5.41,32.25,26.84
"MTL","2014-2015",-11.24,1.07,-10.17,-4.47,0,-4.47,0,20.9,0,0.97,0.97,-14.74,21.97,7.23
"N.J","2014-2015",-36.57,8.51,-28.06,4.13,0,4.13,0,0,-3.65,-6.09,-9.74,-38.52,4.85,-33.67
"NSH","2014-2015",6.2,11.11,17.31,-18.62,8.36,-10.26,0,0,3.36,0.41,3.78,-12.01,22.83,10.83
"NYI","2014-2015",18.8,-1.13,17.68,34.91,-24.97,9.95,-25.04,0,6.84,0,6.84,28.67,-19.25,9.42
"NYR","2014-2015",7.39,-3.61,3.78,17.49,-23.7,-6.21,0,39.52,3.98,0,3.98,24.89,16.19,41.07
"OTT","2014-2015",4.8,-15.43,-10.63,3.04,8.29,11.33,0,0,-2.69,5.07,2.38,12.91,-9.84,3.08
"PHI","2014-2015",-6.41,-2.15,-8.56,-2.13,-2.88,-5.01,0,0,-3.7,0,-3.7,-8.54,-8.73,-17.27
"PIT","2014-2015",2.28,6.84,9.12,0,3.19,3.19,0,0,-4.04,0,-4.04,2.28,5.99,8.27
"S.J","2014-2015",13.71,-3.87,9.85,3.96,-3.25,0.7,-21.03,0,5.34,0,5.34,-3.36,-1.79,-5.14
"STL","2014-2015",4.69,21.63,26.32,-12.08,4.53,-7.55,13.78,0,-0.08,0,-0.08,6.39,26.08,32.47
"T.B","2014-2015",-12.85,10.45,-2.4,-12.09,21.78,9.69,62.11,-2.68,0.15,1.49,1.64,38.67,29.7,68.37
"TOR","2014-2015",-4.69,-31.4,-36.09,1.34,-12.04,-10.7,0,0,-2.59,6.35,3.76,3,-46.03,-43.03
"VAN","2014-2015",-0.78,2.6,1.82,0,-15.76,-15.76,0,0,0,-1.96,-1.96,-2.74,-13.16,-15.9
"WPG","2014-2015",0,11.65,11.65,13.47,-16.15,-2.68,0,3.35,-5.71,0.37,-5.34,13.84,-6.84,7
"WSH","2014-2015",4.13,2.8,6.93,-15.64,15.56,-0.09,0,0,0.6,-5.81,-5.21,-17.31,18.95,1.64
