"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2013-2014",41,225.18,16,49,192,6.23,74.71,19.07,0.08,117,140,45.53,16,28,4.26,7.46,53,22,31,14.12,5.86
"ARI","2013-2014",41,195.54,14,33,153,7,76.5,16.5,0.08,92,108,46,6,39,1.84,11.97,40,18,22,12.27,5.52
"BOS","2013-2014",41,229.85,17,47,206,6.3,76.3,17.41,0.08,138,132,51.11,8,24,2.09,6.26,66,28,38,17.23,7.31
"BUF","2013-2014",41,225.37,5,61,205,1.85,75.65,22.51,0.02,123,148,45.39,17,16,4.53,4.26,41,7,34,10.92,1.86
"CAR","2013-2014",41,181.1,11,38,142,5.76,74.35,19.9,0.07,97,94,50.79,10,40,3.31,13.25,33,15,18,10.93,4.97
"CBJ","2013-2014",41,247.41,16,43,219,5.76,78.78,15.47,0.07,131,147,47.12,7,41,1.7,9.94,63,19,44,15.28,4.61
"CGY","2013-2014",41,183.6,14,35,145,7.22,74.74,18.04,0.09,91,103,46.91,24,28,7.84,9.15,16,10,6,5.23,3.27
"CHI","2013-2014",41,175.64,13,43,143,6.53,71.86,21.61,0.08,96,103,48.24,41,32,14.01,10.93,19,19,0,6.49,6.49
"COL","2013-2014",41,196.2,7,37,178,3.15,80.18,16.67,0.04,102,120,45.95,2,38,0.61,11.62,44,14,30,13.46,4.28
"DAL","2013-2014",41,202.94,17,46,184,6.88,74.49,18.62,0.08,109,138,44.13,11,38,3.25,11.23,49,19,30,14.49,5.62
"DET","2013-2014",41,233.54,16,36,221,5.86,80.95,13.19,0.07,124,149,45.42,25,28,6.42,7.19,47,11,36,12.08,2.83
"EDM","2013-2014",41,215.42,9,33,186,3.95,81.58,14.47,0.05,106,122,46.49,55,34,15.32,9.47,46,9,37,12.81,2.51
"FLA","2013-2014",41,204.88,12,39,178,5.24,77.73,17.03,0.06,97,132,42.36,4,28,1.17,8.2,52,23,29,15.23,6.74
"L.A","2013-2014",41,232.99,16,46,189,6.37,75.3,18.33,0.08,123,128,49,60,18,15.45,4.64,97,34,63,24.98,8.76
"MIN","2013-2014",41,192.99,14,34,157,6.83,76.59,16.59,0.08,103,102,50.24,6,25,1.87,7.77,37,13,24,11.5,4.04
"MTL","2013-2014",41,233.55,14,49,199,5.34,75.95,18.7,0.07,135,127,51.53,38,31,9.76,7.96,42,16,26,10.79,4.11
"N.J","2013-2014",41,227.03,10,39,187,4.24,79.24,16.53,0.05,124,112,52.54,11,41,2.91,10.84,33,14,19,8.72,3.7
"NSH","2013-2014",41,191.7,8,38,158,3.92,77.45,18.63,0.05,114,90,55.88,21,27,6.57,8.45,32,9,23,10.02,2.82
"NYI","2013-2014",41,198.15,18,44,162,8.04,72.32,19.64,0.1,96,128,42.86,17,48,5.15,14.53,28,19,9,8.48,5.75
"NYR","2013-2014",41,168.48,4,30,130,2.44,79.27,18.29,0.03,71,93,43.29,13,29,4.63,10.33,38,13,25,13.53,4.63
"OTT","2013-2014",41,243,21,43,209,7.69,76.56,15.75,0.09,137,136,50.18,35,50,8.64,12.35,102,33,69,25.19,8.15
"PHI","2013-2014",41,257.25,14,57,200,5.17,73.8,21.03,0.07,132,139,48.71,39,30,9.1,7,57,31,26,13.29,7.23
"PIT","2013-2014",41,180.29,13,32,158,6.4,77.83,15.76,0.08,107,96,52.71,10,13,3.33,4.33,42,7,35,13.98,2.33
"S.J","2013-2014",41,201.09,11,34,173,5.05,79.36,15.6,0.06,116,102,53.21,20,34,5.97,10.14,29,19,10,8.65,5.67
"STL","2013-2014",41,240.33,17,53,184,6.69,72.44,20.87,0.08,130,124,51.18,15,33,3.74,8.24,25,14,11,6.24,3.5
"T.B","2013-2014",41,225.03,10,44,191,4.08,77.96,17.96,0.05,117,128,47.76,14,36,3.73,9.6,40,20,20,10.67,5.33
"TOR","2013-2014",41,182.57,7,38,160,3.41,78.05,18.54,0.04,98,107,47.8,48,28,15.77,9.2,61,19,42,20.05,6.24
"VAN","2013-2014",41,204.63,15,31,156,7.43,77.23,15.35,0.09,84,118,41.58,26,36,7.62,10.56,21,16,5,6.16,4.69
"WPG","2013-2014",41,236.43,17,66,211,5.78,71.77,22.45,0.07,152,142,51.7,52,40,13.2,10.15,62,21,41,15.73,5.33
"WSH","2013-2014",41,234.28,11,55,206,4.04,75.74,20.22,0.05,135,137,49.63,27,34,6.91,8.71,32,28,4,8.2,7.17
