"Team","Season","RF","RA","Rates","QF","QA","Qual","Shooting","Goalie","PT","PD","Pens","OK","DK","K"
"ANA","2010-2011",-13.89,-21.35,-35.24,0.25,0,0.25,24.16,0,0,0,0,10.52,-21.35,-10.83
"ARI","2010-2011",3.13,-24.3,-21.17,-7.62,4.34,-3.28,0,0,0,0,0,-4.49,-19.96,-24.45
"ATL","2010-2011",-1.64,-7.73,-9.37,0,-14.95,-14.95,0,0,0,0,0,-1.64,-22.68,-24.32
"BOS","2010-2011",10.59,-8.88,1.71,-4.1,4.63,0.53,1.2,50.95,3.61,-2.62,0.99,5.07,50.31,55.38
"BUF","2010-2011",4.42,-6.27,-1.85,6.39,6.7,13.09,0,0,-2.94,-2.49,-5.43,8.31,-2.51,5.81
"CAR","2010-2011",5.08,-33.67,-28.59,11.2,-6.06,5.14,0,4.43,0.33,3.25,3.58,19.53,-34.98,-15.44
"CBJ","2010-2011",-6.94,3.97,-2.97,0,-0.95,-0.95,0,-16.5,-2.72,1.81,-0.91,-5.13,-16.2,-21.32
"CGY","2010-2011",-3.23,7.39,4.16,-5.99,9.53,3.53,3.62,-8.5,2.6,3.77,6.37,-1.84,11.01,9.17
"CHI","2010-2011",-0.64,13.95,13.3,-4.53,-1.28,-5.81,18.25,0,5.76,-0.63,5.12,12.44,18.42,30.86
"COL","2010-2011",-16.22,-10.1,-26.32,11.94,0,11.94,0,-27.71,-3.62,-6.01,-9.62,-10.29,-41.43,-51.72
"DAL","2010-2011",-10.98,-1.54,-12.52,-2.49,8.76,6.27,0,0,1.57,0,1.57,-13.47,8.8,-4.67
"DET","2010-2011",26.62,-5.49,21.13,-0.7,0,-0.7,0,0,-2.06,2.13,0.07,28.04,-7.55,20.49
"EDM","2010-2011",-29.67,-10.69,-40.36,11.13,-13.39,-2.26,0,0,-5.97,-1.45,-7.42,-20,-30.04,-50.04
"FLA","2010-2011",-1.81,-11.45,-13.27,-3.58,15.52,11.94,-4.7,0,0,-4.41,-4.41,-14.51,4.07,-10.44
"L.A","2010-2011",-7.28,7.95,0.68,-11.23,15.97,4.74,0,0,0.78,1.54,2.32,-16.97,24.71,7.74
"MIN","2010-2011",-24.32,-6.01,-30.33,-7.79,16.71,8.92,5.5,0,-2.19,0,-2.19,-26.61,8.51,-18.1
"MTL","2010-2011",9.34,-0.17,9.18,-6.48,-3.76,-10.24,0,15.61,-3.65,0,-3.65,2.86,8.03,10.89
"N.J","2010-2011",-23.97,35.05,11.08,-12.75,4.85,-7.9,-12.53,-11.1,10,-6.36,3.64,-55.61,38.8,-16.81
"NSH","2010-2011",-22.16,10.53,-11.63,13.26,1.63,14.89,0,6.61,2.31,-3.57,-1.26,-12.47,21.08,8.61
"NYI","2010-2011",-8.76,-12.34,-21.1,26.55,-18.79,7.77,0,0,-3.42,0,-3.42,17.79,-34.55,-16.75
"NYR","2010-2011",-9.92,6.15,-3.77,40.92,-5.1,35.82,-12.82,18.01,4.75,-5.38,-0.63,12.79,23.82,36.61
"OTT","2010-2011",-10.62,-1.35,-11.97,2.97,-2.5,0.47,-5.11,0,0,-2.77,-2.77,-15.53,-3.84,-19.37
"PHI","2010-2011",11.51,-0.37,11.14,27.32,-8.35,18.97,0,0,-2.25,0.38,-1.87,39.21,-10.98,28.23
"PIT","2010-2011",5.99,15.41,21.4,-12.34,3.75,-8.6,0,0,-4.16,3.36,-0.8,-2.99,15,12.01
"S.J","2010-2011",32.48,10.71,43.19,27.35,-4.94,22.41,-39.39,0,1.91,0,1.91,20.43,7.68,28.11
"STL","2010-2011",0.4,13.38,13.78,0,-1.48,-1.48,0,-8.23,0,-3.33,-3.33,-2.93,3.66,0.73
"T.B","2010-2011",7.98,13.82,21.8,4.96,22.81,27.77,5.06,-22.56,-3.19,6.53,3.34,24.53,10.87,35.41
"TOR","2010-2011",-5.3,-7.03,-12.33,-5.53,4.11,-1.42,0,0,1.41,1.73,3.14,-9.1,-1.51,-10.61
"VAN","2010-2011",16.28,9.31,25.59,0,-10.34,-10.34,0,38.78,0,-0.05,-0.05,16.24,37.76,53.99
"WSH","2010-2011",3.16,18.43,21.59,5.28,0,5.28,0,0,0,-4.01,-4.01,4.43,18.43,22.86
