"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2017-2018",24,1116.35,334,403,358,30.5,32.69,36.8,0.48,580,515,52.97,261,106,14.03,5.7,500,461,39,26.87,24.78
"ARI","2017-2018",22,1061.93,287,339,384,28.42,38.02,33.56,0.43,510,500,50.5,116,77,6.55,4.35,519,420,99,29.32,23.73
"BOS","2017-2018",24,1136.05,444,419,315,37.69,26.74,35.57,0.58,634,544,53.82,168,222,8.87,11.72,550,589,-39,29.05,31.11
"BUF","2017-2018",21,1004.88,336,346,323,33.43,32.14,34.43,0.51,526,479,52.34,125,87,7.46,5.19,405,299,106,24.18,17.85
"CAR","2017-2018",21,1015.57,364,347,266,37.26,27.23,35.52,0.58,528,449,54.04,232,276,13.71,16.31,459,519,-60,27.12,30.66
"CBJ","2017-2018",24,1164.28,383,385,379,33.39,33.04,33.57,0.5,541,606,47.17,119,163,6.13,8.4,446,383,63,22.98,19.74
"CGY","2017-2018",24,1155.38,402,419,349,34.36,29.83,35.81,0.54,585,585,50,223,209,11.58,10.85,348,250,98,18.07,12.98
"CHI","2017-2018",23,1076.95,391,381,322,35.74,29.43,34.83,0.55,552,542,50.46,165,137,9.19,7.63,467,593,-126,26.02,33.04
"COL","2017-2018",26,1193.27,352,452,404,29.14,33.44,37.42,0.47,555,653,45.94,113,174,5.68,8.75,427,381,46,21.47,19.16
"DAL","2017-2018",23,1094.32,297,426,358,27.47,33.12,39.41,0.45,603,478,55.78,193,115,10.58,6.31,452,438,14,24.78,24.01
"DET","2017-2018",25,1218.05,368,425,396,30.95,33.31,35.74,0.48,585,604,49.2,283,120,13.94,5.91,465,498,-33,22.91,24.53
"EDM","2017-2018",23,1112.58,406,396,338,35.61,29.65,34.74,0.55,570,570,50,300,182,16.18,9.81,615,523,92,33.17,28.2
"FLA","2017-2018",21,996.18,276,387,350,27.25,34.55,38.2,0.44,526,487,51.92,260,167,15.66,10.06,383,311,72,23.07,18.73
"L.A","2017-2018",24,1133.72,364,395,350,32.82,31.56,35.62,0.51,548,561,49.41,242,70,12.81,3.7,557,532,25,29.48,28.16
"MIN","2017-2018",24,1150.13,341,389,387,30.53,34.65,34.83,0.47,556,561,49.78,81,104,4.23,5.43,321,327,-6,16.75,17.06
"MTL","2017-2018",25,1205.08,396,447,355,33.06,29.63,37.31,0.53,590,608,49.25,332,149,16.53,7.42,658,704,-46,32.76,35.05
"N.J","2017-2018",22,1016.68,299,388,319,29.72,31.71,38.57,0.48,470,536,46.72,143,180,8.44,10.62,437,489,-52,25.79,28.86
"NSH","2017-2018",22,1020.93,334,379,363,31.04,33.74,35.22,0.48,584,492,54.28,213,154,12.52,9.05,380,338,42,22.33,19.86
"NYI","2017-2018",23,1124.17,344,393,368,31.13,33.3,35.57,0.48,569,536,51.49,269,114,14.36,6.08,460,443,17,24.55,23.64
"NYR","2017-2018",28,1348.63,398,449,399,31.94,32.02,36.04,0.5,663,583,53.21,381,264,16.95,11.75,546,546,0,24.29,24.29
"OTT","2017-2018",24,1142.13,361,457,355,30.78,30.26,38.96,0.5,643,530,54.82,227,160,11.93,8.41,590,489,101,30.99,25.69
"PHI","2017-2018",25,1195.78,370,402,356,32.8,31.56,35.64,0.51,625,503,55.41,199,113,9.99,5.67,521,507,14,26.14,25.44
"PIT","2017-2018",23,1083.17,375,402,330,33.88,29.81,36.31,0.53,576,531,52.03,132,131,7.31,7.26,587,534,53,32.52,29.58
"S.J","2017-2018",22,1035.08,339,374,275,34.31,27.83,37.85,0.55,515,473,52.13,295,248,17.1,14.38,382,557,-175,22.14,32.29
"STL","2017-2018",25,1191.72,367,412,365,32.08,31.91,36.01,0.5,575,569,50.26,89,193,4.48,9.72,525,491,34,26.43,24.72
"T.B","2017-2018",23,1089.63,379,440,286,34.3,25.88,39.82,0.57,542,563,49.05,141,158,7.76,8.7,422,390,32,23.24,21.48
"TOR","2017-2018",22,1062.12,315,396,343,29.89,32.54,37.57,0.48,580,474,55.03,283,194,15.99,10.96,416,512,-96,23.5,28.92
"VAN","2017-2018",21,990.63,335,358,326,32.88,31.99,35.13,0.51,503,516,49.36,139,87,8.42,5.27,371,325,46,22.47,19.68
"VGK","2017-2018",22,1053.43,370,359,327,35.04,30.97,34,0.53,559,497,52.94,197,308,11.22,17.54,380,397,-17,21.64,22.61
"WPG","2017-2018",21,1008.73,320,358,296,32.85,30.39,36.76,0.52,518,456,53.18,215,131,12.79,7.79,382,305,77,22.72,18.14
"WSH","2017-2018",26,1243.97,368,445,355,31.51,30.39,38.1,0.51,636,532,54.45,298,165,14.37,7.96,530,454,76,25.56,21.9
