"Team","Season","RF","RA","Rates","QF","QA","Qual","Shooting","Goalie","PT","PD","Pens","OK","DK","K"
"ANA","2011-2012",-4.69,-2.52,-7.2,-0.41,-12.35,-12.76,0,0,0.38,0,0.38,-5.09,-14.49,-19.58
"ARI","2011-2012",0.99,-22.63,-21.64,-5.59,5.38,-0.21,0,30.99,0,-2.6,-2.6,-7.21,13.75,6.54
"BOS","2011-2012",12.97,4.08,17.05,-9.2,16.29,7.09,17.32,-0.55,2.58,-0.1,2.49,20.99,22.4,43.39
"BUF","2011-2012",-6.65,-7.51,-14.16,-3.14,0.33,-2.81,0,0,0,-0.62,-0.62,-10.41,-7.18,-17.59
"CAR","2011-2012",8.88,-26.95,-18.06,14.97,-16.64,-1.67,-23.93,7.96,4.66,2.74,7.39,2.66,-30.97,-28.31
"CBJ","2011-2012",-6.47,-1.28,-7.75,-0.73,8.65,7.92,0,-63.76,0,3.87,3.87,-3.33,-56.39,-59.71
"CGY","2011-2012",-18.4,-4.57,-22.97,11.86,0,11.86,0,0,0,-0.46,-0.46,-7,-4.57,-11.57
"CHI","2011-2012",4.56,7.54,12.1,0.49,-8.33,-7.84,0,-30,7.68,0.45,8.14,5.5,-23.1,-17.6
"COL","2011-2012",4.96,-0.93,4.03,-9.59,0,-9.59,-2.01,0,2.04,-5.83,-3.78,-12.46,1.11,-11.35
"DAL","2011-2012",0,-5.32,-5.32,-15.83,13.18,-2.66,0,0,-3.59,-4.49,-8.08,-20.32,4.28,-16.05
"DET","2011-2012",11.27,17.68,28.95,0,-13.47,-13.47,0,0,-1.64,4.43,2.79,15.7,2.57,18.28
"EDM","2011-2012",-15.47,-3.27,-18.74,17.16,-30.13,-12.97,0,0.74,-3.59,-1.1,-4.69,0.6,-36.25,-35.65
"FLA","2011-2012",-5.5,-4.71,-10.21,-25.26,6.44,-18.82,0,0,2.81,1.45,4.26,-29.3,4.53,-24.77
"L.A","2011-2012",22.45,9.04,31.49,-10.18,11.6,1.42,-38.11,31.54,-4.27,5.94,1.67,-19.89,47.91,28.01
"MIN","2011-2012",-21.4,-9.14,-30.54,0.87,21.02,21.89,-19.2,0,0,-2.46,-2.46,-42.19,11.88,-30.31
"MTL","2011-2012",-8.86,3.77,-5.09,-5.43,1.24,-4.19,0,0,-8.2,3.2,-5.01,-11.1,-3.19,-14.29
"N.J","2011-2012",-29.52,41.84,12.32,12.33,3.83,16.16,0,-18.13,0.94,0,0.94,-17.19,28.49,11.3
"NSH","2011-2012",-17.39,1.26,-16.12,9.72,7.9,17.62,10.45,0,5.16,0,5.16,2.79,14.32,17.11
"NYI","2011-2012",-7.62,-5.11,-12.73,31.11,-23.27,7.84,-38.11,0,3.88,-2.84,1.04,-17.46,-24.51,-41.97
"NYR","2011-2012",-10.57,10.7,0.12,46.47,-17.13,29.35,-29.81,45.49,2.05,0.83,2.88,6.92,41.11,48.03
"OTT","2011-2012",19.07,-13.54,5.52,-5.72,-8.71,-14.44,0,0,-6.73,0,-6.73,13.34,-28.99,-15.64
"PHI","2011-2012",13.1,0.84,13.94,37.61,-27.07,10.54,0,0,-7.39,6.49,-0.9,57.19,-33.61,23.58
"PIT","2011-2012",30.84,15.4,46.24,0,-5.26,-5.26,22.35,-32.54,-1.03,1.43,0.4,54.61,-23.43,31.18
"S.J","2011-2012",25.91,5.23,31.14,6.35,4.16,10.5,-39.07,0,4.71,-2.39,2.32,-9.2,14.09,4.89
"STL","2011-2012",12.08,23.87,35.94,0,1.57,1.57,-23.35,24.36,-0.5,-1.06,-1.57,-12.33,49.29,36.96
"T.B","2011-2012",-15.52,-1.62,-17.14,-3.94,0,-3.94,47.51,-56.75,0,0,0,28.04,-58.37,-30.33
"TOR","2011-2012",-2.09,-11.92,-14.01,3.48,-6.75,-3.28,7.1,-17.4,1.72,-0.9,0.82,7.59,-34.36,-26.77
"VAN","2011-2012",15.94,6.99,22.94,-7.07,-23.16,-30.23,2.61,26.72,-1.85,2.01,0.16,13.49,8.71,22.2
"WPG","2011-2012",10.81,-6.69,4.12,6.08,-9.73,-3.65,-0.63,0,-1.81,-3.66,-5.46,12.6,-18.22,-5.62
"WSH","2011-2012",-10.73,3.47,-7.26,-6.44,12.39,5.94,9.44,0,0,-3.64,-3.64,-11.37,15.86,4.49
