Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
1,2010,03,29,03/29/2010,02:05 PM,Twins,AL,Orioles,AL
2,2010,03,29,03/29/2010,02:30 PM,Astros,AL,Rangers,AL
3,2010,03,29,03/29/2010,02:37 PM,Yankees,AL,Blue Jays,AL
4,2010,03,29,03/29/2010,03:05 PM,Angels,AL,Athletics,AL
5,2010,03,29,03/29/2010,03:10 PM,Brewers,NL,Padres,NL
6,2010,03,29,03/29/2010,03:10 PM,Nationals,NL,Reds,NL
7,2010,03,29,03/29/2010,06:00 PM,Giants,NL,Dodgers,NL
8,2010,03,29,03/29/2010,09:00 PM,Indians,AL,Mariners,AL
9,2010,03,29,03/29/2010,09:10 PM,Rockies,NL,Diamondbacks,NL
10,2010,03,29,03/29/2010,12:10 PM,Cardinals,NL,Mets,NL
11,2010,03,29,03/29/2010,12:10 PM,Pirates,NL,Tigers,AL
12,2010,03,29,03/29/2010,TBA,Phillies,NL,Braves,NL
13,2010,03,29,03/29/2010,TBA,Cubs,NL,Marlins,NL
14,2010,03,29,03/29/2010,TBA,Red Sox,AL,Rays,AL
15,2010,03,29,03/29/2010,TBA,White Sox,AL,Royals,AL
16,2010,03,30,03/30/2010,06:07 PM,Yankees,AL,Blue Jays,AL
17,2010,03,30,03/30/2010,08:40 PM,Rockies,NL,Diamondbacks,NL
18,2010,03,30,03/30/2010,09:05 PM,Angels,AL,Athletics,AL
19,2010,03,30,03/30/2010,09:10 PM,Brewers,NL,Padres,NL
20,2010,03,30,03/30/2010,TBA,Phillies,NL,Braves,NL
21,2010,03,30,03/30/2010,TBA,Giants,NL,Dodgers,NL
22,2010,03,30,03/30/2010,TBA,Cubs,NL,Marlins,NL
23,2010,03,30,03/30/2010,TBA,Astros,AL,Rangers,AL
24,2010,03,30,03/30/2010,TBA,Red Sox,AL,Rays,AL
25,2010,03,31,03/31/2010,01:10 PM,Nationals,NL,Reds,NL
26,2010,03,31,03/31/2010,03:05 PM,Angels,AL,Athletics,AL
27,2010,03,31,03/31/2010,03:07 PM,Yankees,AL,Blue Jays,AL
28,2010,03,31,03/31/2010,03:10 PM,Indians,AL,Mariners,AL
29,2010,03,31,03/31/2010,06:05 PM,Twins,AL,Orioles,AL
30,2010,03,31,03/31/2010,07:10 PM,Rockies,NL,Diamondbacks,NL
31,2010,03,31,03/31/2010,07:40 PM,Brewers,NL,Padres,NL
32,2010,03,31,03/31/2010,12:10 PM,Cardinals,NL,Mets,NL
33,2010,03,31,03/31/2010,12:10 PM,Pirates,NL,Tigers,AL
34,2010,03,31,03/31/2010,TBA,Phillies,NL,Braves,NL
35,2010,03,31,03/31/2010,TBA,Giants,NL,Dodgers,NL
36,2010,03,31,03/31/2010,TBA,Cubs,NL,Marlins,NL
37,2010,03,31,03/31/2010,TBA,Astros,AL,Rangers,AL
38,2010,03,31,03/31/2010,TBA,Red Sox,AL,Rays,AL
39,2010,03,31,03/31/2010,TBA,White Sox,AL,Royals,AL
40,2010,04,01,04/01/2010,03:05 PM,Angels,AL,Athletics,AL
41,2010,04,01,04/01/2010,03:10 PM,Indians,AL,Mariners,AL
42,2010,04,01,04/01/2010,03:10 PM,Nationals,NL,Reds,NL
43,2010,04,01,04/01/2010,07:30 PM,Giants,NL,Dodgers,NL
44,2010,04,01,04/01/2010,12:05 PM,Twins,AL,Orioles,AL
45,2010,04,01,04/01/2010,12:07 PM,Yankees,AL,Blue Jays,AL
46,2010,04,01,04/01/2010,12:10 PM,Cardinals,NL,Mets,NL
47,2010,04,01,04/01/2010,12:10 PM,Pirates,NL,Tigers,AL
48,2010,04,01,04/01/2010,TBA,Cubs,NL,Marlins,NL
49,2010,04,01,04/01/2010,TBA,Astros,AL,Rangers,AL
50,2010,04,01,04/01/2010,TBA,Red Sox,AL,Rays,AL
51,2010,04,01,04/01/2010,TBA,White Sox,AL,Royals,AL
52,2010,04,02,04/02/2010,01:10 PM,Cardinals,NL,Brewers,NL
53,2010,04,02,04/02/2010,03:10 PM,Cubs,NL,Reds,NL
54,2010,04,02,04/02/2010,06:07 PM,White Sox,AL,Blue Jays,AL
55,2010,04,02,04/02/2010,06:10 PM,Phillies,NL,Mets,NL
56,2010,04,02,04/02/2010,07:10 PM,Orioles,AL,Astros,AL
57,2010,04,02,04/02/2010,08:40 PM,Dodgers,NL,Diamondbacks,NL
58,2010,04,02,04/02/2010,09:00 PM,Indians,AL,Angels,AL
59,2010,04,02,04/02/2010,09:05 PM,Rangers,AL,Athletics,AL
60,2010,04,02,04/02/2010,09:10 PM,Rockies,NL,Padres,NL
