Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
1,2012,03,29,03/29/2012,02:05 PM,Twins,AL,Orioles,AL
2,2012,03,29,03/29/2012,02:30 PM,Astros,AL,Rangers,AL
3,2012,03,29,03/29/2012,02:37 PM,Yankees,AL,Blue Jays,AL
4,2012,03,29,03/29/2012,03:05 PM,Angels,AL,Athletics,AL
5,2012,03,29,03/29/2012,03:10 PM,Brewers,NL,Padres,NL
6,2012,03,29,03/29/2012,03:10 PM,Nationals,NL,Reds,NL
7,2012,03,29,03/29/2012,06:00 PM,Giants,NL,Dodgers,NL
8,2012,03,29,03/29/2012,09:00 PM,Indians,AL,Mariners,AL
9,2012,03,29,03/29/2012,09:10 PM,Rockies,NL,Diamondbacks,NL
10,2012,03,29,03/29/2012,12:10 PM,Cardinals,NL,Mets,NL
11,2012,03,29,03/29/2012,12:10 PM,Pirates,NL,Tigers,AL
12,2012,03,29,03/29/2012,TBA,Phillies,NL,Braves,NL
13,2012,03,29,03/29/2012,TBA,Cubs,NL,Marlins,NL
14,2012,03,29,03/29/2012,TBA,Red Sox,AL,Rays,AL
15,2012,03,29,03/29/2012,TBA,White Sox,AL,Royals,AL
16,2012,03,30,03/30/2012,06:07 PM,Yankees,AL,Blue Jays,AL
17,2012,03,30,03/30/2012,08:40 PM,Rockies,NL,Diamondbacks,NL
18,2012,03,30,03/30/2012,09:05 PM,Angels,AL,Athletics,AL
19,2012,03,30,03/30/2012,09:10 PM,Brewers,NL,Padres,NL
20,2012,03,30,03/30/2012,TBA,Phillies,NL,Braves,NL
21,2012,03,30,03/30/2012,TBA,Giants,NL,Dodgers,NL
22,2012,03,30,03/30/2012,TBA,Cubs,NL,Marlins,NL
23,2012,03,30,03/30/2012,TBA,Astros,AL,Rangers,AL
24,2012,03,30,03/30/2012,TBA,Red Sox,AL,Rays,AL
25,2012,03,31,03/31/2012,01:10 PM,Nationals,NL,Reds,NL
26,2012,03,31,03/31/2012,03:05 PM,Angels,AL,Athletics,AL
27,2012,03,31,03/31/2012,03:07 PM,Yankees,AL,Blue Jays,AL
28,2012,03,31,03/31/2012,03:10 PM,Indians,AL,Mariners,AL
29,2012,03,31,03/31/2012,06:05 PM,Twins,AL,Orioles,AL
30,2012,03,31,03/31/2012,07:10 PM,Rockies,NL,Diamondbacks,NL
31,2012,03,31,03/31/2012,07:40 PM,Brewers,NL,Padres,NL
32,2012,03,31,03/31/2012,12:10 PM,Cardinals,NL,Mets,NL
33,2012,03,31,03/31/2012,12:10 PM,Pirates,NL,Tigers,AL
34,2012,03,31,03/31/2012,TBA,Phillies,NL,Braves,NL
35,2012,03,31,03/31/2012,TBA,Giants,NL,Dodgers,NL
36,2012,03,31,03/31/2012,TBA,Cubs,NL,Marlins,NL
37,2012,03,31,03/31/2012,TBA,Astros,AL,Rangers,AL
38,2012,03,31,03/31/2012,TBA,Red Sox,AL,Rays,AL
39,2012,03,31,03/31/2012,TBA,White Sox,AL,Royals,AL
40,2012,04,01,04/01/2012,03:05 PM,Angels,AL,Athletics,AL
41,2012,04,01,04/01/2012,03:10 PM,Indians,AL,Mariners,AL
42,2012,04,01,04/01/2012,03:10 PM,Nationals,NL,Reds,NL
43,2012,04,01,04/01/2012,07:30 PM,Giants,NL,Dodgers,NL
44,2012,04,01,04/01/2012,12:05 PM,Twins,AL,Orioles,AL
45,2012,04,01,04/01/2012,12:07 PM,Yankees,AL,Blue Jays,AL
46,2012,04,01,04/01/2012,12:10 PM,Cardinals,NL,Mets,NL
47,2012,04,01,04/01/2012,12:10 PM,Pirates,NL,Tigers,AL
48,2012,04,01,04/01/2012,TBA,Cubs,NL,Marlins,NL
49,2012,04,01,04/01/2012,TBA,Astros,AL,Rangers,AL
50,2012,04,01,04/01/2012,TBA,Red Sox,AL,Rays,AL
51,2012,04,01,04/01/2012,TBA,White Sox,AL,Royals,AL
52,2012,04,02,04/02/2012,01:10 PM,Cardinals,NL,Brewers,NL
53,2012,04,02,04/02/2012,03:10 PM,Cubs,NL,Reds,NL
54,2012,04,02,04/02/2012,06:07 PM,White Sox,AL,Blue Jays,AL
55,2012,04,02,04/02/2012,06:10 PM,Phillies,NL,Mets,NL
56,2012,04,02,04/02/2012,07:10 PM,Orioles,AL,Astros,AL
57,2012,04,02,04/02/2012,08:40 PM,Dodgers,NL,Diamondbacks,NL
58,2012,04,02,04/02/2012,09:00 PM,Indians,AL,Angels,AL
59,2012,04,02,04/02/2012,09:05 PM,Rangers,AL,Athletics,AL
60,2012,04,02,04/02/2012,09:10 PM,Rockies,NL,Padres,NL
61,2012,04,02,04/02/2012,12:00 PM,Rays,AL,Yankees,AL
62,2012,04,02,04/02/2012,12:05 PM,Twins,AL,Pirates,NL
63,2012,04,02,04/02/2012,12:10 PM,Royals,AL,Tigers,AL
64,2012,04,02,04/02/2012,TBA,Nationals,NL,Braves,NL
65,2012,04,02,04/02/2012,TBA,Red Sox,AL,Marlins,NL
66,2012,04,03,04/03/2012,05:40 PM,Cubs,NL,Reds,NL
67,2012,04,03,04/03/2012,06:07 PM,White Sox,AL,Blue Jays,AL
68,2012,04,03,04/03/2012,06:10 PM,Phillies,NL,Mets,NL
69,2012,04,03,04/03/2012,06:40 PM,Cardinals,NL,Brewers,NL
70,2012,04,03,04/03/2012,07:10 PM,Orioles,AL,Astros,AL
71,2012,04,03,04/03/2012,08:40 PM,Dodgers,NL,Diamondbacks,NL
72,2012,04,03,04/03/2012,09:00 PM,Indians,AL,Angels,AL
73,2012,04,03,04/03/2012,09:05 PM,Rangers,AL,Athletics,AL
74,2012,04,03,04/03/2012,09:10 PM,Rockies,NL,Padres,NL
75,2012,04,03,04/03/2012,12:10 PM,Royals,AL,Tigers,AL
76,2012,04,03,04/03/2012,TBA,Nationals,NL,Braves,NL
77,2012,04,03,04/03/2012,TBA,Mariners,AL,Giants,NL
78,2012,04,03,04/03/2012,TBA,Red Sox,AL,Marlins,NL
79,2012,04,04,04/04/2012,01:10 PM,Orioles,AL,Astros,AL
80,2012,04,04,04/04/2012,02:40 PM,Dodgers,NL,Diamondbacks,NL
81,2012,04,04,04/04/2012,05:05 PM,Twins,AL,Pirates,NL
82,2012,04,04,04/04/2012,06:07 PM,White Sox,AL,Blue Jays,AL
83,2012,04,04,04/04/2012,06:40 PM,Cardinals,NL,Brewers,NL
84,2012,04,04,04/04/2012,09:05 PM,Rangers,AL,Athletics,AL
85,2012,04,04,04/04/2012,09:10 PM,Rockies,NL,Padres,NL
86,2012,04,04,04/04/2012,12:05 PM,Rays,AL,Yankees,AL
87,2012,04,04,04/04/2012,12:10 PM,Phillies,NL,Mets,NL
88,2012,04,04,04/04/2012,12:10 PM,Royals,AL,Tigers,AL
89,2012,04,04,04/04/2012,TBA,Indians,AL,Angels,AL
90,2012,04,04,04/04/2012,TBA,Nationals,NL,Braves,NL
91,2012,04,04,04/04/2012,TBA,Mariners,AL,Giants,NL
92,2012,04,05,04/05/2012,02:05 PM,Marlins,NL,Phillies,NL
93,2012,04,05,04/05/2012,02:33 PM,Mariners,AL,Twins,AL
