Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
1,2014,03,29,03/29/2014,02:05 PM,Twins,AL,Orioles,AL
2,2014,03,29,03/29/2014,02:30 PM,Astros,AL,Rangers,AL
3,2014,03,29,03/29/2014,02:37 PM,Yankees,AL,Blue Jays,AL
4,2014,03,29,03/29/2014,03:05 PM,Angels,AL,Athletics,AL
5,2014,03,29,03/29/2014,03:10 PM,Brewers,NL,Padres,NL
6,2014,03,29,03/29/2014,03:10 PM,Nationals,NL,Reds,NL
7,2014,03,29,03/29/2014,06:00 PM,Giants,NL,Dodgers,NL
8,2014,03,29,03/29/2014,09:00 PM,Indians,AL,Mariners,AL
9,2014,03,29,03/29/2014,09:10 PM,Rockies,NL,Diamondbacks,NL
10,2014,03,29,03/29/2014,12:10 PM,Cardinals,NL,Mets,NL
11,2014,03,29,03/29/2014,12:10 PM,Pirates,NL,Tigers,AL
12,2014,03,29,03/29/2014,TBA,Phillies,NL,Braves,NL
13,2014,03,29,03/29/2014,TBA,Cubs,NL,Marlins,NL
14,2014,03,29,03/29/2014,TBA,Red Sox,AL,Rays,AL
15,2014,03,29,03/29/2014,TBA,White Sox,AL,Royals,AL
16,2014,03,30,03/30/2014,06:07 PM,Yankees,AL,Blue Jays,AL
17,2014,03,30,03/30/2014,08:40 PM,Rockies,NL,Diamondbacks,NL
18,2014,03,30,03/30/2014,09:05 PM,Angels,AL,Athletics,AL
19,2014,03,30,03/30/2014,09:10 PM,Brewers,NL,Padres,NL
20,2014,03,30,03/30/2014,TBA,Phillies,NL,Braves,NL
21,2014,03,30,03/30/2014,TBA,Giants,NL,Dodgers,NL
22,2014,03,30,03/30/2014,TBA,Cubs,NL,Marlins,NL
23,2014,03,30,03/30/2014,TBA,Astros,AL,Rangers,AL
24,2014,03,30,03/30/2014,TBA,Red Sox,AL,Rays,AL
25,2014,03,31,03/31/2014,01:10 PM,Nationals,NL,Reds,NL
26,2014,03,31,03/31/2014,03:05 PM,Angels,AL,Athletics,AL
27,2014,03,31,03/31/2014,03:07 PM,Yankees,AL,Blue Jays,AL
28,2014,03,31,03/31/2014,03:10 PM,Indians,AL,Mariners,AL
29,2014,03,31,03/31/2014,06:05 PM,Twins,AL,Orioles,AL
30,2014,03,31,03/31/2014,07:10 PM,Rockies,NL,Diamondbacks,NL
31,2014,03,31,03/31/2014,07:40 PM,Brewers,NL,Padres,NL
32,2014,03,31,03/31/2014,12:10 PM,Cardinals,NL,Mets,NL
33,2014,03,31,03/31/2014,12:10 PM,Pirates,NL,Tigers,AL
34,2014,03,31,03/31/2014,TBA,Phillies,NL,Braves,NL
35,2014,03,31,03/31/2014,TBA,Giants,NL,Dodgers,NL
36,2014,03,31,03/31/2014,TBA,Cubs,NL,Marlins,NL
37,2014,03,31,03/31/2014,TBA,Astros,AL,Rangers,AL
38,2014,03,31,03/31/2014,TBA,Red Sox,AL,Rays,AL
