Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
83,2011,04,04,04/04/2011,06:40 PM,Cardinals,NL,Brewers,NL
84,2011,04,04,04/04/2011,09:05 PM,Rangers,AL,Athletics,AL
85,2011,04,04,04/04/2011,09:10 PM,Rockies,NL,Padres,NL
86,2011,04,04,04/04/2011,12:05 PM,Rays,AL,Yankees,AL
87,2011,04,04,04/04/2011,12:10 PM,Phillies,NL,Mets,NL
88,2011,04,04,04/04/2011,12:10 PM,Royals,AL,Tigers,AL
89,2011,04,04,04/04/2011,TBA,Indians,AL,Angels,AL
90,2011,04,04,04/04/2011,TBA,Nationals,NL,Braves,NL
91,2011,04,04,04/04/2011,TBA,Mariners,AL,Giants,NL
92,2011,04,05,04/05/2011,02:05 PM,Marlins,NL,Phillies,NL
93,2011,04,05,04/05/2011,02:33 PM,Mariners,AL,Twins,AL
94,2011,04,05,04/05/2011,02:35 PM,Rangers,AL,Athletics,AL
95,2011,04,05,04/05/2011,02:40 PM,Rockies,NL,Padres,NL
96,2011,04,05,04/05/2011,05:35 PM,Orioles,AL,Yankees,AL
97,2011,04,05,04/05/2011,06:05 PM,Reds,NL,Pirates,NL
98,2011,04,05,04/05/2011,06:15 PM,Diamondbacks,NL,Cardinals,NL
99,2011,04,05,04/05/2011,07:10 PM,Cubs,NL,Brewers,NL
100,2011,04,05,04/05/2011,12:05 PM,Mets,NL,Nationals,NL
101,2011,04,05,04/05/2011,TBA,Rays,AL,Red Sox,AL
102,2011,04,05,04/05/2011,TBA,Tigers,AL,White Sox,AL
103,2011,04,06,04/06/2011,03:10 PM,Braves,NL,Rockies,NL
104,2011,04,06,04/06/2011,06:05 PM,Reds,NL,Pirates,NL
105,2011,04,06,04/06/2011,06:05 PM,Orioles,AL,Yankees,AL
106,2011,04,06,04/06/2011,07:10 PM,Padres,NL,Astros,AL
107,2011,04,06,04/06/2011,07:10 PM,Cubs,NL,Brewers,NL
108,2011,04,06,04/06/2011,TBA,Athletics,AL,Angels,AL
109,2011,04,06,04/06/2011,TBA,Dodgers,NL,Giants,NL
110,2011,04,06,04/06/2011,TBA,Royals,AL,Indians,AL
111,2011,04,06,04/06/2011,TBA,Blue Jays,AL,Rangers,AL
112,2011,04,07,04/07/2011,01:10 PM,Mariners,AL,Twins,AL
113,2011,04,07,04/07/2011,01:15 PM,Diamondbacks,NL,Cardinals,NL
114,2011,04,07,04/07/2011,05:05 PM,Marlins,NL,Phillies,NL
115,2011,04,07,04/07/2011,06:05 PM,Reds,NL,Pirates,NL
116,2011,04,07,04/07/2011,06:10 PM,Padres,NL,Astros,AL
117,2011,04,07,04/07/2011,06:10 PM,Cubs,NL,Brewers,NL
118,2011,04,07,04/07/2011,07:10 PM,Braves,NL,Rockies,NL
119,2011,04,07,04/07/2011,12:05 PM,Mets,NL,Nationals,NL
120,2011,04,07,04/07/2011,12:05 PM,Orioles,AL,Yankees,AL
121,2011,04,07,04/07/2011,TBA,Athletics,AL,Angels,AL
