"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Luke Gregerson","Astros","41.7 %","66.0 %","51.6 %","53.3 %","85.8 %","70.3 %","41.0 %","67.0 %","15.2 %","4090"
"Jared Hughes","Pirates","40.8 %","70.1 %","52.1 %","73.8 %","87.3 %","80.8 %","38.7 %","60.6 %","9.9 %","9325"
"Carlos Carrasco","Indians","39.6 %","68.6 %","51.7 %","57.9 %","85.0 %","72.9 %","41.7 %","67.3 %","14.0 %","6632"
"Mark Melancon","Pirates","39.3 %","66.4 %","50.4 %","64.0 %","87.1 %","76.5 %","41.0 %","62.5 %","11.8 %","4264"
"Zach Britton","Orioles","38.7 %","65.7 %","50.4 %","43.2 %","86.0 %","67.4 %","43.4 %","64.0 %","16.4 %","3240"
"Pedro Villarreal","Reds","38.6 %","71.0 %","52.4 %","76.7 %","89.0 %","83.9 %","42.8 %","65.0 %","8.4 %","9904"
"Jonathan Papelbon","- - -","38.5 %","75.2 %","56.2 %","68.0 %","83.0 %","77.7 %","48.3 %","66.2 %","12.4 %","5975"
"Joaquin Benoit","Padres","37.9 %","75.5 %","51.6 %","54.8 %","79.5 %","67.9 %","36.3 %","53.9 %","16.5 %","1437"
"Liam Hendriks","Blue Jays","37.8 %","66.8 %","52.1 %","66.0 %","85.3 %","78.2 %","49.4 %","69.4 %","11.3 %","3548"
"Jeurys Familia","Mets","37.7 %","67.3 %","50.5 %","46.2 %","84.8 %","68.4 %","43.3 %","61.4 %","15.9 %","5114"
"Sergio Romo","Giants","37.7 %","61.8 %","47.5 %","52.3 %","75.5 %","64.6 %","40.8 %","70.4 %","16.7 %","9817"
"Tony Watson","Pirates","37.2 %","74.6 %","52.5 %","70.5 %","83.2 %","77.9 %","41.0 %","65.5 %","11.6 %","3132"
"Luis Avilan","- - -","37.2 %","73.6 %","51.8 %","60.2 %","83.1 %","73.3 %","40.3 %","63.6 %","13.8 %","2882"
"Patrick Corbin","Diamondbacks","37.1 %","67.2 %","50.4 %","63.9 %","89.0 %","78.6 %","44.2 %","61.3 %","10.8 %","9323"
"Hisashi Iwakuma","Mariners","37.1 %","65.5 %","50.4 %","61.9 %","90.0 %","79.0 %","46.9 %","68.2 %","10.6 %","13048"
"Masahiro Tanaka","Yankees","36.7 %","65.0 %","49.0 %","62.6 %","87.1 %","76.7 %","43.4 %","62.6 %","11.4 %","15764"
"Kelvin Herrera","Royals","36.6 %","74.0 %","53.1 %","67.6 %","80.6 %","75.6 %","44.2 %","61.2 %","13.0 %","6033"
"Seth Maness","Cardinals","36.1 %","68.2 %","49.8 %","72.1 %","88.5 %","81.7 %","42.7 %","66.7 %","9.0 %","12235"
"Max Scherzer","Nationals","36.0 %","73.5 %","54.8 %","58.0 %","78.9 %","72.1 %","50.0 %","71.3 %","15.3 %","3137"
"Jacob deGrom","Mets","35.9 %","70.9 %","51.7 %","61.0 %","84.3 %","75.4 %","45.2 %","67.8 %","12.7 %","10954"
"Joe Blanton","- - -","35.9 %","68.8 %","50.0 %","56.9 %","85.1 %","73.5 %","43.0 %","62.1 %","13.0 %","4849"
"Corey Kluber","Indians","35.8 %","68.5 %","50.8 %","56.2 %","85.9 %","74.6 %","45.9 %","63.5 %","12.9 %","2429"
"Francisco Rodriguez","Brewers","35.7 %","62.5 %","47.9 %","48.5 %","86.0 %","70.7 %","45.5 %","63.4 %","14.0 %","1642"
"Fernando Salas","Angels","35.6 %","72.9 %","52.7 %","64.0 %","81.7 %","75.2 %","45.7 %","65.8 %","12.9 %","4971"
"Evan Scribner","Athletics","35.6 %","65.2 %","50.2 %","68.7 %","77.4 %","74.2 %","49.3 %","70.6 %","12.9 %","7525"
"Glen Perkins","Twins","35.5 %","71.7 %","55.2 %","63.4 %","86.7 %","79.8 %","54.4 %","63.9 %","11.0 %","8041"
"Darren O'Day","Orioles","35.5 %","65.1 %","49.0 %","56.1 %","78.7 %","69.8 %","45.6 %","65.8 %","14.8 %","3321"
"Andrew Miller","Yankees","35.2 %","54.4 %","44.2 %","35.6 %","76.3 %","59.1 %","46.8 %","65.9 %","18.0 %","6785"
"Kyle Gibson","Twins","35.2 %","64.1 %","46.3 %","66.9 %","89.1 %","78.7 %","38.6 %","60.8 %","9.8 %","10123"
"Sean Gilmartin","Mets","35.1 %","61.5 %","46.5 %","59.2 %","83.6 %","73.1 %","43.2 %","62.1 %","12.2 %","12781"
"Sam Dyson","- - -","35.1 %","69.8 %","50.4 %","57.1 %","87.0 %","75.3 %","43.9 %","59.9 %","12.4 %","11710"
"Jose Fernandez","Marlins","35.1 %","67.0 %","50.2 %","55.2 %","84.1 %","73.5 %","47.4 %","60.8 %","13.3 %","11530"
"Brad Ziegler","Diamondbacks","35.0 %","69.3 %","48.7 %","72.7 %","90.4 %","82.8 %","39.9 %","58.6 %","8.3 %","7293"
"Alex Wilson","Tigers","35.0 %","67.7 %","51.3 %","74.0 %","93.0 %","86.5 %","49.9 %","62.6 %","6.9 %","9239"
"Johnny Cueto","- - -","34.9 %","69.4 %","49.2 %","70.0 %","86.7 %","79.8 %","41.5 %","63.1 %","9.9 %","6893"
