"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Aroldis Chapman","Yankees","76.8 %","100.1","19.7 %","87.9","","","","","3.6 %","89.0","","","","","0.6 %","10233"
"Joe Kelly","Red Sox","63.8 %","99.0","14.8 %","89.6","","","19.0 %","84.1","2.3 %","86.3","","","","","0.1 %","9761"
"Dellin Betances","Yankees","46.2 %","98.5","53.8 %","84.8","","","","","","","","","","","","6216"
"Felipe Rivero","Pirates","61.4 %","98.5","14.0 %","84.7","","","4.6 %","81.2","20.0 %","88.4","","","","","0.2 %","12076"
"Craig Kimbrel","Red Sox","68.6 %","98.3","","","","","31.5 %","87.2","","","","","","","","6655"
"Ken Giles","Astros","52.7 %","98.1","47.3 %","87.0","","","","","","","","","","","","12910"
"Enny Romero","Nationals","77.0 %","98.0","7.6 %","86.1","11.1 %","90.0","","","4.3 %","88.1","","","","","0.8 %","4001"
"Tommy Kahnle","- - -","66.5 %","97.9","11.6 %","86.3","","","","","21.9 %","90.4","","","","","0.2 %","11384"
"Arodys Vizcaino","Braves","61.3 %","97.8","","","","","36.5 %","85.7","2.2 %","89.8","","","","","0.5 %","5498"
"Luis Severino","Yankees","51.4 %","97.6","35.1 %","88.4","","","","","13.5 %","87.3","","","","","","15890"
"Matt Bush","Rangers","69.2 %","97.5","17.6 %","89.7","","","13.2 %","80.0","","","","","","","","1246"
"Kelvin Herrera","Royals","66.9 %","97.5","16.2 %","88.2","","","","","16.9 %","90.4","","","","","0.8 %","6033"
"Luis Castillo","Reds","62.4 %","97.5","15.0 %","84.8","","","","","22.7 %","87.3","","","","","0.3 %","15689"
"Corey Knebel","Brewers","71.7 %","97.4","","","","","28.3 %","80.5","","","","","","","1.2 %","15010"
"Edwin Diaz","Mariners","68.4 %","97.3","31.5 %","87.8","","","","","0.1 %","96.0","","","","","0.9 %","14710"
"Jose Ramirez","Braves","63.1 %","97.2","19.3 %","89.2","","","","","17.7 %","88.0","","","","","0.4 %","10171"
"Blake Treinen","- - -","67.2 %","97.2","25.5 %","89.0","0.5 %","92.7","","","6.9 %","89.2","","","","","0.8 %","12572"
"Luis Garcia","Phillies","63.1 %","97.2","23.3 %","84.8","","","","","","","13.6 %","87.6","","","1.8 %","6984"
"Pedro Baez","Dodgers","72.7 %","97.0","16.7 %","88.1","","","","","10.7 %","87.9","","","","","0.5 %","5420"
"Keynan Middleton","Angels","62.6 %","96.8","35.0 %","88.4","","","","","2.4 %","88.7","","","","","0.8 %","15264"
"Jacob Barnes","Brewers","54.6 %","96.7","1.0 %","84.8","44.5 %","90.8","","","","","","","","","1.2 %","12323"
"Brandon Maurer","- - -","56.5 %","96.6","29.1 %","85.4","","","","","14.4 %","85.9","","","","","0.8 %","4878"
"Wandy Peralta","Reds","53.2 %","96.5","27.5 %","86.2","","","","","19.3 %","86.6","","","","","0.4 %","14295"
"Hector Rondon","Cubs","61.6 %","96.4","35.8 %","85.8","","","","","2.6 %","90.4","","","","","","2391"
"Raisel Iglesias","Reds","56.8 %","96.4","30.3 %","85.3","","","","","12.9 %","88.0","","","","","0.3 %","17130"
"Michael Lorenzen","Reds","51.3 %","96.4","15.6 %","87.9","19.7 %","92.8","11.1 %","82.7","2.3 %","88.3","","","","","1.5 %","14843"
"Archie Bradley","Diamondbacks","75.6 %","96.4","","","2.9 %","90.5","21.4 %","82.7","0.1 %","89.0","","","","","0.4 %","12918"
"Tommy Hunter","Rays","42.3 %","96.3","","","32.0 %","94.0","25.7 %","85.3","","","","","","","","1157"
"Scott Oberg","Rockies","56.6 %","96.3","34.8 %","88.8","","","","","8.7 %","89.9","","","","","0.5 %","13911"
"Blake Wood","- - -","55.5 %","96.1","34.1 %","89.7","","","","","","","10.4 %","84.9","","","0.8 %","1345"
"Pedro Strop","Cubs","55.6 %","96.1","28.5 %","84.8","15.1 %","89.4","","","","","0.8 %","89.9","","","0.1 %","4070"
"Wily Peralta","Brewers","58.6 %","96.0","34.9 %","84.4","","","3.3 %","78.6","3.2 %","85.6","","","","","0.7 %","7738"
"Gerrit Cole","Pirates","60.1 %","96.0","17.2 %","88.3","","","12.2 %","80.4","10.5 %","88.7","","","","","0.2 %","13125"
"Jon Gray","Rockies","57.2 %","96.0","27.7 %","89.7","","","13.8 %","80.2","1.3 %","87.1","","","","","0.1 %","14916"
"Justin Wilson","- - -","67.4 %","96.0","10.5 %","84.9","21.9 %","91.7","","","0.2 %","90.0","","","","","0.4 %","4301"
"Michael Fulmer","Tigers","59.3 %","95.8","21.3 %","89.4","","","0.5 %","78.6","18.9 %","87.8","","","","","0.3 %","13218"
"Chad Green","Yankees","69.4 %","95.8","22.1 %","85.8","7.8 %","90.0","","","0.7 %","85.1","","","","","","15552"
"Ryan Pressly","Twins","55.3 %","95.8","18.1 %","89.6","","","26.6 %","83.1","","","","","","","1.6 %","7005"
"Alex Meyer","Angels","58.3 %","95.7","","","","","39.9 %","85.1","1.9 %","90.3","","","","","","12833"
"Hunter Strickland","Giants","68.5 %","95.7","15.6 %","82.5","14.5 %","85.5","","","1.4 %","89.0","","","","","1.3 %","7836"
"Carlos Martinez","Cardinals","56.3 %","95.6","26.8 %","85.2","","","0.7 %","80.3","16.2 %","87.7","","","","","0.3 %","11682"
"Mychal Givens","Orioles","72.3 %","95.6","19.3 %","87.5","","","","","8.4 %","85.5","","","","","0.4 %","10430"
"Francis Martes","Astros","55.3 %","95.6","","","","","37.0 %","84.9","7.7 %","89.6","","","","","1.2 %","17303"
"Stephen Strasburg","Nationals","51.9 %","95.6","6.8 %","90.2","","","22.5 %","82.4","18.9 %","88.7","","","","","0.7 %","10131"
"Miguel Castro","Orioles","61.3 %","95.6","27.7 %","84.5","","","","","11.0 %","86.5","","","","","1.0 %","15684"
"Daniel Hudson","Pirates","60.2 %","95.6","26.1 %","86.6","","","","","13.7 %","86.2","","","","","0.5 %","7146"
"James Pazos","Mariners","74.3 %","95.5","25.7 %","81.7","","","","","","","","","","","","13323"
"Chad Kuhl","Pirates","63.5 %","95.5","20.5 %","88.5","","","6.3 %","82.4","9.8 %","88.8","","","","","0.8 %","14975"
"Gregory Infante","White Sox","57.5 %","95.5","23.4 %","86.0","","","16.6 %","82.3","2.5 %","86.6","","","","","1.6 %","9119"
"JC Ramirez","Angels","51.1 %","95.5","32.6 %","88.0","","","16.3 %","79.0","","","0.1 %","87.5","","","0.2 %","8302"
"Chris Archer","Rays","47.6 %","95.5","44.4 %","88.9","","","","","8.0 %","85.8","","","","","","6345"
"Jose Urena","Marlins","56.3 %","95.5","23.8 %","84.9","","","","","19.9 %","88.2","","","","","0.5 %","11589"
"Heath Hembree","Red Sox","53.3 %","95.4","38.0 %","89.2","","","8.7 %","80.3","","","","","","","","11632"
"James Paxton","Mariners","65.5 %","95.4","","","10.4 %","88.8","21.3 %","80.4","2.8 %","86.5","","","","","0.1 %","11828"
"Juan Nicasio","- - -","71.9 %","95.4","26.8 %","88.5","","","","","1.3 %","87.1","","","","","0.7 %","7731"
"Josh Fields","Dodgers","78.9 %","95.4","","","","","18.5 %","79.3","2.6 %","80.6","","","","","0.5 %","5070"
"Zach McAllister","Indians","80.3 %","95.3","0.1 %","86.0","","","19.6 %","80.9","","","","","","","0.1 %","2895"
"Mike Foltynewicz","Braves","60.8 %","95.3","21.1 %","86.1","","","12.4 %","79.7","5.6 %","86.2","","","","","0.3 %","10811"
"Sal Romano","Reds","62.6 %","95.3","","","","","28.0 %","86.7","9.4 %","88.8","","","","","0.3 %","13690"
"Jameson Taillon","Pirates","64.1 %","95.3","","","","","26.0 %","81.3","9.9 %","88.1","","","","","0.5 %","11674"
"Justin Verlander","- - -","58.2 %","95.2","21.6 %","88.2","0.2 %","91.7","15.9 %","80.5","4.1 %","87.5","","","","","0.4 %","8700"
"Matt Barnes","Red Sox","55.1 %","95.2","13.5 %","88.0","","","31.4 %","80.9","","","","","","","0.1 %","12863"
"Jacob deGrom","Mets","55.4 %","95.2","22.7 %","89.3","","","9.5 %","81.2","12.4 %","87.7","","","","","0.5 %","10954"
"Carl Edwards Jr.","Cubs","70.0 %","95.2","","","","","29.9 %","81.3","0.1 %","92.0","","","","","0.7 %","13607"
"Ryan Madson","- - -","65.9 %","95.2","","","0.1 %","92.0","18.7 %","82.6","15.2 %","85.4","","","","","0.8 %","1852"
"Alex Colome","Rays","32.7 %","95.1","","","67.3 %","89.6","","","","","","","","","2.3 %","6661"
"Michael Wacha","Cardinals","52.9 %","95.1","","","17.3 %","90.7","11.5 %","76.3","18.3 %","87.7","","","","","0.4 %","14078"
"Danny Salazar","Indians","59.7 %","95.1","7.8 %","86.1","","","5.8 %","80.9","26.6 %","86.5","","","","","","5867"
"Sam Freeman","Braves","57.4 %","95.1","22.0 %","83.9","","","","","20.6 %","86.4","","","","","0.7 %","6832"
"Sam Dyson","- - -","64.4 %","95.1","3.7 %","83.7","17.3 %","90.3","","","14.7 %","88.9","","","","","2.3 %","11710"
"Kevin Gausman","Orioles","64.4 %","95.0","14.0 %","83.2","","","1.4 %","79.2","1.9 %","85.1","18.3 %","85.1","","","0.0 %","14107"
"Bryan Shaw","Indians","0.1 %","95.0","11.9 %","82.4","88.0 %","94.4","","","","","","","","","0.8 %","8110"
"Dinelson Lamet","Padres","55.0 %","95.0","40.0 %","85.7","","","","","5.1 %","90.0","","","","","0.3 %","17186"
"Shane Greene","Tigers","56.2 %","95.0","27.7 %","82.5","14.5 %","88.9","1.7 %","80.4","","","","","","","1.5 %","10756"
"German Marquez","Rockies","65.5 %","95.0","4.1 %","86.6","","","25.0 %","80.7","5.4 %","85.8","","","","","0.5 %","15038"
"Ryan Tepera","Blue Jays","58.6 %","95.0","1.0 %","82.8","40.3 %","88.6","","","0.1 %","90.0","","","","","1.3 %","10291"
