"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Aroldis Chapman","- - -","81.1 %","100.4","15.7 %","88.3","","","","","3.2 %","89.1","","","","","0.1 %","10233"
"Noah Syndergaard","Mets","59.1 %","98.0","21.2 %","90.9","","","8.6 %","82.4","11.2 %","89.8","","","","","0.4 %","11762"
"Arquimedes Caminero","- - -","67.5 %","97.9","","","22.3 %","92.0","0.4 %","78.8","","","9.9 %","90.5","","","0.5 %","8992"
"Dellin Betances","Yankees","43.4 %","97.7","56.6 %","84.2","","","","","","","","","","","0.1 %","6216"
"Craig Kimbrel","Red Sox","68.9 %","97.3","","","","","31.0 %","86.6","0.1 %","91.0","","","","","","6655"
"Carlos Estevez","Rockies","70.9 %","97.3","20.3 %","85.9","","","","","8.8 %","89.1","","","","","1.4 %","14542"
"Edwin Diaz","Mariners","67.6 %","97.3","32.3 %","86.7","","","","","0.1 %","89.0","","","","","0.8 %","14710"
"Ken Giles","Astros","52.2 %","97.2","47.8 %","86.0","","","","","","","","","","","0.4 %","12910"
"Kelvin Herrera","Royals","60.2 %","97.1","16.0 %","83.1","","","5.2 %","80.6","18.6 %","88.7","","","","","","6033"
"Nathan Eovaldi","Yankees","48.1 %","97.1","17.7 %","86.1","7.3 %","93.1","4.0 %","74.7","","","22.9 %","88.5","","","0.3 %","9132"
"Matt Bush","Rangers","67.9 %","97.0","13.6 %","91.4","","","18.3 %","80.5","0.2 %","90.5","","","","","0.1 %","1246"
"James Paxton","Mariners","62.4 %","96.8","","","15.7 %","89.9","13.7 %","81.9","8.3 %","88.1","","","","","0.5 %","11828"
"Nate Jones","White Sox","63.1 %","96.8","35.7 %","88.3","","","0.6 %","80.3","0.6 %","87.5","","","","","1.3 %","4696"
"Hunter Strickland","Giants","73.1 %","96.8","23.4 %","84.2","","","0.8 %","81.3","2.7 %","88.9","","","","","1.2 %","7836"
"Matt Barnes","Red Sox","65.6 %","96.8","5.5 %","89.1","","","23.9 %","82.2","5.1 %","88.2","","","","","0.2 %","12863"
"Pedro Baez","Dodgers","74.8 %","96.7","12.5 %","87.6","","","","","12.7 %","87.2","","","","","","5420"
"JC Ramirez","- - -","73.2 %","96.4","25.7 %","87.2","","","","","","","1.1 %","89.4","","","0.6 %","8302"
"Zach Britton","Orioles","92.2 %","96.3","7.8 %","82.2","","","","","","","","","","","0.9 %","3240"
"Jeurys Familia","Mets","77.2 %","96.2","19.9 %","86.7","","","","","","","2.9 %","94.5","","","1.8 %","5114"
