"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Bartolo Colon","- - -","29.8 %","65.1 %","46.5 %","81.1 %","92.2 %","88.4 %","47.2 %","65.1 %","5.4 %","375"
"Greg Holland","Rockies","29.7 %","61.5 %","44.3 %","37.3 %","81.5 %","65.5 %","45.9 %","61.3 %","15.3 %","7196"
"Edubray Ramos","Phillies","29.7 %","60.0 %","44.1 %","54.8 %","86.4 %","75.2 %","47.5 %","60.6 %","10.9 %","16086"
"Robbie Ray","Diamondbacks","29.7 %","63.0 %","44.2 %","46.1 %","81.0 %","67.9 %","43.8 %","59.9 %","14.2 %","11486"
"Robert Gsellman","Mets","29.7 %","69.8 %","47.2 %","76.0 %","88.8 %","84.3 %","43.7 %","64.7 %","7.4 %","13696"
"Tyler Skaggs","Angels","29.6 %","59.6 %","42.9 %","66.5 %","90.2 %","81.1 %","44.3 %","62.2 %","8.1 %","10190"
"Andrew Triggs","Athletics","29.5 %","62.1 %","43.0 %","61.0 %","85.6 %","75.7 %","41.4 %","58.0 %","10.4 %","13533"
"Brian Duensing","Cubs","29.5 %","66.8 %","44.7 %","60.8 %","87.1 %","76.8 %","40.6 %","57.6 %","10.4 %","4064"
"Michael Wacha","Cardinals","29.5 %","66.6 %","47.6 %","67.7 %","85.4 %","79.8 %","48.6 %","65.8 %","9.6 %","14078"
"Ricky Nolasco","Angels","29.5 %","70.7 %","45.6 %","62.2 %","84.9 %","76.0 %","39.1 %","60.2 %","11.0 %","3830"
"Bryan Shaw","Indians","29.5 %","73.6 %","50.8 %","63.0 %","82.3 %","76.6 %","48.3 %","57.7 %","11.9 %","8110"
"Daniel Gossett","Athletics","29.5 %","66.0 %","45.5 %","65.9 %","88.7 %","80.4 %","44.0 %","56.8 %","8.9 %","16164"
"Enny Romero","Nationals","29.5 %","73.6 %","49.8 %","65.0 %","79.6 %","75.0 %","46.1 %","52.7 %","12.5 %","4001"
"Jim Johnson","Braves","29.4 %","59.9 %","42.1 %","61.9 %","88.0 %","77.3 %","41.4 %","60.2 %","9.5 %","3656"
"Collin McHugh","Astros","29.4 %","69.7 %","47.1 %","61.8 %","80.1 %","73.7 %","44.0 %","62.7 %","12.4 %","7531"
"Homer Bailey","Reds","29.4 %","67.4 %","46.7 %","67.2 %","86.9 %","80.1 %","45.4 %","61.2 %","9.3 %","8362"
"Wade LeBlanc","Pirates","29.4 %","65.6 %","45.8 %","65.1 %","86.4 %","78.9 %","45.2 %","59.7 %","9.6 %","5221"
"Miguel Castro","Orioles","29.4 %","66.8 %","46.0 %","64.5 %","85.6 %","78.1 %","44.3 %","58.0 %","10.1 %","15684"
"Charlie Morton","Astros","29.4 %","62.3 %","44.5 %","61.0 %","83.6 %","75.5 %","45.9 %","61.1 %","10.9 %","4676"
"Aaron Nola","Phillies","29.4 %","60.8 %","44.5 %","59.3 %","84.1 %","75.6 %","48.2 %","64.4 %","10.8 %","16149"
"Matt Grace","Nationals","29.3 %","63.5 %","46.5 %","68.2 %","91.3 %","84.0 %","50.2 %","60.9 %","7.4 %","11449"
"Trevor Cahill","- - -","29.3 %","60.6 %","41.8 %","53.4 %","88.4 %","73.6 %","40.0 %","59.8 %","11.0 %","6249"
"Luis Garcia","Phillies","29.3 %","70.1 %","48.0 %","49.4 %","87.9 %","75.2 %","45.9 %","58.0 %","11.9 %","6984"
"Chad Bell","Tigers","29.3 %","68.3 %","45.8 %","70.2 %","87.1 %","80.9 %","42.2 %","57.0 %","8.8 %","10297"
"Odrisamer Despaigne","Marlins","29.3 %","69.0 %","47.4 %","77.3 %","87.5 %","84.1 %","45.7 %","62.6 %","7.5 %","16017"
"Jake Faria","Rays","29.3 %","67.9 %","46.4 %","54.5 %","84.6 %","74.0 %","44.3 %","54.6 %","12.0 %","13699"
"Jose Urena","Marlins","29.2 %","68.5 %","45.2 %","70.6 %","88.9 %","81.9 %","40.7 %","58.7 %","8.2 %","11589"
"Rich Hill","Dodgers","29.1 %","60.7 %","44.9 %","59.9 %","81.5 %","74.5 %","50.0 %","62.1 %","11.5 %","4806"
"A.J. Cole","Nationals","29.1 %","64.9 %","44.6 %","65.8 %","85.2 %","78.0 %","43.2 %","61.6 %","9.8 %","11467"
"Ben Lively","Phillies","29.1 %","65.7 %","46.9 %","73.5 %","89.8 %","84.6 %","48.6 %","59.1 %","7.2 %","14932"
"Brett Anderson","- - -","29.1 %","65.2 %","44.8 %","69.6 %","86.7 %","80.4 %","43.4 %","57.4 %","8.8 %","8223"
"Wade Miley","Orioles","29.1 %","63.2 %","41.0 %","68.8 %","89.9 %","80.2 %","35.0 %","53.7 %","8.1 %","8779"
"Santiago Casilla","Athletics","29.0 %","67.0 %","45.6 %","57.1 %","84.3 %","74.5 %","43.5 %","55.2 %","11.6 %","2873"
"Luis Perdomo","Padres","29.0 %","64.1 %","44.5 %","61.9 %","90.7 %","80.2 %","44.1 %","61.3 %","8.8 %","14682"
"Juan Nicasio","- - -","28.9 %","72.3 %","51.2 %","69.2 %","82.7 %","79.0 %","51.5 %","67.4 %","10.8 %","7731"
"Michael Lorenzen","Reds","28.9 %","67.5 %","46.2 %","56.9 %","87.9 %","77.1 %","44.7 %","51.8 %","10.5 %","14843"
"Danny Barnes","Blue Jays","28.9 %","73.7 %","48.5 %","61.1 %","83.1 %","75.8 %","43.9 %","61.9 %","11.8 %","11388"
"Brandon Maurer","- - -","28.8 %","68.6 %","48.2 %","63.8 %","86.3 %","79.4 %","48.7 %","67.4 %","9.9 %","4878"
"Corey Knebel","Brewers","28.8 %","61.9 %","43.6 %","55.8 %","74.7 %","67.7 %","44.6 %","51.5 %","14.1 %","15010"
"Carlos Martinez","Cardinals","28.8 %","65.2 %","46.3 %","58.1 %","86.2 %","77.2 %","48.1 %","59.1 %","10.6 %","11682"
"Drew Pomeranz","Red Sox","28.7 %","64.8 %","44.3 %","64.1 %","85.4 %","77.6 %","43.3 %","60.3 %","9.9 %","11426"
"Alex Cobb","Rays","28.7 %","62.2 %","44.0 %","73.4 %","91.0 %","84.8 %","45.8 %","58.8 %","6.7 %","6562"
"Marcus Stroman","Blue Jays","28.6 %","65.0 %","44.6 %","57.2 %","89.1 %","77.6 %","43.8 %","58.6 %","10.0 %","13431"
"Trevor Williams","Pirates","28.6 %","68.6 %","46.7 %","66.5 %","89.9 %","82.1 %","45.3 %","60.9 %","8.4 %","16977"
"Nick Pivetta","Phillies","28.6 %","64.3 %","45.6 %","68.8 %","87.0 %","81.0 %","47.6 %","59.3 %","8.7 %","15454"
"Justin Wilson","- - -","28.6 %","66.9 %","45.8 %","69.1 %","75.8 %","73.5 %","44.9 %","53.2 %","12.1 %","4301"
"Archie Bradley","Diamondbacks","28.5 %","64.7 %","47.2 %","62.5 %","85.5 %","78.8 %","51.6 %","59.0 %","10.0 %","12918"
"Chris Stratton","Giants","28.5 %","64.0 %","44.5 %","63.2 %","89.4 %","80.2 %","45.1 %","59.0 %","8.8 %","13761"
"Bronson Arroyo","Reds","28.4 %","69.5 %","48.3 %","69.4 %","90.5 %","84.1 %","48.4 %","60.3 %","7.7 %","978"
"Brad Peacock","Astros","28.4 %","61.3 %","43.2 %","57.1 %","81.4 %","72.6 %","44.9 %","63.2 %","11.8 %","5401"
"Jose Quintana","- - -","28.4 %","62.5 %","43.7 %","66.7 %","88.4 %","80.6 %","44.8 %","67.1 %","8.5 %","11423"
"Jordan Lyles","- - -","28.4 %","68.5 %","47.3 %","61.4 %","90.2 %","81.0 %","47.1 %","55.3 %","9.0 %","7593"
"Anibal Sanchez","Tigers","28.4 %","65.1 %","45.4 %","61.9 %","86.8 %","78.5 %","46.6 %","61.4 %","9.8 %","3284"
"Warwick Saupold","Tigers","28.4 %","67.5 %","45.3 %","68.0 %","90.9 %","82.7 %","43.2 %","58.9 %","7.8 %","13211"
"Junior Guerra","Brewers","28.3 %","67.2 %","43.5 %","60.8 %","84.3 %","74.9 %","38.9 %","54.5 %","10.9 %","5702"
"Josh Smoker","Mets","28.3 %","63.4 %","44.8 %","52.8 %","81.5 %","71.9 %","46.8 %","56.9 %","12.6 %","10285"
"Matt Barnes","Red Sox","28.3 %","64.4 %","43.4 %","54.0 %","83.3 %","72.2 %","41.8 %","57.1 %","12.0 %","12863"
"Luis Castillo","Reds","28.3 %","69.9 %","47.5 %","55.8 %","81.6 %","73.3 %","46.1 %","57.1 %","12.7 %","15689"
"Austin Bibens-Dirkx","Rangers","28.3 %","66.5 %","45.3 %","69.0 %","87.3 %","80.9 %","44.4 %","60.9 %","8.6 %","9559"
"Hunter Strickland","Giants","28.2 %","69.5 %","46.8 %","60.1 %","84.7 %","76.5 %","44.9 %","61.9 %","11.0 %","7836"
"Mike Montgomery","Cubs","28.2 %","62.6 %","43.1 %","65.1 %","89.5 %","80.4 %","43.3 %","59.8 %","8.4 %","4869"
"R.A. Dickey","Braves","28.2 %","67.1 %","47.0 %","75.1 %","84.2 %","81.4 %","48.4 %","64.8 %","8.8 %","1245"
"Eddie Butler","Cubs","28.2 %","69.5 %","46.5 %","71.5 %","91.2 %","84.5 %","44.3 %","60.3 %","7.2 %","13453"
"Carlos Rodon","White Sox","28.2 %","63.1 %","43.8 %","66.3 %","82.0 %","76.4 %","44.7 %","56.2 %","10.3 %","16137"
"Jason Vargas","Royals","28.1 %","61.2 %","43.2 %","66.7 %","82.7 %","77.0 %","45.5 %","65.9 %","9.9 %","8044"
"Gio Gonzalez","Nationals","28.1 %","61.2 %","41.8 %","68.4 %","85.9 %","79.0 %","41.4 %","55.3 %","8.8 %","7448"
"Scott Oberg","Rockies","28.1 %","70.4 %","49.6 %","54.0 %","83.9 %","75.6 %","50.8 %","68.7 %","12.1 %","13911"
"Jon Gray","Rockies","28.0 %","60.5 %","44.0 %","59.0 %","90.1 %","80.0 %","49.2 %","61.6 %","8.8 %","14916"
"Adam Wainwright","Cardinals","28.0 %","63.7 %","43.7 %","70.9 %","89.9 %","83.1 %","44.1 %","59.5 %","7.4 %","2233"
"Wily Peralta","Brewers","28.0 %","65.4 %","42.7 %","63.7 %","90.0 %","79.5 %","39.4 %","64.7 %","8.7 %","7738"
"Brandon Kintzler","- - -","28.0 %","65.5 %","45.3 %","77.3 %","92.6 %","87.5 %","46.2 %","62.5 %","5.7 %","9939"
"Vince Velasquez","Phillies","28.0 %","67.5 %","48.2 %","67.1 %","86.6 %","81.1 %","51.2 %","63.8 %","9.1 %","11189"
"Jake Arrieta","Cubs","27.9 %","61.0 %","43.7 %","67.0 %","86.6 %","80.1 %","47.8 %","58.0 %","8.7 %","4153"
"Jose Ramirez","Braves","27.9 %","73.3 %","48.4 %","65.2 %","80.7 %","75.8 %","45.1 %","58.1 %","11.7 %","10171"
"Christian Bergman","Mariners","27.9 %","68.0 %","48.6 %","72.2 %","90.0 %","85.1 %","51.6 %","66.5 %","7.3 %","10925"
"Gerrit Cole","Pirates","27.9 %","66.4 %","46.3 %","66.5 %","85.5 %","79.5 %","47.8 %","63.5 %","9.5 %","13125"
"Mike Foltynewicz","Braves","27.9 %","67.2 %","44.6 %","69.4 %","84.3 %","78.9 %","42.4 %","62.3 %","9.4 %","10811"
"Matt Moore","Giants","27.9 %","67.9 %","46.8 %","67.1 %","88.3 %","81.7 %","47.3 %","61.3 %","8.6 %","1890"
"Paul Sewald","Mets","27.9 %","67.8 %","47.2 %","65.6 %","79.0 %","74.9 %","48.3 %","61.1 %","11.8 %","13892"
"Francis Martes","Astros","27.8 %","64.9 %","44.4 %","51.3 %","82.6 %","71.7 %","44.7 %","59.0 %","12.6 %","17303"
"Luke Sims","Braves","27.8 %","63.6 %","43.9 %","70.2 %","87.5 %","81.5 %","44.9 %","66.7 %","8.1 %","13470"
"Dinelson Lamet","Padres","27.8 %","63.9 %","44.3 %","55.8 %","82.4 %","73.4 %","45.8 %","56.1 %","11.8 %","17186"
"James Shields","White Sox","27.8 %","67.0 %","44.4 %","62.5 %","85.1 %","77.0 %","42.3 %","58.0 %","10.2 %","7059"
"Joakim Soria","Royals","27.7 %","65.9 %","45.5 %","53.7 %","79.0 %","70.8 %","46.6 %","57.8 %","13.3 %","6941"
"Chad Kuhl","Pirates","27.7 %","64.2 %","44.4 %","63.4 %","86.3 %","78.5 %","45.7 %","58.1 %","9.5 %","14975"
"Adam Conley","Marlins","27.7 %","69.9 %","47.3 %","65.9 %","85.7 %","79.5 %","46.5 %","57.7 %","9.7 %","14457"
"Jarlin Garcia","Marlins","27.5 %","66.9 %","46.2 %","55.8 %","83.8 %","75.0 %","47.4 %","55.6 %","11.6 %","18282"
"Jose Torres","Padres","27.5 %","73.1 %","49.7 %","62.9 %","83.5 %","77.6 %","48.7 %","56.7 %","11.1 %","14957"
"Daniel Hudson","Pirates","27.5 %","67.7 %","45.5 %","62.3 %","78.7 %","73.2 %","44.7 %","56.5 %","12.2 %","7146"
"Justin Grimm","Cubs","27.4 %","61.7 %","42.0 %","45.4 %","87.4 %","71.6 %","42.5 %","57.3 %","11.9 %","11720"
"Fernando Rodney","Diamondbacks","27.4 %","61.0 %","41.9 %","56.6 %","79.1 %","70.7 %","43.3 %","58.9 %","12.3 %","494"
"Taijuan Walker","Diamondbacks","27.4 %","65.5 %","44.7 %","67.3 %","87.2 %","80.6 %","45.4 %","58.6 %","8.7 %","11836"
"Tyler Lyons","Cardinals","27.4 %","55.7 %","41.5 %","53.2 %","85.6 %","74.9 %","49.8 %","60.9 %","10.4 %","11334"
"German Marquez","Rockies","27.4 %","66.9 %","48.4 %","58.1 %","89.4 %","81.1 %","53.2 %","59.8 %","9.1 %","15038"
"Tim Adleman","Reds","27.3 %","69.7 %","47.1 %","64.1 %","82.9 %","77.1 %","46.7 %","60.5 %","10.8 %","10968"
"Matt Harvey","Mets","27.3 %","68.5 %","45.8 %","72.4 %","89.2 %","83.7 %","44.9 %","58.0 %","7.5 %","11713"
"Phil Hughes","Twins","27.3 %","73.1 %","50.4 %","76.4 %","89.8 %","86.2 %","50.4 %","67.6 %","7.0 %","7450"
"Andrew Moore","Mariners","27.3 %","72.5 %","49.8 %","78.6 %","85.5 %","83.6 %","49.8 %","65.0 %","8.2 %","17553"
"Lance Lynn","Cardinals","27.2 %","69.6 %","44.4 %","74.7 %","82.4 %","79.6 %","40.5 %","54.6 %","9.0 %","2520"
"Mike Clevinger","Indians","27.2 %","63.3 %","42.2 %","54.6 %","80.1 %","70.5 %","41.5 %","63.4 %","12.5 %","12808"
"Cory Gearrin","Giants","27.2 %","64.9 %","44.0 %","59.0 %","83.2 %","74.9 %","44.5 %","60.4 %","11.0 %","7947"
"Vance Worley","Marlins","27.1 %","64.4 %","44.7 %","76.3 %","92.6 %","87.3 %","47.2 %","58.3 %","5.7 %","6435"
"Francisco Liriano","- - -","27.0 %","62.0 %","40.8 %","60.0 %","87.3 %","76.4 %","39.4 %","54.4 %","9.6 %","3201"
"Chad Green","Yankees","27.0 %","67.2 %","45.5 %","56.0 %","72.2 %","67.1 %","46.0 %","66.0 %","15.0 %","15552"
"A.J. Ramos","- - -","26.9 %","57.7 %","39.4 %","46.3 %","85.3 %","69.4 %","40.5 %","51.6 %","12.1 %","8350"
"Kendall Graveman","Athletics","26.9 %","63.6 %","42.4 %","71.7 %","91.1 %","83.9 %","42.2 %","56.3 %","6.8 %","15514"
"Hector Santiago","Twins","26.7 %","67.0 %","45.4 %","75.1 %","87.8 %","83.8 %","46.4 %","55.6 %","7.4 %","4026"
"Zach Davies","Brewers","26.7 %","63.5 %","42.8 %","71.6 %","89.5 %","83.2 %","43.7 %","57.3 %","7.2 %","13183"
"Jharel Cotton","Athletics","26.7 %","69.3 %","47.0 %","69.1 %","83.7 %","79.3 %","47.6 %","59.4 %","9.7 %","13654"
"Tyler Chatwood","Rockies","26.6 %","67.3 %","43.4 %","58.3 %","88.0 %","77.2 %","41.1 %","53.6 %","9.9 %","4338"
"Jesse Chavez","Angels","26.6 %","69.6 %","44.4 %","71.7 %","87.1 %","81.6 %","41.3 %","62.5 %","8.1 %","5448"
"Travis Wood","- - -","26.5 %","70.2 %","47.7 %","80.3 %","90.2 %","87.4 %","48.5 %","62.2 %","6.0 %","9884"
"Edwin Jackson","- - -","26.5 %","68.2 %","46.0 %","57.4 %","87.5 %","78.3 %","46.9 %","55.5 %","10.0 %","1841"
"Edinson Volquez","Marlins","26.4 %","62.5 %","42.0 %","62.6 %","86.8 %","78.2 %","43.3 %","56.7 %","9.2 %","3990"
"Steven Matz","Mets","26.2 %","62.4 %","43.7 %","73.6 %","88.4 %","83.8 %","48.2 %","59.1 %","7.1 %","13361"
"Sal Romano","Reds","26.2 %","64.7 %","43.5 %","67.6 %","86.2 %","80.0 %","44.9 %","55.0 %","8.7 %","13690"
"Taylor Rogers","Twins","26.1 %","64.1 %","44.0 %","68.3 %","86.6 %","80.9 %","47.1 %","57.8 %","8.4 %","13449"
"Matt Albers","Nationals","26.0 %","63.7 %","43.7 %","65.4 %","86.9 %","80.1 %","47.1 %","61.8 %","8.7 %","4300"
"Chris Smith","Athletics","26.0 %","66.9 %","41.3 %","69.0 %","88.1 %","80.6 %","37.4 %","54.0 %","8.0 %","4544"
"Sam Gaviglio","- - -","26.0 %","61.8 %","43.9 %","67.1 %","90.9 %","83.8 %","50.0 %","61.7 %","7.1 %","12778"
"Scott Feldman","Reds","26.0 %","63.2 %","43.3 %","67.6 %","87.0 %","80.8 %","46.6 %","60.8 %","8.3 %","6283"
"Ubaldo Jimenez","Orioles","26.0 %","63.9 %","42.4 %","65.8 %","88.1 %","80.4 %","43.4 %","53.4 %","8.3 %","3374"
"Kyle Freeland","Rockies","26.0 %","69.5 %","45.0 %","70.8 %","89.2 %","83.2 %","43.6 %","54.8 %","7.5 %","16256"
"A.J. Griffin","Rangers","26.0 %","64.0 %","45.4 %","73.2 %","84.5 %","81.3 %","51.1 %","61.8 %","8.5 %","11132"
"Yovani Gallardo","Mariners","26.0 %","67.2 %","44.3 %","67.7 %","87.7 %","81.2 %","44.4 %","58.0 %","8.3 %","8173"
"Jerad Eickhoff","Phillies","26.0 %","65.2 %","44.3 %","64.1 %","87.4 %","80.1 %","46.7 %","57.1 %","8.8 %","12664"
"Paul Blackburn","Athletics","25.8 %","68.2 %","42.6 %","78.8 %","90.9 %","86.5 %","39.6 %","47.9 %","5.8 %","14739"
"Alex Meyer","Angels","25.8 %","58.2 %","39.6 %","51.5 %","85.9 %","73.0 %","42.6 %","52.7 %","10.7 %","12833"
"JC Ramirez","Angels","25.7 %","66.3 %","45.6 %","63.6 %","87.7 %","80.7 %","48.9 %","60.3 %","8.8 %","8302"
"Andrew Cashner","Rangers","25.7 %","66.8 %","44.6 %","74.9 %","91.6 %","86.4 %","45.9 %","58.5 %","6.1 %","8782"
"Gregory Infante","White Sox","25.7 %","65.1 %","44.3 %","57.5 %","85.1 %","76.7 %","47.3 %","49.3 %","10.3 %","9119"
"Ariel Miranda","Mariners","25.6 %","71.8 %","47.5 %","62.4 %","83.1 %","77.2 %","47.4 %","60.8 %","10.8 %","17526"
"Daniel Norris","Tigers","25.6 %","65.1 %","43.6 %","59.2 %","88.2 %","78.9 %","45.5 %","55.2 %","9.2 %","13475"
"Mychal Givens","Orioles","25.6 %","71.2 %","47.9 %","64.7 %","79.9 %","75.8 %","49.0 %","57.5 %","11.6 %","10430"
"Tom Koehler","- - -","25.5 %","63.8 %","42.0 %","61.8 %","88.1 %","79.0 %","43.1 %","53.9 %","8.8 %","6570"
"Jakob Junis","Royals","25.5 %","63.5 %","45.1 %","61.4 %","87.4 %","80.2 %","51.4 %","61.9 %","8.9 %","13619"
"Luke Weaver","Cardinals","25.5 %","69.9 %","46.4 %","67.4 %","84.0 %","79.2 %","47.0 %","59.9 %","9.7 %","16918"
"Jhoulys Chacin","Padres","25.4 %","61.2 %","41.9 %","63.8 %","89.6 %","81.1 %","46.0 %","58.7 %","7.9 %","2608"
"Dan Jennings","- - -","25.2 %","61.4 %","42.5 %","65.7 %","87.9 %","81.0 %","47.8 %","60.7 %","8.1 %","8073"
"Amir Garrett","Reds","25.2 %","67.8 %","45.2 %","63.6 %","88.1 %","80.9 %","47.0 %","56.1 %","8.7 %","14375"
"Jeff Hoffman","Rockies","25.2 %","66.2 %","45.1 %","63.0 %","89.2 %","81.7 %","48.6 %","60.5 %","8.3 %","17432"
"Ian Kennedy","Royals","25.1 %","67.6 %","45.3 %","71.3 %","84.0 %","80.3 %","47.6 %","58.2 %","8.9 %","6986"
"Mark Leiter","Phillies","25.1 %","63.8 %","43.3 %","64.2 %","87.0 %","80.0 %","47.0 %","60.5 %","8.7 %","15551"
"Trevor Bauer","Indians","25.1 %","63.1 %","42.0 %","58.2 %","88.2 %","78.2 %","44.4 %","56.9 %","9.2 %","12703"
"Mike Pelfrey","White Sox","25.0 %","63.7 %","40.4 %","73.1 %","89.8 %","83.6 %","39.7 %","59.2 %","6.6 %","5203"
"David Holmberg","White Sox","25.0 %","61.3 %","40.3 %","74.4 %","88.5 %","83.4 %","42.1 %","56.6 %","6.7 %","7725"
"Derek Holland","White Sox","25.0 %","64.2 %","41.0 %","71.4 %","89.0 %","82.7 %","40.8 %","63.4 %","7.1 %","4141"
"Chris Tillman","Orioles","25.0 %","73.9 %","44.8 %","70.8 %","90.9 %","84.2 %","40.5 %","47.5 %","7.1 %","5279"
"Tyler Glasnow","Pirates","25.0 %","63.5 %","41.8 %","60.8 %","90.0 %","80.2 %","43.8 %","56.7 %","8.3 %","14374"
"Zach McAllister","Indians","25.0 %","69.0 %","48.2 %","70.4 %","84.2 %","80.8 %","52.7 %","64.7 %","9.2 %","2895"
"Jesse Hahn","Athletics","24.9 %","65.3 %","43.7 %","69.6 %","89.9 %","83.7 %","46.5 %","57.9 %","7.1 %","13287"
"Ty Blach","Giants","24.9 %","66.6 %","45.2 %","76.7 %","90.1 %","86.3 %","48.7 %","61.7 %","6.2 %","14361"
"Matt Cain","Giants","24.9 %","63.4 %","43.2 %","80.9 %","92.0 %","88.6 %","47.4 %","63.2 %","4.9 %","4732"
"Zack Wheeler","Mets","24.8 %","69.1 %","46.1 %","65.2 %","86.1 %","80.3 %","48.1 %","60.9 %","9.1 %","10310"
"Dylan Covey","White Sox","24.8 %","66.1 %","43.0 %","72.1 %","92.0 %","85.5 %","44.0 %","55.7 %","6.2 %","14825"
"Kyle Barraclough","Marlins","24.3 %","63.2 %","41.6 %","44.6 %","84.0 %","71.2 %","44.4 %","56.3 %","12.0 %","13713"
"Shane Greene","Tigers","24.3 %","60.8 %","41.9 %","63.2 %","86.0 %","79.2 %","48.1 %","59.4 %","8.7 %","10756"
"Daniel Coulombe","Athletics","24.2 %","62.4 %","41.9 %","56.8 %","89.3 %","79.2 %","46.2 %","52.5 %","8.7 %","13293"
"Chris Beck","White Sox","24.2 %","70.8 %","45.4 %","71.7 %","88.4 %","83.6 %","45.5 %","56.1 %","7.5 %","13418"
"David Phelps","- - -","24.2 %","61.6 %","41.5 %","58.7 %","86.3 %","77.7 %","46.3 %","60.5 %","9.3 %","6316"
"Jake McGee","Rockies","24.2 %","72.9 %","50.2 %","64.2 %","86.7 %","81.7 %","53.5 %","62.5 %","9.2 %","7550"
"Dellin Betances","Yankees","23.6 %","49.0 %","34.5 %","46.6 %","73.9 %","63.4 %","43.2 %","51.3 %","12.7 %","6216"
"Mike Dunn","Rockies","23.3 %","64.6 %","41.3 %","50.4 %","87.5 %","75.8 %","43.7 %","51.8 %","10.0 %","9948"
"Hansel Robles","Mets","22.7 %","64.2 %","41.8 %","71.6 %","81.5 %","78.6 %","46.2 %","54.3 %","9.0 %","11801"
"Antonio Senzatela","Rockies","22.5 %","63.1 %","43.3 %","67.1 %","89.9 %","84.1 %","51.2 %","61.7 %","6.9 %","15488"
"Adam Ottavino","Rockies","21.8 %","52.1 %","35.0 %","43.4 %","88.7 %","72.8 %","43.7 %","46.9 %","9.5 %","1247"
