"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"David Price","Red Sox","34.4 %","70.5 %","49.8 %","61.1 %","86.5 %","76.4 %","42.7 %","67.5 %","11.7 %","3184"
"Anthony Swarzak","- - -","34.4 %","68.8 %","50.0 %","55.9 %","81.0 %","71.6 %","45.5 %","65.4 %","14.2 %","7466"
"Zack Greinke","Diamondbacks","34.4 %","62.7 %","45.9 %","57.7 %","85.1 %","72.9 %","40.6 %","62.4 %","12.4 %","1943"
"Nick Goody","Indians","34.4 %","69.1 %","49.5 %","49.7 %","78.6 %","67.3 %","43.5 %","57.9 %","16.2 %","13685"
"David Robertson","- - -","34.4 %","60.9 %","46.0 %","42.2 %","79.0 %","63.6 %","43.9 %","59.1 %","16.8 %","8241"
"Kirby Yates","- - -","34.1 %","70.8 %","51.4 %","51.2 %","74.2 %","66.1 %","47.2 %","62.8 %","17.4 %","9073"
"Austin Pruitt","Rays","34.0 %","65.2 %","47.1 %","65.8 %","89.6 %","79.6 %","41.9 %","66.0 %","9.6 %","15290"
"Kelvin Herrera","Royals","34.0 %","72.1 %","52.0 %","64.0 %","85.0 %","77.8 %","47.3 %","60.6 %","11.6 %","6033"
"Jared Hughes","Brewers","33.9 %","66.8 %","46.5 %","59.5 %","88.0 %","75.2 %","38.4 %","57.4 %","11.5 %","9325"
"Fernando Salas","- - -","33.9 %","74.5 %","52.3 %","67.2 %","79.2 %","75.0 %","45.4 %","60.1 %","13.1 %","4971"
"Ross Stripling","Dodgers","33.5 %","65.7 %","47.0 %","64.2 %","82.8 %","75.1 %","42.0 %","64.8 %","11.7 %","13273"
"Jacob Barnes","Brewers","33.5 %","72.1 %","48.9 %","49.2 %","81.5 %","68.2 %","39.7 %","59.9 %","15.6 %","12323"
"Stephen Strasburg","Nationals","33.4 %","65.4 %","49.3 %","53.0 %","84.4 %","73.7 %","49.6 %","63.5 %","13.0 %","10131"
"Zach Eflin","Phillies","33.4 %","67.4 %","49.1 %","76.5 %","90.3 %","85.2 %","46.3 %","63.9 %","7.3 %","13774"
"Matt Shoemaker","Angels","33.4 %","69.3 %","49.0 %","59.4 %","87.1 %","76.4 %","43.4 %","64.4 %","11.6 %","4776"
"Chris Devenski","Astros","33.3 %","67.2 %","48.9 %","44.5 %","77.0 %","65.1 %","45.9 %","64.9 %","17.1 %","12763"
"Matt Belisle","Twins","33.3 %","66.9 %","49.2 %","65.9 %","86.5 %","79.2 %","47.4 %","66.8 %","10.3 %","1837"
"Ivan Nova","Pirates","33.2 %","68.3 %","50.0 %","68.1 %","91.3 %","83.3 %","47.8 %","64.5 %","8.4 %","1994"
"Sergio Romo","- - -","33.2 %","66.4 %","46.0 %","53.2 %","79.0 %","67.5 %","38.5 %","58.9 %","14.9 %","9817"
"Raisel Iglesias","Reds","33.2 %","66.6 %","49.6 %","54.8 %","80.7 %","71.9 %","49.1 %","65.0 %","14.0 %","17130"
"Jordan Montgomery","Yankees","33.2 %","65.5 %","46.9 %","55.9 %","86.3 %","73.9 %","42.3 %","59.9 %","12.2 %","16511"
"Pedro Baez","Dodgers","33.1 %","78.9 %","53.5 %","57.9 %","76.7 %","70.2 %","44.5 %","57.5 %","15.9 %","5420"
"Blake Parker","Angels","33.1 %","65.6 %","47.3 %","54.6 %","81.4 %","70.9 %","43.9 %","59.5 %","13.8 %","5224"
"Zack Godley","Diamondbacks","33.1 %","60.8 %","44.2 %","46.6 %","88.8 %","69.9 %","40.3 %","60.8 %","13.3 %","14862"
"Wade Davis","Cubs","33.0 %","70.1 %","47.6 %","53.8 %","77.5 %","67.5 %","39.4 %","58.7 %","15.5 %","7441"
"Joe Musgrove","Astros","33.0 %","68.2 %","50.5 %","59.6 %","85.4 %","76.9 %","49.7 %","63.9 %","11.7 %","12970"
"Tyler Duffey","Twins","32.9 %","67.4 %","49.3 %","63.1 %","86.1 %","78.0 %","47.4 %","63.9 %","10.8 %","13758"
"Jeremy Jeffress","- - -","32.9 %","63.6 %","45.6 %","61.4 %","89.4 %","77.6 %","41.5 %","53.2 %","10.2 %","9490"
"Jeff Samardzija","Giants","32.8 %","66.2 %","48.7 %","68.0 %","85.7 %","79.4 %","47.6 %","65.1 %","10.0 %","3254"
"Scott Alexander","Royals","32.8 %","69.0 %","48.7 %","58.3 %","82.9 %","73.6 %","44.1 %","60.8 %","12.8 %","10591"
"Joaquin Benoit","- - -","32.7 %","76.0 %","52.0 %","57.7 %","83.2 %","74.3 %","44.6 %","64.3 %","13.4 %","1437"
