"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Luke Gregerson","Astros","41.8 %","58.4 %","48.2 %","37.2 %","81.3 %","58.0 %","39.0 %","63.0 %","20.1 %","4090"
"Andrew Miller","- - -","40.5 %","53.5 %","46.6 %","45.6 %","81.4 %","64.9 %","46.8 %","61.8 %","16.4 %","6785"
"Jared Hughes","Pirates","40.5 %","70.0 %","50.4 %","73.3 %","89.1 %","80.7 %","33.6 %","60.3 %","9.6 %","9325"
"Nick Vincent","Mariners","39.9 %","74.7 %","56.3 %","68.0 %","80.8 %","76.0 %","47.0 %","69.2 %","13.3 %","7555"
"Ken Giles","Astros","39.9 %","68.4 %","51.9 %","39.3 %","79.4 %","61.6 %","42.1 %","64.3 %","19.9 %","12910"
"Jeurys Familia","Mets","38.4 %","65.3 %","49.7 %","49.1 %","85.9 %","69.5 %","42.1 %","56.7 %","14.9 %","5114"
"Dan Otero","Indians","38.3 %","65.2 %","50.1 %","77.7 %","90.5 %","85.0 %","43.7 %","66.5 %","7.5 %","7385"
"Brad Ziegler","- - -","37.9 %","68.9 %","49.4 %","61.7 %","88.8 %","75.8 %","37.2 %","56.1 %","11.7 %","7293"
"Zach Britton","Orioles","37.0 %","64.6 %","47.6 %","42.0 %","83.1 %","63.5 %","38.6 %","55.9 %","17.2 %","3240"
"Roberto Osuna","Blue Jays","36.9 %","74.5 %","55.2 %","56.1 %","80.7 %","72.3 %","48.7 %","70.1 %","15.1 %","13764"
"Jeremy Jeffress","- - -","36.9 %","56.4 %","46.2 %","65.5 %","88.7 %","79.0 %","47.7 %","61.0 %","9.6 %","9490"
"Seung Hwan Oh","Cardinals","36.6 %","74.1 %","53.0 %","53.6 %","73.3 %","65.7 %","43.9 %","66.5 %","18.0 %","18719"
"Noah Syndergaard","Mets","36.5 %","66.9 %","50.3 %","53.9 %","83.4 %","71.6 %","45.2 %","63.8 %","14.2 %","11762"
"Masahiro Tanaka","Yankees","36.5 %","68.8 %","50.0 %","66.0 %","87.3 %","78.3 %","41.8 %","64.5 %","10.9 %","15764"
"Erasmo Ramirez","Rays","36.4 %","69.2 %","50.6 %","74.3 %","87.8 %","82.3 %","43.3 %","63.2 %","8.8 %","10314"
"Matt Andriese","Rays","36.4 %","64.5 %","49.1 %","63.7 %","89.3 %","78.9 %","45.3 %","66.0 %","10.3 %","12022"
"Shawn Kelley","Nationals","36.3 %","71.3 %","54.5 %","50.3 %","80.8 %","71.0 %","52.0 %","66.1 %","15.7 %","7773"
"Tony Watson","Pirates","36.2 %","72.3 %","52.5 %","61.4 %","84.1 %","75.5 %","45.1 %","64.0 %","12.8 %","3132"
