"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Craig Kimbrel","Red Sox","14.09","5.09","2.77","0.68","37.7 %","13.6 %","24.1 %",".151","1.09",".242","70.9 %","78","70","82","3.40","2.92","0.48","3.48","2.93","6655"
"Stephen Strasburg","Nationals","11.15","2.68","4.16","0.91","30.6 %","7.4 %","23.2 %",".216","1.10",".294","73.6 %","86","72","78","3.60","2.92","0.67","3.20","3.18","10131"
"Nate Jones","White Sox","10.19","1.91","5.33","0.89","29.2 %","5.5 %","23.7 %",".188","0.89",".243","81.9 %","55","68","70","2.29","2.93","-0.64","2.99","2.69","4696"
"Joe Biagini","Blue Jays","8.25","2.53","3.26","0.40","21.0 %","6.4 %","14.6 %",".255","1.30",".320","73.2 %","72","69","87","3.06","2.95","0.10","3.71","3.45","13194"
"Johnny Cueto","Giants","8.11","1.84","4.40","0.61","22.5 %","5.1 %","17.4 %",".236","1.09",".293","78.0 %","70","76","83","2.79","2.96","-0.17","3.42","3.59","6893"
"Zach Duke","- - -","10.03","4.28","2.34","0.30","26.4 %","11.2 %","15.1 %",".213","1.26",".297","83.1 %","57","70","84","2.36","2.97","-0.61","3.52","3.44","3840"
"Alex Claudio","Rangers","5.92","1.74","3.40","0.35","15.7 %","4.6 %","11.1 %",".267","1.26",".312","74.4 %","63","68","85","2.79","2.97","-0.19","3.60","3.28","12890"
"Shawn Kelley","Nationals","12.41","1.71","7.27","1.40","35.7 %","4.9 %","30.8 %",".192","0.90",".258","83.8 %","63","73","69","2.64","2.97","-0.34","2.82","2.11","7773"
"Luke Gregerson","Astros","10.46","2.81","3.72","0.78","29.1 %","7.8 %","21.3 %",".181","0.97",".239","68.6 %","81","70","68","3.28","2.99","0.29","2.90","2.72","4090"
"Lance McCullers","Astros","11.78","5.00","2.36","0.56","30.1 %","12.8 %","17.3 %",".261","1.54",".383","81.4 %","79","71","72","3.22","3.00","0.22","3.06","3.68","14120"
"Ryan Buchter","Padres","11.14","4.43","2.52","0.57","31.6 %","12.6 %","19.0 %",".159","1.03",".227","76.6 %","72","76","105","2.86","3.07","-0.21","4.33","3.59","9456"
"Brad Hand","Padres","11.18","3.63","3.08","0.81","30.5 %","9.9 %","20.6 %",".193","1.11",".264","76.6 %","74","76","81","2.92","3.07","-0.15","3.34","3.09","9111"
"Aaron Nola","Phillies","9.81","2.35","4.17","0.81","25.1 %","6.0 %","19.1 %",".259","1.31",".334","60.6 %","115","73","75","4.78","3.08","1.70","3.08","3.29","16149"
"Yu Darvish","Rangers","11.84","2.78","4.26","1.08","31.7 %","7.5 %","24.3 %",".212","1.12",".290","73.3 %","77","71","75","3.41","3.09","0.32","3.19","3.08","13074"
"Brad Ziegler","- - -","7.68","3.44","2.23","0.26","20.1 %","9.0 %","11.1 %",".258","1.37",".325","80.5 %","51","74","86","2.25","3.10","-0.85","3.58","3.43","7293"
"Jose Alvarez","Angels","8.01","2.35","3.40","0.63","19.9 %","5.9 %","14.1 %",".296","1.50",".362","71.3 %","85","74","93","3.45","3.11","0.34","3.95","3.73","5358"
"Shane Greene","Tigers","8.80","3.28","2.68","0.45","23.1 %","8.6 %","14.5 %",".252","1.33",".327","56.4 %","136","72","93","5.82","3.13","2.69","3.95","3.74","10756"
"Hunter Strickland","Giants","8.41","2.80","3.00","0.59","22.8 %","7.6 %","15.2 %",".218","1.13",".274","76.5 %","78","81","90","3.10","3.16","-0.06","3.70","3.54","7836"
"Julio Urias","Dodgers","9.82","3.62","2.71","0.58","25.0 %","9.2 %","15.8 %",".269","1.45",".358","77.1 %","85","78","89","3.39","3.17","0.22","3.69","3.88","14765"
"Alex Wood","Dodgers","9.85","2.98","3.30","0.75","25.9 %","7.8 %","18.0 %",".241","1.26",".317","68.1 %","94","79","80","3.73","3.18","0.55","3.29","3.48","13781"
"Justin Wilson","Tigers","9.97","2.61","3.82","0.92","25.9 %","6.8 %","19.1 %",".262","1.33",".340","70.8 %","97","73","76","4.14","3.18","0.96","3.24","3.02","4301"
"A.J. Schugel","Pirates","7.96","2.25","3.54","0.69","22.6 %","6.4 %","16.2 %",".216","1.04",".264","66.8 %","89","79","90","3.63","3.19","0.45","3.72","3.52","11432"
"Andrew Triggs","Athletics","8.79","2.08","4.23","0.80","23.1 %","5.5 %","17.7 %",".252","1.22",".315","64.6 %","104","76","77","4.31","3.20","1.11","3.29","3.29","13533"
"Roberto Osuna","Blue Jays","9.97","1.70","5.86","1.09","28.5 %","4.9 %","23.6 %",".203","0.93",".256","82.5 %","63","74","85","2.68","3.20","-0.52","3.60","2.87","13764"
"Kyle Hendricks","Cubs","8.05","2.08","3.86","0.71","22.8 %","5.9 %","16.9 %",".205","0.98",".250","81.5 %","51","78","87","2.13","3.20","-1.07","3.59","3.70","12049"
"Chris Rusin","Rockies","7.36","2.45","3.00","0.53","19.7 %","6.6 %","13.1 %",".253","1.25",".308","71.3 %","77","73","83","3.74","3.21","0.53","3.42","3.52","9895"
"Max Scherzer","Nationals","11.19","2.21","5.07","1.22","31.5 %","6.2 %","25.3 %",".196","0.97",".255","81.7 %","70","80","82","2.96","3.24","-0.28","3.37","3.05","3137"
"Michael Feliz","Astros","13.15","3.05","4.32","1.38","35.2 %","8.2 %","27.0 %",".222","1.18",".315","69.8 %","109","76","63","4.43","3.24","1.19","2.67","2.45","11903"
"Madison Bumgarner","Giants","9.97","2.14","4.65","1.03","27.5 %","5.9 %","21.6 %",".209","1.02",".265","79.1 %","69","83","86","2.74","3.24","-0.50","3.54","3.36","5524"
"Corey Kluber","Indians","9.50","2.39","3.98","0.92","26.4 %","6.6 %","19.8 %",".214","1.06",".271","74.8 %","73","76","82","3.14","3.26","-0.12","3.50","3.50","2429"
"Robbie Ross Jr.","Red Sox","9.11","3.74","2.43","0.33","23.5 %","9.7 %","13.9 %",".222","1.25",".295","75.5 %","75","78","94","3.25","3.27","-0.02","3.98","3.67","6819"
"Justin Grimm","Cubs","11.11","3.93","2.83","0.85","28.9 %","10.2 %","18.7 %",".234","1.33",".321","73.4 %","98","79","86","4.10","3.28","0.82","3.56","3.32","11720"
"Jeremy Jeffress","- - -","6.52","2.79","2.33","0.31","17.4 %","7.5 %","10.0 %",".251","1.26",".303","80.9 %","54","77","88","2.33","3.28","-0.96","3.64","3.49","9490"
"Hector Neris","Phillies","11.43","3.36","3.40","1.01","31.1 %","9.2 %","22.0 %",".200","1.11",".272","83.1 %","62","78","77","2.58","3.30","-0.72","3.17","2.95","11804"
"Mychal Givens","Orioles","11.57","4.34","2.67","0.72","30.7 %","11.5 %","19.2 %",".218","1.27",".314","78.8 %","74","75","89","3.13","3.31","-0.17","3.78","3.32","10430"
"Cody Allen","Indians","11.51","3.57","3.22","1.06","33.0 %","10.2 %","22.7 %",".173","1.00",".232","79.2 %","58","77","72","2.51","3.31","-0.79","3.08","2.90","12183"
"Matt Bowman","Cardinals","6.92","2.66","2.60","0.53","18.5 %","7.1 %","11.4 %",".227","1.17",".270","65.9 %","85","81","85","3.46","3.31","0.15","3.53","3.37","13528"
"Jacob deGrom","Mets","8.70","2.19","3.97","0.91","23.7 %","6.0 %","17.7 %",".251","1.20",".312","80.0 %","77","81","84","3.04","3.32","-0.28","3.47","3.66","10954"
"Kyle Ryan","Tigers","5.66","2.43","2.33","0.32","15.5 %","6.6 %","8.9 %",".231","1.13",".269","71.2 %","72","77","99","3.07","3.33","-0.25","4.21","3.97","11753"
"Gerrit Cole","Pirates","7.60","2.79","2.72","0.54","19.4 %","7.1 %","12.3 %",".282","1.44",".345","71.1 %","95","82","97","3.88","3.33","0.55","4.02","4.24","13125"
"Joe Blanton","Dodgers","9.00","2.93","3.08","0.79","25.4 %","8.3 %","17.1 %",".192","1.01",".240","82.0 %","62","82","101","2.48","3.33","-0.86","4.15","3.57","4849"
"Raisel Iglesias","Reds","9.54","2.99","3.19","0.80","25.5 %","8.0 %","17.5 %",".214","1.14",".275","85.5 %","60","80","94","2.53","3.38","-0.85","3.89","3.55","17130"
"Dan Jennings","White Sox","6.82","4.15","1.64","0.15","17.8 %","10.8 %","7.0 %",".250","1.40",".309","80.8 %","50","78","100","2.08","3.38","-1.30","4.26","4.28","8073"
"Tony Barnette","Rangers","7.31","2.39","3.06","0.60","19.9 %","6.5 %","13.4 %",".239","1.16",".289","84.8 %","47","78","92","2.09","3.38","-1.29","3.90","3.72","3555"
"Steven Matz","Mets","8.77","2.11","4.16","0.95","23.6 %","5.7 %","17.9 %",".252","1.21",".313","77.0 %","86","83","80","3.40","3.39","0.01","3.30","3.51","13361"
"Blake Snell","Rays","9.91","5.16","1.92","0.51","24.4 %","12.7 %","11.7 %",".266","1.62",".356","73.0 %","86","82","102","3.54","3.39","0.15","4.35","4.53","13543"
"Rick Porcello","Red Sox","7.63","1.29","5.91","0.93","21.2 %","3.6 %","17.6 %",".228","1.01",".269","74.3 %","72","81","92","3.15","3.40","-0.25","3.89","3.78","2717"
"Jon Lester","Cubs","8.75","2.31","3.79","0.93","24.8 %","6.5 %","18.2 %",".209","1.02",".256","84.9 %","58","82","84","2.44","3.41","-0.97","3.47","3.61","4930"
"Felipe Rivero","- - -","10.75","3.86","2.79","0.82","28.1 %","10.1 %","18.0 %",".229","1.29",".312","69.3 %","98","85","86","4.09","3.46","0.63","3.55","3.30","12076"
"Chris Sale","White Sox","9.25","1.79","5.18","1.07","25.7 %","5.0 %","20.7 %",".225","1.04",".279","76.6 %","80","80","84","3.34","3.46","-0.12","3.58","3.43","10603"
"Brandon Maurer","Padres","9.30","2.97","3.13","0.90","24.0 %","7.7 %","16.3 %",".236","1.26",".296","66.1 %","114","86","101","4.52","3.46","1.06","4.16","3.59","4878"
"Matt Harvey","Mets","7.38","2.43","3.04","0.78","18.9 %","6.2 %","12.7 %",".295","1.47",".353","65.2 %","122","85","99","4.86","3.47","1.39","4.11","4.31","11713"
"Justin Verlander","Tigers","10.04","2.25","4.46","1.19","28.1 %","6.3 %","21.8 %",".204","1.00",".255","79.9 %","71","81","89","3.04","3.48","-0.44","3.78","3.42","8700"
"Joe Ross","Nationals","7.97","2.49","3.21","0.77","20.8 %","6.5 %","14.3 %",".262","1.30",".319","76.7 %","82","86","94","3.43","3.49","-0.06","3.87","4.06","12972"
"Hector Rondon","Cubs","10.24","1.41","7.25","1.41","29.0 %","4.0 %","25.0 %",".221","0.98",".274","78.4 %","84","85","70","3.53","3.50","0.03","2.90","2.56","2391"
"J.P. Howell","Dodgers","7.82","2.66","2.93","0.71","20.0 %","6.8 %","13.2 %",".277","1.40",".338","74.6 %","103","87","87","4.09","3.50","0.58","3.59","3.36","8245"
"Masahiro Tanaka","Yankees","7.44","1.62","4.58","0.99","20.5 %","4.5 %","16.0 %",".234","1.08",".271","76.4 %","72","80","85","3.07","3.51","-0.45","3.61","3.79","15764"
"Matt Shoemaker","Angels","8.04","1.69","4.77","1.01","21.4 %","4.5 %","16.9 %",".263","1.23",".315","74.2 %","95","84","91","3.88","3.52","0.37","3.86","3.87","4776"
"Jake Arrieta","Cubs","8.67","3.47","2.50","0.73","23.9 %","9.6 %","14.3 %",".194","1.08",".241","74.9 %","74","85","89","3.10","3.52","-0.42","3.68","3.94","4153"
"Jake Diekman","Rangers","10.02","4.42","2.27","0.68","26.7 %","11.8 %","14.9 %",".188","1.17",".248","72.4 %","77","82","92","3.40","3.54","-0.15","3.91","3.70","5003"
"Aaron Sanchez","Blue Jays","7.55","2.95","2.56","0.70","20.4 %","8.0 %","12.4 %",".223","1.17",".267","76.9 %","71","83","88","3.00","3.55","-0.55","3.75","4.01","11490"
"Hansel Robles","Mets","9.85","4.17","2.36","0.81","25.7 %","10.9 %","14.8 %",".235","1.35",".307","76.9 %","88","87","102","3.48","3.56","-0.08","4.21","3.83","11801"
"Jose Quintana","White Sox","7.83","2.16","3.62","0.95","21.6 %","6.0 %","15.7 %",".245","1.16",".293","79.0 %","77","82","95","3.20","3.56","-0.36","4.03","4.01","11423"
"Steve Cishek","Mariners","10.69","2.95","3.62","1.13","29.5 %","8.1 %","21.3 %",".189","1.02",".242","83.0 %","69","85","83","2.81","3.57","-0.76","3.53","3.01","6483"
"Taylor Rogers","Twins","9.39","2.35","4.00","1.03","24.2 %","6.1 %","18.2 %",".259","1.29",".326","74.1 %","92","83","82","3.96","3.57","0.39","3.47","3.12","13449"
"Ryan Dull","Athletics","8.84","1.82","4.87","1.21","25.2 %","5.2 %","20.0 %",".182","0.87",".209","82.7 %","59","85","97","2.42","3.58","-1.16","4.11","3.33","13974"
"Kenta Maeda","Dodgers","9.17","2.56","3.58","1.02","25.0 %","7.0 %","18.0 %",".228","1.14",".283","75.6 %","87","88","90","3.48","3.58","-0.10","3.70","3.69","18498"
"David Robertson","White Sox","10.83","4.62","2.34","0.87","28.1 %","12.0 %","16.1 %",".226","1.36",".307","79.9 %","83","83","94","3.47","3.58","-0.11","3.99","3.64","8241"
"Tyler Anderson","Rockies","7.79","2.20","3.54","0.94","20.7 %","5.9 %","14.9 %",".266","1.29",".318","75.1 %","73","82","88","3.54","3.59","-0.05","3.64","3.84","12880"
"Alex Wilson","Tigers","6.04","2.59","2.33","0.62","16.5 %","7.1 %","9.4 %",".247","1.22",".285","77.1 %","69","83","108","2.96","3.60","-0.64","4.58","4.33","9239"
"David Price","Red Sox","8.92","1.96","4.56","1.17","24.0 %","5.3 %","18.7 %",".254","1.20",".310","73.6 %","92","86","83","3.99","3.60","0.39","3.52","3.60","3184"
"Jon Gray","Rockies","9.91","3.16","3.14","0.96","26.0 %","8.3 %","17.7 %",".239","1.26",".308","66.4 %","96","82","87","4.61","3.60","1.00","3.61","3.72","14916"
"Brandon Kintzler","Twins","5.80","1.33","4.38","0.83","15.6 %","3.6 %","12.1 %",".276","1.23",".310","75.8 %","73","84","82","3.15","3.61","-0.46","3.48","3.17","9939"
"Carlos Martinez","Cardinals","8.02","3.23","2.49","0.69","21.5 %","8.7 %","12.9 %",".232","1.22",".286","79.5 %","75","88","92","3.04","3.61","-0.57","3.81","3.97","11682"
"Sam Dyson","Rangers","7.04","2.94","2.39","0.64","19.3 %","8.1 %","11.2 %",".243","1.22",".291","85.4 %","55","83","81","2.43","3.62","-1.18","3.45","3.25","11710"
"Blake Treinen","Nationals","8.46","4.16","2.03","0.67","24.0 %","11.8 %","12.2 %",".220","1.22",".280","84.0 %","54","89","84","2.28","3.62","-1.34","3.47","3.52","12572"
"Mike Morin","Angels","7.92","2.43","3.27","0.97","21.6 %","6.6 %","15.0 %",".246","1.20",".295","62.1 %","107","87","98","4.37","3.65","0.72","4.16","3.74","13442"
"Michael Lorenzen","Reds","8.64","2.34","3.69","0.90","23.8 %","6.4 %","17.3 %",".224","1.08",".277","83.0 %","69","87","75","2.88","3.67","-0.79","3.10","2.75","14843"
"Nick Wittgren","Marlins","7.32","1.74","4.20","1.05","19.7 %","4.7 %","15.0 %",".248","1.16",".286","81.8 %","77","91","101","3.14","3.67","-0.53","4.16","3.75","15594"
"Jhan Marinez","- - -","7.22","3.03","2.38","0.58","18.6 %","7.8 %","10.8 %",".256","1.33",".309","76.7 %","75","87","100","3.18","3.68","-0.50","4.15","3.92","5830"
"Julio Teheran","Braves","7.99","1.96","4.07","1.05","22.0 %","5.4 %","16.6 %",".222","1.05",".260","77.8 %","77","92","100","3.21","3.69","-0.48","4.13","3.93","6797"
"Junior Guerra","Brewers","7.40","3.18","2.33","0.74","20.3 %","8.7 %","11.6 %",".211","1.13",".250","79.4 %","66","87","104","2.81","3.71","-0.89","4.29","4.42","5702"
"Miguel Gonzalez","White Sox","6.33","2.33","2.71","0.73","16.8 %","6.2 %","10.6 %",".251","1.24",".289","71.1 %","90","86","110","3.73","3.71","0.02","4.65","4.61","7024"
"Marcus Stroman","Blue Jays","7.32","2.38","3.07","0.93","19.4 %","6.3 %","13.1 %",".262","1.29",".308","68.6 %","103","86","80","4.37","3.71","0.66","3.41","3.62","13431"
"Jameson Taillon","Pirates","7.36","1.47","5.00","1.13","20.3 %","4.1 %","16.3 %",".249","1.12",".287","78.4 %","82","91","83","3.38","3.71","-0.34","3.43","3.61","11674"
"Matt Barnes","Red Sox","9.59","4.19","2.29","0.81","24.7 %","10.8 %","13.9 %",".245","1.40",".318","73.1 %","93","89","95","4.05","3.72","0.33","4.05","3.80","12863"
"Carlos Carrasco","Indians","9.23","2.09","4.41","1.29","25.0 %","5.7 %","19.4 %",".238","1.15",".289","75.6 %","77","87","78","3.32","3.72","-0.40","3.32","3.44","6632"
"Danny Salazar","Indians","10.55","4.13","2.56","1.05","27.6 %","10.8 %","16.8 %",".233","1.34",".307","76.4 %","90","88","88","3.87","3.74","0.13","3.74","3.86","5867"
"Ryan Pressly","Twins","8.00","2.75","2.91","0.96","20.4 %","7.0 %","13.4 %",".261","1.35",".311","75.4 %","86","87","99","3.70","3.74","-0.04","4.22","3.89","7005"
"Carlos Torres","Brewers","8.53","3.28","2.60","0.87","23.0 %","8.9 %","14.2 %",".213","1.15",".260","83.1 %","64","88","98","2.73","3.75","-1.02","4.05","3.76","7624"
"Michael Fulmer","Tigers","7.47","2.38","3.14","0.91","20.4 %","6.5 %","13.9 %",".228","1.12",".268","79.0 %","71","87","93","3.06","3.76","-0.70","3.95","4.03","13218"
"Robbie Ray","Diamondbacks","11.25","3.67","3.07","1.24","28.1 %","9.2 %","18.9 %",".265","1.47",".352","68.7 %","112","90","84","4.90","3.76","1.14","3.45","3.59","11486"
"Gio Gonzalez","Nationals","8.68","2.99","2.90","0.96","22.4 %","7.7 %","14.6 %",".257","1.34",".316","67.6 %","109","92","92","4.57","3.76","0.81","3.80","3.96","7448"
"Deolis Guerra","Angels","6.08","1.18","5.14","1.01","16.4 %","3.2 %","13.2 %",".246","1.11",".272","72.2 %","79","90","95","3.21","3.77","-0.56","4.02","3.87","8410"
"Steven Wright","Red Sox","7.30","3.27","2.23","0.69","19.4 %","8.7 %","10.7 %",".234","1.24",".279","69.3 %","76","90","108","3.33","3.77","-0.43","4.57","4.55","8185"
"Matt Andriese","Rays","7.68","1.76","4.36","1.20","20.7 %","4.7 %","15.9 %",".261","1.22",".304","69.8 %","107","91","94","4.37","3.78","0.59","3.98","3.90","12022"
"Juan Nicasio","Pirates","10.53","3.43","3.07","1.14","26.9 %","8.8 %","18.1 %",".254","1.37",".331","71.0 %","110","93","89","4.50","3.78","0.72","3.68","3.52","7731"
"Mike Montgomery","- - -","8.28","3.42","2.42","0.72","22.2 %","9.2 %","13.0 %",".216","1.17",".267","81.2 %","61","91","86","2.52","3.79","-1.27","3.60","3.57","4869"
"Tanner Roark","Nationals","7.37","3.13","2.36","0.73","20.1 %","8.5 %","11.6 %",".225","1.17",".269","79.5 %","67","93","101","2.83","3.79","-0.96","4.17","4.32","8753"
"Michael Pineda","Yankees","10.61","2.72","3.91","1.38","27.4 %","7.0 %","20.4 %",".264","1.35",".339","70.7 %","113","86","78","4.82","3.80","1.02","3.30","3.40","5372"
"Drew Pomeranz","- - -","9.81","3.43","2.86","1.16","26.5 %","9.3 %","17.2 %",".215","1.18",".268","80.1 %","79","93","89","3.32","3.80","-0.48","3.71","3.80","11426"
"George Kontos","Giants","5.91","3.38","1.75","0.51","16.2 %","9.3 %","6.9 %",".216","1.16",".250","75.3 %","63","97","113","2.53","3.80","-1.27","4.66","4.58","9486"
"Fernando Rodney","- - -","10.19","5.10","2.00","0.69","26.2 %","13.1 %","13.1 %",".224","1.39",".302","77.5 %","85","95","91","3.44","3.80","-0.36","3.75","3.78","494"
"Ervin Santana","Twins","7.40","2.63","2.81","0.94","19.9 %","7.1 %","12.8 %",".243","1.22",".285","74.1 %","78","89","99","3.38","3.81","-0.43","4.21","4.29","3200"
"Pedro Baez","Dodgers","10.09","2.68","3.77","1.34","28.1 %","7.5 %","20.7 %",".192","1.00",".232","80.9 %","76","94","83","3.04","3.81","-0.77","3.43","3.07","5420"
"Daniel Hudson","Diamondbacks","8.65","3.28","2.64","0.90","21.6 %","8.2 %","13.4 %",".269","1.44",".331","61.7 %","119","91","100","5.22","3.81","1.41","4.12","3.84","7146"
"John Lackey","Cubs","8.60","2.53","3.40","1.10","24.1 %","7.1 %","17.0 %",".213","1.06",".255","76.2 %","80","92","92","3.35","3.81","-0.47","3.80","3.83","1507"
"Chris Archer","Rays","10.42","3.00","3.48","1.34","27.4 %","7.9 %","19.5 %",".235","1.24",".296","72.5 %","98","92","80","4.02","3.81","0.21","3.41","3.50","6345"
"Danny Duffy","Royals","9.42","2.10","4.48","1.35","25.7 %","5.8 %","20.0 %",".239","1.14",".291","80.9 %","82","92","89","3.51","3.83","-0.32","3.79","3.53","3542"
"Mike Leake","Cardinals","6.37","1.53","4.17","1.02","16.5 %","4.0 %","12.6 %",".282","1.32",".318","65.6 %","115","94","91","4.69","3.83","0.86","3.76","3.92","10130"
"Francisco Rodriguez","Tigers","8.02","3.24","2.48","0.93","22.1 %","8.9 %","13.2 %",".211","1.13",".252","73.4 %","76","89","90","3.24","3.83","-0.59","3.84","3.66","1642"
"Heath Hembree","Red Sox","8.29","3.00","2.76","1.06","21.1 %","7.6 %","13.5 %",".248","1.33",".294","75.5 %","61","92","103","2.65","3.83","-1.19","4.36","3.93","11632"
"Jeff Samardzija","Giants","7.39","2.39","3.09","1.06","20.1 %","6.5 %","13.6 %",".245","1.20",".285","74.3 %","95","98","96","3.81","3.85","-0.04","3.96","4.13","3254"
"Dallas Keuchel","Astros","7.71","2.57","3.00","1.07","20.5 %","6.9 %","13.7 %",".258","1.29",".304","68.4 %","112","92","83","4.55","3.87","0.68","3.53","3.77","9434"
